band,kruskal_stat,kruskal_pvalue,kruskal_pvalue_adj,ttest_stat,ttest_pvalue,ttest_pvalue_adj,pearson_r,pearson_pvalue,pearson_pvalue_adj,spearman_rho,spearman_pvalue,spearman_pvalue_adj,pvalue_adjusted,pvalue_adjusted_source,significant_at_alpha,effect_score,significance_score,consistency_score,ranking_score,direction_label,rank
485,835.7200002496638,9.249095883318291e-184,1.8069370048410003e-181,37.920497791449584,2.5423725025272264e-224,1.400912437931028e-222,-0.673461781190244,2.721648742554416e-229,1.6328896788179618e-227,-0.6948352839192353,5.730254734770244e-250,1.1194834022746594e-247,1.1194834022746594e-247,spearman,True,2.512499413555195,4.467535924765276,0.6666666666666666,3.207682568910879,nao_irrigado,11
1427,793.1533165866413,1.6621158912561796e-174,1.116214703221728e-172,39.421237147956084,6.535973000631258e-240,1.4045805978356572e-237,-0.6877092560054344,7.099936099594461e-243,1.7052749009703067e-240,-0.6769086102709503,1.6561973966422945e-232,1.112240064182591e-230,1.7052749009703067e-240,pearson,True,2.4868373062709295,4.479743606264711,0.6666666666666666,3.201628077307705,nao_irrigado,12
1426,794.1549111214672,1.0066869935464337e-174,7.211234497104286e-173,39.36568405962883,2.3165913402037264e-239,4.148628991748173e-237,-0.6871961352589789,2.25989780056542e-242,4.4150185212864433e-240,-0.6773358757469787,6.567872788175526e-233,4.7047862072630686e-231,4.4150185212864433e-240,pearson,True,2.4867335060601836,4.477845620481584,0.6666666666666666,3.2007272736104624,nao_irrigado,13
1428,791.5520799078404,3.7051274625280802e-174,2.211755254714679e-172,39.42068242738449,5.474335714711007e-240,1.3993657901454546e-237,-0.6877066605573324,7.141681763021294e-243,1.7052749009703067e-240,-0.6762249855093048,7.250963696326354e-232,4.328422495390371e-230,1.7052749009703067e-240,pearson,True,2.4838052736354848,4.474410222172187,0.6666666666666666,3.197863639780119,nao_irrigado,14
1429,790.6439896423426,5.837690724970383e-174,3.2167172738362444e-172,39.432737046474834,3.3753635652392536e-240,1.036236614528451e-237,-0.6878206918468514,5.519681687538061e-243,1.6945422780741845e-240,-0.6758369822662087,1.6733795562995045e-231,9.220750426891373e-230,1.6945422780741845e-240,pearson,True,2.4825298232032864,4.472253883912827,0.6666666666666666,3.196319334868918,nao_irrigado,15
1425,794.2686455787771,9.509689024751169e-175,7.047007487651815e-173,39.28590008359387,1.43381891551982e-238,2.2009120353229235e-236,-0.6864573408124717,1.1918938064542964e-241,1.9702921462079097e-239,-0.6773843761523657,5.91268388802821e-233,4.3815026466802143e-231,1.9702921462079097e-239,pearson,True,2.484088266285462,4.469859418601993,0.6666666666666666,3.1959431248660217,nao_irrigado,16
1430,789.5366093181847,1.016270338248465e-173,5.459912392239878e-172,39.46300469013777,1.5826081051094642e-240,6.802049635760477e-238,-0.6881006596176801,2.930841366933416e-243,1.2596756195079824e-240,-0.6753635259279069,4.634761298810679e-231,2.4900255077860372e-229,1.2596756195079824e-240,pearson,True,2.481528184373226,4.470135184910622,0.6666666666666666,3.1949151828443987,nao_irrigado,17
1431,787.561459896503,2.7318071352558132e-173,1.4318667155279859e-171,39.43508254735544,2.5837892758721857e-240,9.254271923082213e-238,-0.6878452523751767,5.221661140587133e-243,1.6945422780741845e-240,-0.6745182331483047,2.8436271968861345e-230,1.4904767917337324e-228,1.6945422780741845e-240,pearson,True,2.4768095682893643,4.461353033762757,0.6666666666666666,3.188839837590122,nao_irrigado,18
1424,793.748783109656,1.2336581535622363e-174,8.552036683887891e-173,39.171591132340204,1.7705958312032574e-237,2.2382414360328237e-235,-0.6853964297790324,1.2866919004111977e-240,1.8434005959891093e-238,-0.6771626600134537,9.557695118156822e-233,6.625640906102906e-231,1.8434005959891093e-238,pearson,True,2.4790101133581035,4.456425653015472,0.6666666666666666,3.187612761534776,nao_irrigado,19
1432,784.9048545315791,1.0328955961373178e-172,5.28498246690261e-171,39.3899409602709,5.860536115081011e-240,1.3993657901454546e-237,-0.68743144353447,1.3293142405903853e-242,2.856696303028738e-240,-0.6733796283932668,3.242970641324717e-229,1.6593199781444802e-227,2.856696303028738e-240,pearson,True,2.470189061360826,4.449189875434239,0.6666666666666666,3.1803871882244468,nao_irrigado,20
