band,kruskal_stat,kruskal_pvalue,kruskal_pvalue_adj,ttest_stat,ttest_pvalue,ttest_pvalue_adj,pearson_r,pearson_pvalue,pearson_pvalue_adj,spearman_rho,spearman_pvalue,spearman_pvalue_adj,pvalue_adjusted,pvalue_adjusted_source,significant_at_alpha,effect_score,significance_score,consistency_score,ranking_score,direction_label,rank
1667,303.4133086214006,5.944839815318612e-68,2.070577109095575e-67,-20.037053399966688,6.0004405176106756e-80,2.215626576004354e-79,0.43421509530792635,1.4416505952448107e-80,5.323208125740719e-80,0.41866704701625107,1.8365562885737688e-74,6.396692810607827e-74,5.323208125740719e-80,pearson,True,0.724077484756511,0.9859290418628206,0.6666666666666666,0.8361696036453659,irrigado,599
723,313.39943386844243,3.9691152313648396e-70,1.414532111476458e-69,-19.615445089460874,5.011439719832816e-77,1.7949306596534537e-76,0.4267558588415502,1.342119406173809e-77,4.8311802409841136e-77,0.42550098508959233,4.1683820649298834e-77,1.4855477707353765e-76,4.8311802409841136e-77,pearson,True,0.7266200474528703,0.9799443811790916,0.6666666666666666,0.8346206595510495,irrigado,600
1867,298.3198703228263,7.652765587234317e-67,2.635543789577972e-66,20.141454330032516,2.4743524708269165e-80,9.199625362987966e-80,-0.43610948074877004,2.4712886081743026e-81,9.204158091796494e-81,-0.4151380651385676,4.0326680812519736e-73,1.388814696572194e-72,9.204158091796494e-81,pearson,True,0.7177166735690247,0.9779436711700924,0.6666666666666666,0.8297138217992694,nao_irrigado,601
547,315.99040241402963,1.0821697262996134e-70,3.882441972984756e-70,19.381350086955546,6.9060794767656e-76,2.440981051902841e-75,-0.42236692933158415,6.92012393707827e-76,2.4339355713226193e-75,-0.4272562378559795,8.530116096816705e-78,3.060303754934741e-77,3.060303754934741e-77,spearman,True,0.7212534018573261,0.970552959932014,0.6666666666666666,0.8279795294718697,nao_irrigado,602
371,328.54068920999543,1.9981555734115477e-73,7.520203725501604e-73,18.89550872206683,9.067914386415828e-72,3.0882643449140432e-71,-0.4133274554029997,1.9395716797319044e-72,6.605609413223237e-72,-0.43565835570350075,3.764993198758557e-81,1.4169825541387283e-80,1.4169825541387283e-80,spearman,True,0.7257192088676571,0.9621239190475236,0.6666666666666666,0.826196074228498,nao_irrigado,603
1942,309.0226443851898,3.5656285685098153e-69,1.2520483323084302e-68,19.65661266106732,2.297236663871373e-76,8.173446342151624e-76,-0.4276415705712832,6.013793446780793e-78,2.1756973261164855e-77,-0.422519364929848,6.040408081685619e-76,2.121051792082091e-75,2.1756973261164855e-77,pearson,True,0.7191287958502697,0.9652910124397861,0.6666666666666666,0.8246555803971918,nao_irrigado,604
733,312.30829448214536,6.86094903541039e-70,2.441089317400154e-69,-19.386793676252918,1.0159655677496182e-75,3.5791967296621793e-75,0.42260226120730704,5.609739930186604e-76,1.9795289178934337e-75,0.4247596217501052,8.123837791657974e-77,2.890418446071686e-76,2.890418446071686e-76,spearman,True,0.7136357888519735,0.9593198920850239,0.6666666666666666,0.8194967230883156,irrigado,605
822,314.28461753693045,2.5460674198050262e-70,9.10399148945258e-70,19.306632920238986,4.355548574099212e-75,1.5244420009347243e-74,-0.42086230275599573,2.6382586505107356e-75,9.218890796662716e-75,-0.4261014662991458,2.4249992635219018e-77,8.671087216819578e-77,8.671087216819578e-77,spearman,True,0.7138960856707417,0.9573272486790887,0.6666666666666666,0.8187171671240904,nao_irrigado,606
1738,312.17415838947585,7.338447171071462e-70,2.6066649538235654e-69,19.378255130214296,4.19883490649079e-75,1.4719895944614531e-74,-0.42258002261502764,5.722178478402624e-76,2.0158953360798752e-75,-0.42466839504231946,8.818019184249984e-77,3.132218715198879e-76,3.132218715198879e-76,spearman,True,0.713104074378141,0.9551951524438814,0.6666666666666666,0.8174013187365767,nao_irrigado,607
1730,311.4225089147767,1.0698994191016282e-69,3.7816017296865114e-69,19.363258173088933,2.3680079542617883e-75,8.315112898216638e-75,-0.4222389188822094,7.756693246617719e-76,2.723714671075405e-75,-0.42415683099743795,1.395898710188395e-76,4.933859092425757e-76,4.933859092425757e-76,spearman,True,0.7106856987176708,0.9537281077236874,0.6666666666666666,0.815652879565278,nao_irrigado,608
