dia,banda,comprimento_onda_nm,status,ranking
dia4,band_717,717,Confirmado,1
dia4,band_718,718,Confirmado,1
dia4,band_719,719,Confirmado,1
dia4,band_720,720,Confirmado,1
dia4,band_721,721,Confirmado,1
dia4,band_722,722,Confirmado,1
dia4,band_723,723,Confirmado,1
dia4,band_724,724,Confirmado,1
dia4,band_725,725,Confirmado,1
dia4,band_726,726,Confirmado,1
dia4,band_727,727,Confirmado,1
dia4,band_728,728,Confirmado,1
dia4,band_729,729,Confirmado,1
dia4,band_730,730,Confirmado,1
dia6,band_356,356,Confirmado,1
dia6,band_362,362,Confirmado,1
dia9,band_352,352,Confirmado,1
dia9,band_353,353,Confirmado,1
dia9,band_354,354,Confirmado,1
dia9,band_355,355,Confirmado,1
dia9,band_356,356,Confirmado,1
dia9,band_357,357,Confirmado,1
dia9,band_358,358,Confirmado,1
dia9,band_359,359,Confirmado,1
dia9,band_361,361,Confirmado,1
dia9,band_362,362,Confirmado,1
dia9,band_363,363,Confirmado,1
dia9,band_366,366,Confirmado,1
dia9,band_367,367,Confirmado,1
dia9,band_369,369,Confirmado,1
dia9,band_370,370,Confirmado,1
dia9,band_371,371,Confirmado,1
dia9,band_372,372,Confirmado,1
dia9,band_373,373,Confirmado,1
dia9,band_374,374,Confirmado,1
dia9,band_375,375,Confirmado,1
dia9,band_376,376,Confirmado,1
dia9,band_379,379,Confirmado,1
dia9,band_380,380,Confirmado,1
dia9,band_381,381,Confirmado,1
dia9,band_384,384,Confirmado,1
dia9,band_386,386,Confirmado,1
dia9,band_387,387,Confirmado,1
dia9,band_388,388,Confirmado,1
dia9,band_389,389,Confirmado,1
dia9,band_390,390,Confirmado,1
dia9,band_391,391,Confirmado,1
dia9,band_393,393,Confirmado,1
dia9,band_394,394,Confirmado,1
dia9,band_396,396,Confirmado,1
dia9,band_397,397,Confirmado,1
dia9,band_398,398,Confirmado,1
dia9,band_399,399,Confirmado,1
dia9,band_402,402,Confirmado,1
dia9,band_403,403,Confirmado,1
dia9,band_404,404,Confirmado,1
dia9,band_406,406,Confirmado,1
dia9,band_407,407,Confirmado,1
dia9,band_409,409,Confirmado,1
dia9,band_410,410,Confirmado,1
dia9,band_412,412,Confirmado,1
dia9,band_413,413,Confirmado,1
dia9,band_414,414,Confirmado,1
dia9,band_415,415,Confirmado,1
dia9,band_416,416,Confirmado,1
dia9,band_418,418,Confirmado,1
dia9,band_420,420,Confirmado,1
dia9,band_421,421,Confirmado,1
dia9,band_422,422,Confirmado,1
dia9,band_424,424,Confirmado,1
dia9,band_427,427,Confirmado,1
dia9,band_429,429,Confirmado,1
dia9,band_431,431,Confirmado,1
dia9,band_432,432,Confirmado,1
dia9,band_434,434,Confirmado,1
dia9,band_436,436,Confirmado,1
dia9,band_437,437,Confirmado,1
