dia,band,wavelength_nm,h_stat,p_value,mean_irrigated,mean_non_irrigated,direction,q_value,rank_kruskal,selected_top_k
dia2,band_1546,1546,10.453333333333347,0.0012242832644311999,0.34034927060645126,0.36084159181804254,nao_irrigado,0.016687364300334594,17,True
dia2,band_1547,1547,10.453333333333347,0.0012242832644311999,0.34120427930118163,0.36165885830532746,nao_irrigado,0.016687364300334594,18,True
dia2,band_1548,1548,10.453333333333347,0.0012242832644311999,0.34204833784280425,0.36246484504156823,nao_irrigado,0.016687364300334594,19,True
dia2,band_1549,1549,10.453333333333347,0.0012242832644311999,0.3428810938876408,0.3632589282330991,nao_irrigado,0.016687364300334594,20,True
dia3,band_350,350,17.28,3.225641456243768e-05,0.1431838558321283,0.11534105804667104,irrigado,0.00048131831773541036,1,True
dia3,band_351,351,17.28,3.225641456243768e-05,0.14254861323387158,0.11476452670322353,irrigado,0.00048131831773541036,2,True
dia3,band_352,352,17.28,3.225641456243768e-05,0.14115741356069678,0.11338293436182371,irrigado,0.00048131831773541036,3,True
dia3,band_353,353,17.28,3.225641456243768e-05,0.13912131367580052,0.11134796183731234,irrigado,0.00048131831773541036,4,True
dia3,band_354,354,17.28,3.225641456243768e-05,0.1366422157432364,0.1089064615744248,irrigado,0.00048131831773541036,5,True
dia3,band_355,355,17.28,3.225641456243768e-05,0.13434111014072245,0.10671917279652475,irrigado,0.00048131831773541036,6,True
dia3,band_356,356,17.28,3.225641456243768e-05,0.1324191344807594,0.10498091541942123,irrigado,0.00048131831773541036,7,True
dia3,band_357,357,17.28,3.225641456243768e-05,0.13068584803176772,0.10334096183199104,irrigado,0.00048131831773541036,8,True
dia3,band_358,358,17.28,3.225641456243768e-05,0.12915657039310438,0.10187967295440753,irrigado,0.00048131831773541036,9,True
dia3,band_359,359,17.28,3.225641456243768e-05,0.12771830270045223,0.10059175941829605,irrigado,0.00048131831773541036,10,True
dia3,band_360,360,17.28,3.225641456243768e-05,0.1261383889714171,0.09914662995627087,irrigado,0.00048131831773541036,11,True
dia3,band_361,361,17.28,3.225641456243768e-05,0.12446761195500182,0.09756268742442305,irrigado,0.00048131831773541036,12,True
dia3,band_362,362,17.28,3.225641456243768e-05,0.12299257612990051,0.09609712247235835,irrigado,0.00048131831773541036,13,True
dia3,band_363,363,17.28,3.225641456243768e-05,0.12141238656324199,0.09462409826850073,irrigado,0.00048131831773541036,14,True
dia3,band_364,364,17.28,3.225641456243768e-05,0.11979674337771261,0.09325333614886792,irrigado,0.00048131831773541036,15,True
dia3,band_365,365,17.28,3.225641456243768e-05,0.11826030854692053,0.0919639628961031,irrigado,0.00048131831773541036,16,True
dia3,band_366,366,17.28,3.225641456243768e-05,0.11659507504314011,0.09041498686749683,irrigado,0.00048131831773541036,17,True
dia3,band_367,367,17.28,3.225641456243768e-05,0.11493041073572159,0.08890271311149661,irrigado,0.00048131831773541036,18,True
dia3,band_368,368,17.28,3.225641456243768e-05,0.11327900751741986,0.0874222988173864,irrigado,0.00048131831773541036,19,True
dia3,band_369,369,17.28,3.225641456243768e-05,0.11159326667779822,0.08589132997533895,irrigado,0.00048131831773541036,20,True
dia4,band_350,350,17.28,3.225641456243768e-05,0.1752791286154263,0.11545408673447032,irrigado,0.0006040557709414854,1,True
dia4,band_351,351,17.28,3.225641456243768e-05,0.1748053353230674,0.11496127065226554,irrigado,0.0006040557709414854,2,True
dia4,band_352,352,17.28,3.225641456243768e-05,0.1737256345704172,0.11397688659700533,irrigado,0.0006040557709414854,3,True
dia4,band_353,353,17.28,3.225641456243768e-05,0.17203532552142567,0.11254849394037429,irrigado,0.0006040557709414854,4,True
dia4,band_354,354,17.28,3.225641456243768e-05,0.16992806248523995,0.11078344836261596,irrigado,0.0006040557709414854,5,True
dia4,band_355,355,17.28,3.225641456243768e-05,0.16759032352935002,0.10895952877678063,irrigado,0.0006040557709414854,6,True
dia4,band_356,356,17.28,3.225641456243768e-05,0.16560894767127146,0.1075641290001517,irrigado,0.0006040557709414854,7,True
dia4,band_357,357,17.28,3.225641456243768e-05,0.16365682782561647,0.1060024866265913,irrigado,0.0006040557709414854,8,True
dia4,band_358,358,17.28,3.225641456243768e-05,0.16196923908890073,0.1045158713933032,irrigado,0.0006040557709414854,9,True
dia4,band_359,359,17.28,3.225641456243768e-05,0.16024069879677583,0.10301414815310038,irrigado,0.0006040557709414854,10,True
dia4,band_360,360,17.28,3.225641456243768e-05,0.1581972251247644,0.10101702267165247,irrigado,0.0006040557709414854,11,True
dia4,band_361,361,17.28,3.225641456243768e-05,0.15599682973615245,0.09894150836058258,irrigado,0.0006040557709414854,12,True
dia4,band_362,362,17.28,3.225641456243768e-05,0.1539505202848835,0.09735061285536312,irrigado,0.0006040557709414854,13,True
dia4,band_363,363,17.28,3.225641456243768e-05,0.15178074681655176,0.0956106458708617,irrigado,0.0006040557709414854,14,True
dia4,band_364,364,17.28,3.225641456243768e-05,0.1494786269411202,0.09394553406235708,irrigado,0.0006040557709414854,15,True
dia4,band_365,365,17.28,3.225641456243768e-05,0.1472442095870404,0.09241538085558672,irrigado,0.0006040557709414854,16,True
dia4,band_366,366,17.28,3.225641456243768e-05,0.14517074316710663,0.09079776595958279,irrigado,0.0006040557709414854,17,True
dia4,band_367,367,17.28,3.225641456243768e-05,0.1432588906871497,0.08935664264485643,irrigado,0.0006040557709414854,18,True
dia4,band_368,368,17.28,3.225641456243768e-05,0.14144765789890743,0.08800709595945527,irrigado,0.0006040557709414854,19,True
dia4,band_369,369,17.28,3.225641456243768e-05,0.13965233781578906,0.08665464622312853,irrigado,0.0006040557709414854,20,True
dia5,band_359,359,17.28,3.225641456243768e-05,0.1575203595382436,0.09807832720703778,irrigado,7.119076481808613e-05,1,True
dia5,band_362,362,17.28,3.225641456243768e-05,0.15260543064371102,0.09455444629843135,irrigado,7.119076481808613e-05,2,True
dia5,band_363,363,17.28,3.225641456243768e-05,0.15093223470283598,0.09325511000501936,irrigado,7.119076481808613e-05,3,True
dia5,band_364,364,17.28,3.225641456243768e-05,0.14909074483256096,0.0917789416949966,irrigado,7.119076481808613e-05,4,True
dia5,band_365,365,17.28,3.225641456243768e-05,0.14719139152562827,0.09025515294043512,irrigado,7.119076481808613e-05,5,True
dia5,band_366,366,17.28,3.225641456243768e-05,0.14527377117503285,0.08873205794938165,irrigado,7.119076481808613e-05,6,True
dia5,band_367,367,17.28,3.225641456243768e-05,0.14340343418470355,0.08736944778384997,irrigado,7.119076481808613e-05,7,True
dia5,band_368,368,17.28,3.225641456243768e-05,0.14151226705536946,0.08606541647523734,irrigado,7.119076481808613e-05,8,True
dia5,band_369,369,17.28,3.225641456243768e-05,0.13949556026470367,0.08468402619316807,irrigado,7.119076481808613e-05,9,True
dia5,band_370,370,17.28,3.225641456243768e-05,0.1375575006010181,0.08340694673157321,irrigado,7.119076481808613e-05,10,True
dia5,band_371,371,17.28,3.225641456243768e-05,0.13561312800816158,0.08208304984391976,irrigado,7.119076481808613e-05,11,True
dia5,band_372,372,17.28,3.225641456243768e-05,0.13370964533812058,0.0807495687048392,irrigado,7.119076481808613e-05,12,True
dia5,band_373,373,17.28,3.225641456243768e-05,0.13198176652238722,0.07956625424236588,irrigado,7.119076481808613e-05,13,True
dia5,band_374,374,17.28,3.225641456243768e-05,0.13031097940309136,0.07849240560152256,irrigado,7.119076481808613e-05,14,True
dia5,band_375,375,17.28,3.225641456243768e-05,0.12878176836922853,0.07757098654303297,irrigado,7.119076481808613e-05,15,True
dia5,band_376,376,17.28,3.225641456243768e-05,0.12739156830851353,0.0767915645617869,irrigado,7.119076481808613e-05,16,True
dia5,band_377,377,17.28,3.225641456243768e-05,0.12597357677079438,0.07603672726654469,irrigado,7.119076481808613e-05,17,True
dia5,band_378,378,17.28,3.225641456243768e-05,0.12454982084576226,0.07526017248026699,irrigado,7.119076481808613e-05,18,True
dia5,band_379,379,17.28,3.225641456243768e-05,0.12310166294157869,0.0744637139980032,irrigado,7.119076481808613e-05,19,True
dia5,band_380,380,17.28,3.225641456243768e-05,0.12162450531845033,0.07364298570988002,irrigado,7.119076481808613e-05,20,True
dia6,band_350,350,17.28,3.225641456243768e-05,0.18187446061534676,0.11473196384690491,irrigado,3.4705343486724734e-05,1,True
dia6,band_351,351,17.28,3.225641456243768e-05,0.1810917970861424,0.11408228460872534,irrigado,3.4705343486724734e-05,2,True
dia6,band_352,352,17.28,3.225641456243768e-05,0.1792330152133217,0.11269320069594381,irrigado,3.4705343486724734e-05,3,True
dia6,band_353,353,17.28,3.225641456243768e-05,0.17684534870821056,0.11100293434457827,irrigado,3.4705343486724734e-05,4,True
dia6,band_354,354,17.28,3.225641456243768e-05,0.17431073218862544,0.10927262086859534,irrigado,3.4705343486724734e-05,5,True
dia6,band_355,355,17.28,3.225641456243768e-05,0.1716480738713896,0.1071887822884433,irrigado,3.4705343486724734e-05,6,True
dia6,band_356,356,17.28,3.225641456243768e-05,0.16948731735795156,0.1053859905295048,irrigado,3.4705343486724734e-05,7,True
dia6,band_357,357,17.28,3.225641456243768e-05,0.16725329172581385,0.10325236611237838,irrigado,3.4705343486724734e-05,8,True
dia6,band_358,358,17.28,3.225641456243768e-05,0.16520537060619167,0.10146807659866874,irrigado,3.4705343486724734e-05,9,True
dia6,band_359,359,17.28,3.225641456243768e-05,0.16329598991189712,0.09998901487276968,irrigado,3.4705343486724734e-05,10,True
