number,objective,datetime_start,datetime_complete,duration,params_lda_shrinkage,params_lda_shrinkage_mode,params_lda_solver,user_attrs_accuracy,user_attrs_f1_macro,user_attrs_kappa,state,accuracy,f1_macro,kappa
170,0.6062734576534576,2026-05-19 10:51:53.260057,2026-05-19 10:51:53.307169,0 days 00:00:00.047112,3.5049696585559555e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
182,0.6062734576534576,2026-05-19 10:51:53.859546,2026-05-19 10:51:53.907293,0 days 00:00:00.047747,3.515891726509537e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
162,0.6062734576534576,2026-05-19 10:51:52.845924,2026-05-19 10:51:52.894133,0 days 00:00:00.048209,4.1805925305397235e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
133,0.6062734576534576,2026-05-19 10:51:50.918394,2026-05-19 10:51:50.979003,0 days 00:00:00.060609,3.4810051750719975e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
124,0.6062734576534576,2026-05-19 10:51:50.350300,2026-05-19 10:51:50.399907,0 days 00:00:00.049607,4.7368148742276625e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
148,0.6062734576534576,2026-05-19 10:51:51.970328,2026-05-19 10:51:52.039210,0 days 00:00:00.068882,3.547234495318764e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
140,0.6010643753322701,2026-05-19 10:51:51.467001,2026-05-19 10:51:51.525229,0 days 00:00:00.058228,2.77613933825588e-05,float,eigen,0.6388888888888888,0.6003688197767145,0.5666666666666667,COMPLETE,0.6388888888888888,0.6003688197767145,0.5666666666666667
76,0.6010643753322701,2026-05-19 10:51:48.005298,2026-05-19 10:51:48.055056,0 days 00:00:00.049758,2.949630590149891e-05,float,eigen,0.6388888888888888,0.6003688197767145,0.5666666666666667,COMPLETE,0.6388888888888888,0.6003688197767145,0.5666666666666667
183,0.6010643753322701,2026-05-19 10:51:53.907293,2026-05-19 10:51:53.954017,0 days 00:00:00.046724,3.327967520064668e-05,float,eigen,0.6388888888888888,0.6003688197767145,0.5666666666666667,COMPLETE,0.6388888888888888,0.6003688197767145,0.5666666666666667
86,0.6010643753322701,2026-05-19 10:51:48.477988,2026-05-19 10:51:48.524152,0 days 00:00:00.046164,3.302883151353208e-05,float,eigen,0.6388888888888888,0.6003688197767145,0.5666666666666667,COMPLETE,0.6388888888888888,0.6003688197767145,0.5666666666666667
104,0.6010643753322701,2026-05-19 10:51:49.347001,2026-05-19 10:51:49.397957,0 days 00:00:00.050956,3.165676368511103e-05,float,eigen,0.6388888888888888,0.6003688197767145,0.5666666666666667,COMPLETE,0.6388888888888888,0.6003688197767145,0.5666666666666667
147,0.6010643753322701,2026-05-19 10:51:51.919026,2026-05-19 10:51:51.970328,0 days 00:00:00.051302,3.2051135168094594e-05,float,eigen,0.6388888888888888,0.6003688197767145,0.5666666666666667,COMPLETE,0.6388888888888888,0.6003688197767145,0.5666666666666667
185,0.6010643753322701,2026-05-19 10:51:54.004717,2026-05-19 10:51:54.092844,0 days 00:00:00.088127,2.9081316192617694e-05,float,eigen,0.6388888888888888,0.6003688197767145,0.5666666666666667,COMPLETE,0.6388888888888888,0.6003688197767145,0.5666666666666667
223,0.6010643753322701,2026-05-19 10:51:55.960865,2026-05-19 10:51:56.007661,0 days 00:00:00.046796,3.239205431903447e-05,float,eigen,0.6388888888888888,0.6003688197767145,0.5666666666666667,COMPLETE,0.6388888888888888,0.6003688197767145,0.5666666666666667
225,0.6010643753322701,2026-05-19 10:51:56.054894,2026-05-19 10:51:56.125211,0 days 00:00:00.070317,3.291085636156833e-05,float,eigen,0.6388888888888888,0.6003688197767145,0.5666666666666667,COMPLETE,0.6388888888888888,0.6003688197767145,0.5666666666666667
172,0.6010643753322701,2026-05-19 10:51:53.356510,2026-05-19 10:51:53.402452,0 days 00:00:00.045942,2.939810036420828e-05,float,eigen,0.6388888888888888,0.6003688197767145,0.5666666666666667,COMPLETE,0.6388888888888888,0.6003688197767145,0.5666666666666667
209,0.6010643753322701,2026-05-19 10:51:55.265388,2026-05-19 10:51:55.314172,0 days 00:00:00.048784,3.0686166893522525e-05,float,eigen,0.6388888888888888,0.6003688197767145,0.5666666666666667,COMPLETE,0.6388888888888888,0.6003688197767145,0.5666666666666667
236,0.6010643753322701,2026-05-19 10:51:56.663048,2026-05-19 10:51:56.708699,0 days 00:00:00.045651,3.120983789813585e-05,float,eigen,0.6388888888888888,0.6003688197767145,0.5666666666666667,COMPLETE,0.6388888888888888,0.6003688197767145,0.5666666666666667
135,0.5944187909166857,2026-05-19 10:51:51.042317,2026-05-19 10:51:51.112834,0 days 00:00:00.070517,2.742094335725942e-05,float,eigen,0.6319444444444444,0.5937310131389079,0.5583333333333333,COMPLETE,0.6319444444444444,0.5937310131389079,0.5583333333333333
