wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1184,nao_irrigado,1.0266295333,-0.0084525399,0.0084525399,2.0572289786
1645,irrigado,1.1130563223,0.0068302190,0.0068302190,2.0508396888
2202,irrigado,1.0865455330,0.0073070146,0.0073070146,2.0455715971
658,nao_irrigado,1.3840367234,-0.0017518955,0.0017518955,2.0336720508
662,nao_irrigado,1.4047639165,-0.0013636505,0.0013636505,2.0324262421
795,irrigado,1.1676726969,0.0057378198,0.0057378198,2.0234968750
1283,irrigado,1.0216903773,0.0084457237,0.0084457237,2.0230734535
2433,irrigado,1.0230909342,0.0083951934,0.0083951934,2.0145623807
937,irrigado,1.0794978003,0.0073269738,0.0073269738,2.0071307003
901,irrigado,1.1018200040,0.0069089164,0.0069089164,2.0058112355
1911,nao_irrigado,1.2863531739,-0.0034834817,0.0034834817,2.0055035084
966,nao_irrigado,0.8322580798,-0.0118934747,0.0118934747,1.9995875884
2323,nao_irrigado,0.8981950511,-0.0106683696,0.0106683696,1.9990834136
661,nao_irrigado,1.3889963032,-0.0015460397,0.0015460397,1.9941960325
887,irrigado,1.0619278729,0.0076063568,0.0076063568,1.9909409699
676,nao_irrigado,1.0110261593,-0.0085449976,0.0085449976,1.9888641460
1088,irrigado,1.0752729123,0.0073491577,0.0073491577,1.9876310026
657,nao_irrigado,1.3754361891,-0.0017784294,0.0017784294,1.9875167629
2467,irrigado,1.0368099058,0.0080466082,0.0080466082,1.9819629824
2302,nao_irrigado,1.0578483489,-0.0076514918,0.0076514918,1.9803372847
2186,nao_irrigado,1.0049914406,-0.0086066457,0.0086066457,1.9714029846
1664,irrigado,1.0006652546,0.0086834783,0.0086834783,1.9702056100
375,irrigado,1.0759180824,0.0072713960,0.0072713960,1.9648129053
2398,nao_irrigado,1.0706271719,-0.0073323573,0.0073323573,1.9519011482
2326,nao_irrigado,0.9061888884,-0.0103556120,0.0103556120,1.9420599550
2111,irrigado,1.0892829041,0.0069507444,0.0069507444,1.9396224343
1806,irrigado,1.2633165771,0.0037203027,0.0037203027,1.9393647777
1578,irrigado,1.0519727057,0.0076326394,0.0076326394,1.9359793078
