interval_label,threshold,rank,region_start,region_end,n_components,rmsecv,r2cv,auc,accuracy
thr_0p01_rank_07_2295_2413,0.01,7,2295,2413,10,0.3996841005015534,0.3610070710628235,0.8529719235364397,0.7598152424942263
thr_0p01_rank_07_2295_2413,0.01,7,2295,2413,11,0.39961850584220854,0.3612167921101075,0.8536866359447004,0.7586605080831409
thr_0p01_rank_07_2295_2413,0.01,7,2295,2413,12,0.3991317262784694,0.36277206156347763,0.8544546850998465,0.7586605080831409
thr_0p01_rank_07_2295_2413,0.01,7,2295,2413,13,0.3985079440980696,0.3647622858296733,0.8553534092848609,0.7592378752886836
thr_0p01_rank_07_2295_2413,0.01,7,2295,2413,14,0.3979222930849462,0.36662801648197385,0.8565161503669568,0.7592378752886836
thr_0p01_rank_07_2295_2413,0.01,7,2295,2413,15,0.39829611577744334,0.36543743209415114,0.8558907770097286,0.7615473441108545
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,1,0.42895586674159175,0.263983531900411,0.7965029761904762,0.733256351039261
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,2,0.3537893063681371,0.49932983640067385,0.9047859062980032,0.8475750577367206
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,3,0.35072887334260067,0.507954405218183,0.9110689750810718,0.8435334872979214
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,4,0.3484097218640199,0.5144400730376661,0.918405444615122,0.8469976905311778
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,5,0.3472853791043635,0.517568888724471,0.9172680384877966,0.8516166281755196
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,6,0.3462495656033072,0.5204423954874697,0.9188708077316947,0.8556581986143187
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,7,0.34619438667877545,0.5205952295529743,0.9187401327018262,0.8545034642032333
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,8,0.3461669837784669,0.5206711207961999,0.9193988415258576,0.8556581986143187
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,9,0.3460537649520173,0.5209846121515134,0.9195628520225294,0.855080831408776
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,10,0.34639294946406546,0.520045138336898,0.9192441649598908,0.8556581986143187
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,11,0.3466819248363693,0.5192440077846094,0.9194361772486773,0.855080831408776
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,12,0.34629386894653025,0.5203196668749678,0.9205149129544291,0.8527713625866051
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,13,0.34673647463628593,0.5190927036378077,0.9197908666154634,0.8533487297921478
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,14,0.3473041645389958,0.5175166957802186,0.9196881933777095,0.851039260969977
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,15,0.34761684497873974,0.5166475383170672,0.9191574927462025,0.8504618937644342
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,1,0.4818575862534186,0.07124811264610442,0.6565340181771633,0.6212471131639723
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,2,0.4553555009460578,0.17060104731205283,0.7308267729134665,0.6541570438799076
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,3,0.4314524762771446,0.25539107137666683,0.7905572623314558,0.7170900692840647
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,4,0.42643891605087453,0.2725955237912707,0.8034500874722649,0.7217090069284064
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,5,0.4233829334382941,0.28298374238167323,0.8104118663594471,0.7240184757505773
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,6,0.42181713019184475,0.28827743863050137,0.8140587664277181,0.7280600461893765
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,7,0.4205110498525681,0.2926780552025321,0.8173856460146782,0.7361431870669746
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,8,0.4202804212099872,0.2934537017222153,0.8173176416623997,0.7361431870669746
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,9,0.4196967353267454,0.2954148434163155,0.818296370967742,0.7286374133949192
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,10,0.41947400166528487,0.2961624936873808,0.819097755589691,0.7349884526558892
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,11,0.4191994689137113,0.2970834719417521,0.8203578362348524,0.7384526558891455
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,12,0.418818608487149,0.2983601504408069,0.8212552270011948,0.7349884526558892
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,13,0.4185887431182524,0.29913011834671743,0.8221352833247995,0.7355658198614319
