interval_label,threshold,rank,region_start,region_end,n_bands_csv,n_bands_used,best_components,rmsecv,r2cv,auc,accuracy,top_vip_band,top_vip,top_abs_coef_band,top_abs_coef,top_positive_band,top_positive_coef,top_negative_band,top_negative_coef,fit_mean_pred
thr_0p001_rank_01_765_985,0.001,1,765,985,221,221,15,0.3500974873387209,0.5097243824797524,0.9164746543778801,0.8383371824480369,849,1.4571345677455152,765,0.27938153109512065,765,0.27938153109512065,932,-0.09218714936234867,0.5011547344110855
thr_0p0001_rank_01_765_985,0.0001,1,765,985,221,221,15,0.3500974873387209,0.5097243824797524,0.9164746543778801,0.8383371824480369,849,1.4571345677455152,765,0.27938153109512065,765,0.27938153109512065,932,-0.09218714936234867,0.5011547344110855
thr_1em05_rank_01_766_985,1e-05,1,766,985,220,220,15,0.35273776001171775,0.5023016361006556,0.9136304723502304,0.8366050808314087,849,1.454806493171589,766,0.2445757872572985,766,0.2445757872572985,932,-0.09751317562885174,0.5011547344110855
thr_0p05_rank_06_556_677,0.05,6,556,677,122,122,15,0.3667217148648363,0.4620578661933352,0.9107249530636629,0.8314087759815243,666,1.4316548600863181,677,0.7106837217422886,677,0.7106837217422886,556,-0.6763355493048997,0.5011547344110855
thr_0p01_rank_06_556_677,0.01,6,556,677,122,122,15,0.3667217148648363,0.4620578661933352,0.9107249530636629,0.8314087759815243,666,1.4316548600863181,677,0.7106837217422886,677,0.7106837217422886,556,-0.6763355493048997,0.5011547344110855
thr_0p001_rank_08_556_627,0.001,8,556,627,72,72,15,0.3934437448801932,0.38080477589031847,0.8688302718040621,0.7863741339491916,600,1.2223937707322077,616,1.7621712209785239,616,1.7621712209785239,570,-1.3268163845844643,0.5011547344110854
thr_0p0001_rank_08_557_626,0.0001,8,557,626,70,70,15,0.39441648539729907,0.3777392252685269,0.8666728003925583,0.7840646651270208,600,1.2086876140425094,616,2.246660090302469,616,2.246660090302469,570,-1.6718510673213265,0.5011547344110855
thr_1em05_rank_08_557_625,1e-05,8,557,625,69,69,11,0.394762917455723,0.3766456312556985,0.8660567609660351,0.7886836027713626,602,1.2057921661408375,592,0.8716770732058376,592,0.8716770732058376,594,-0.8107860673557641,0.5011547344110855
thr_0p05_rank_07_2294_2415,0.05,7,2294,2415,122,122,8,0.3975940443084167,0.36767253111087983,0.8570815198839392,0.7586605080831409,2305,2.100263095072549,2294,0.06003646093964348,2294,0.06003646093964348,2308,-0.053125215803504114,0.5011547344110855
thr_0p01_rank_07_2295_2413,0.01,7,2295,2413,119,119,14,0.3979222930849462,0.36662801648197385,0.8565161503669568,0.7592378752886836,2305,2.058810803008415,2295,0.16156129574351524,2295,0.16156129574351524,2308,-0.10217448523129735,0.5011547344110855
thr_0p001_rank_06_2295_2412,0.001,6,2295,2412,118,118,8,0.39789392927505146,0.3667183064837174,0.8562601339819083,0.7650115473441108,2305,2.075340021078187,2295,0.057507860364625005,2295,0.057507860364625005,2308,-0.05507469939845128,0.5011547344110855
thr_0p0001_rank_06_2296_2410,0.0001,6,2296,2410,115,115,6,0.3986072234561879,0.364445735812583,0.8561921296296297,0.7609699769053118,2305,2.0743048551175254,2302,0.042453277642199305,2296,0.03788281520673551,2302,-0.042453277642199305,0.5011547344110855
thr_1em05_rank_06_2296_2409,1e-05,6,2296,2409,114,114,6,0.3989415914639514,0.36337903088980006,0.8557561017238436,0.7598152424942263,2305,2.0676898690300103,2302,0.042189225050312154,2296,0.038459327314130626,2302,-0.042189225050312154,0.5011547344110855
thr_0p05_rank_09_1119_1194,0.05,9,1119,1194,76,76,10,0.41186449444919004,0.32146693379311475,0.8339880419013483,0.7505773672055427,1162,1.1882874905144252,1119,0.23236756551117946,1119,0.23236756551117946,1139,-0.09892166200022454,0.5011547344110855
thr_0p01_rank_09_1122_1193,0.01,9,1122,1193,72,72,14,0.4183098773760951,0.30006365274551783,0.8222606246799795,0.7367205542725174,1162,1.1809404613038392,1122,0.4715947163113704,1122,0.4715947163113704,1125,-0.10682633282609529,0.5011547344110855
thr_0p001_rank_10_1124_1193,0.001,10,1124,1193,70,70,15,0.4244564577518541,0.279343018161592,0.8090544461512204,0.73094688221709,1162,1.1752621575099078,1124,0.5230288745073518,1124,0.5230288745073518,1126,-0.16789955143869748,0.5011547344110855
thr_0p0001_rank_10_1126_1192,0.0001,10,1126,1192,67,67,15,0.4299099306265036,0.26070586306146515,0.7993751600102407,0.7240184757505773,1162,1.1730975437010518,1126,0.5620744557928806,1126,0.5620744557928806,1191,-0.31916982755560114,0.5011547344110855
thr_1em05_rank_10_1127_1192,1e-05,10,1127,1192,66,66,15,0.43154242866850445,0.2550805558987622,0.7968736665813279,0.7263279445727483,1161,1.1713386172586215,1127,0.655999992744359,1127,0.655999992744359,1191,-0.2945922051180708,0.5011547344110855
thr_0p05_rank_10_1201_1272,0.05,10,1201,1272,72,72,6,0.463014158632867,0.14246698184423456,0.7159058179723503,0.6662817551963048,1252,1.2136164179140352,1201,0.08573838986228585,1251,0.037718214624275326,1201,-0.08573838986228585,0.5011547344110855
thr_0p01_rank_10_1201_1272,0.01,10,1201,1272,72,72,6,0.463014158632867,0.14246698184423456,0.7159058179723503,0.6662817551963048,1252,1.2136164179140352,1201,0.08573838986228585,1251,0.037718214624275326,1201,-0.08573838986228585,0.5011547344110855
