wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
574,nao_irrigado,1.1598401192,-0.0040674245,0.0040674245,1.0128932759
2246,irrigado,0.9262761743,0.0078287177,0.0078287177,1.0088110255
575,nao_irrigado,1.1512304107,-0.0041869770,0.0041869770,1.0067028488
2312,irrigado,1.2889162864,0.0019619070,0.0019619070,1.0066459762
463,nao_irrigado,1.0758287041,-0.0053915705,0.0053915705,1.0023269719
1238,nao_irrigado,0.9875535124,-0.0067928043,0.0067928043,0.9943505200
469,nao_irrigado,1.1313537376,-0.0044593663,0.0044593663,0.9912684639
2062,irrigado,1.0350870057,0.0060010809,0.0060010809,0.9868797997
1414,irrigado,1.2608798460,0.0023487955,0.0023487955,0.9857224574
1797,irrigado,1.1721464570,0.0037785283,0.0037785283,0.9844176545
970,nao_irrigado,0.9817023532,-0.0068494195,0.0068494195,0.9823529339
434,irrigado,1.0250344326,0.0061491972,0.0061491972,0.9823492413
2212,irrigado,1.0206080504,0.0062167682,0.0062167682,0.9810981872
1286,irrigado,1.0114881772,0.0063593473,0.0063593473,0.9795830829
2387,irrigado,0.8744430791,0.0085736778,0.0085736778,0.9795181675
1773,nao_irrigado,0.9235236730,-0.0077785030,0.0077785030,0.9788625796
2173,irrigado,1.2674136195,0.0022199677,0.0022199677,0.9783700175
1921,nao_irrigado,1.1452963795,-0.0041853425,0.0041853425,0.9758591234
1800,nao_irrigado,1.2048170044,-0.0032153705,0.0032153705,0.9732759105
2401,irrigado,0.9037385178,0.0080775680,0.0080775680,0.9723326296
1816,irrigado,0.9588298359,0.0071828791,0.0071828791,0.9709224878
1066,irrigado,1.0691956268,0.0053852989,0.0053852989,0.9664440958
1651,irrigado,1.2127475066,0.0030599447,0.0030599447,0.9646495064
1692,nao_irrigado,0.8182802547,-0.0094257754,0.0094257754,0.9619818665
2115,irrigado,1.1761192830,0.0035973052,0.0035973052,0.9474060584
1785,nao_irrigado,1.0840033241,-0.0050806731,0.0050806731,0.9457772953
871,irrigado,1.0210651718,0.0060915276,0.0060915276,0.9438245871
870,irrigado,1.0041430750,0.0063525134,0.0063525134,0.9398834576
2188,irrigado,1.0572479639,0.0054873081,0.0054873081,0.9376461486
500,irrigado,1.0471982739,0.0056308590,0.0056308590,0.9316864228
