wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1981,nao_irrigado,1.0433553451,-0.0013730732,0.0013730732,-0.2786366092
1205,irrigado,1.0420470879,0.0013899445,0.0013899445,-0.2793279160
993,irrigado,0.9397431321,0.0028306406,0.0028306406,-0.2799177209
1563,irrigado,1.1222140473,0.0002567251,0.0002567251,-0.2807455727
1948,nao_irrigado,1.0714106617,-0.0009706231,0.0009706231,-0.2817172870
1964,nao_irrigado,1.0487215823,-0.0012886864,0.0012886864,-0.2824893669
1956,nao_irrigado,1.0502382040,-0.0012663411,0.0012663411,-0.2829155911
1461,nao_irrigado,1.0825907806,-0.0008070060,0.0008070060,-0.2843719398
1298,irrigado,0.9545198264,0.0026100895,0.0026100895,-0.2853202290
513,irrigado,0.8965226211,0.0034238253,0.0034238253,-0.2869805786
1135,nao_irrigado,0.9637116858,-0.0024723396,0.0024723396,-0.2889257122
1155,nao_irrigado,1.0365748493,-0.0014433445,0.0014433445,-0.2897826527
1269,irrigado,0.8937933811,0.0034453704,0.0034453704,-0.2944359082
1467,nao_irrigado,0.9875897314,-0.0021231746,0.0021231746,-0.2944713521
893,irrigado,0.8314264142,0.0043220712,0.0043220712,-0.2954925082
1752,irrigado,0.9652090879,0.0024319295,0.0024319295,-0.2974286089
1842,nao_irrigado,0.9595256294,-0.0025119053,0.0025119053,-0.2974884995
1803,nao_irrigado,1.0787373416,-0.0008277784,0.0008277784,-0.2991477675
2107,nao_irrigado,1.1225833919,-0.0002073586,0.0002073586,-0.3001977631
1156,nao_irrigado,1.0289234407,-0.0015216780,0.0015216780,-0.3027848788
1997,nao_irrigado,1.0125438071,-0.0017433042,0.0017433042,-0.3068613905
1580,irrigado,1.1325058213,0.0000501018,0.0000501018,-0.3078597434
2235,irrigado,0.7952615392,0.0047977928,0.0047977928,-0.3104884583
1845,nao_irrigado,0.9673808390,-0.0023692368,0.0023692368,-0.3115597950
1473,nao_irrigado,0.9570361412,-0.0025144106,0.0025144106,-0.3118420591
1469,nao_irrigado,0.9669369701,-0.0023733776,0.0023733776,-0.3124917773
1111,nao_irrigado,0.9243337936,-0.0029733326,0.0029733326,-0.3127393873
1879,irrigado,1.0725261565,0.0008837069,0.0008837069,-0.3130768752
2036,nao_irrigado,0.9480878884,-0.0026295289,0.0026295289,-0.3166930386
1966,nao_irrigado,1.0495643694,-0.0011991543,0.0011991543,-0.3166944712
2246,irrigado,0.8085733293,0.0045930816,0.0045930816,-0.3180092249
1785,nao_irrigado,0.8024379074,-0.0046792294,0.0046792294,-0.3181566202
1559,nao_irrigado,1.1143471708,-0.0002760321,0.0002760321,-0.3210861590
1168,irrigado,0.9532281325,0.0025467325,0.0025467325,-0.3212483995
795,nao_irrigado,0.7765921087,-0.0050318797,0.0050318797,-0.3232934220
1464,nao_irrigado,1.0371140177,-0.0013592506,0.0013592506,-0.3234774511
1328,irrigado,0.9752791297,0.0022300331,0.0022300331,-0.3238373656
2324,nao_irrigado,0.9048216139,-0.0032205929,0.0032205929,-0.3249741802
858,nao_irrigado,0.9944976991,-0.0019414405,0.0019414405,-0.3316320074
2179,nao_irrigado,1.0888741192,-0.0006055635,0.0006055635,-0.3340922314
1911,irrigado,0.9176043935,0.0030174301,0.0030174301,-0.3350974784
1358,irrigado,0.9837109432,0.0020849343,0.0020849343,-0.3353990436
1355,irrigado,0.9734705724,0.0022272652,0.0022272652,-0.3362858506
2236,irrigado,0.8094875075,0.0045375809,0.0045375809,-0.3367805852
1962,nao_irrigado,1.0451780487,-0.0012133955,0.0012133955,-0.3376558583
2453,irrigado,0.8447763159,0.0040363367,0.0040363367,-0.3384665106
1946,nao_irrigado,1.0759990091,-0.0007735341,0.0007735341,-0.3400440113
1810,irrigado,0.9676830559,0.0022974941,0.0022974941,-0.3412851992
1967,nao_irrigado,1.0484436334,-0.0011586692,0.0011586692,-0.3414863326
1963,nao_irrigado,1.0465088176,-0.0011850557,0.0011850557,-0.3418765417
1961,nao_irrigado,1.0443866232,-0.0012090876,0.0012090876,-0.3444673773
1148,irrigado,0.9440468254,0.0026232628,0.0026232628,-0.3445439744
2095,irrigado,1.1254396860,0.0000659223,0.0000659223,-0.3447643331
2057,nao_irrigado,1.0127682018,-0.0016519564,0.0016519564,-0.3457058457
382,irrigado,0.8862019553,0.0034322314,0.0034322314,-0.3473583489
1709,irrigado,0.8709103449,0.0036468479,0.0036468479,-0.3477670555
1980,nao_irrigado,1.0427375593,-0.0012246794,0.0012246794,-0.3478382936
1566,nao_irrigado,1.1231499292,-0.0000899340,0.0000899340,-0.3484044303
2101,irrigado,1.0936597876,0.0004992493,0.0004992493,-0.3512085011
1560,nao_irrigado,1.1124060767,-0.0002343835,0.0002343835,-0.3514841228
2481,irrigado,0.8621575785,0.0037478326,0.0037478326,-0.3576299602
788,irrigado,0.9122902421,0.0030403060,0.0030403060,-0.3580162087
1397,irrigado,1.0760905169,0.0007308657,0.0007308657,-0.3582708021
641,nao_irrigado,0.9134753278,-0.0030219563,0.0030219563,-0.3587408988
1957,nao_irrigado,1.0480111606,-0.0011222043,0.0011222043,-0.3602339316
1744,nao_irrigado,1.0078726929,-0.0016859820,0.0016859820,-0.3611139463
623,irrigado,0.8233246797,0.0042852560,0.0042852560,-0.3620125781
1160,nao_irrigado,1.0424115464,-0.0011925789,0.0011925789,-0.3640024514
629,irrigado,0.7468498479,0.0053486307,0.0053486307,-0.3684364813
1243,irrigado,0.9897862427,0.0019228544,0.0019228544,-0.3690722294
1960,nao_irrigado,1.0445131063,-0.0011511486,0.0011511486,-0.3692035343
396,irrigado,1.0888502306,0.0005194329,0.0005194329,-0.3721801833
1910,irrigado,0.9176610832,0.0029295128,0.0029295128,-0.3734721195
2328,irrigado,0.9776013056,0.0020828124,0.0020828124,-0.3742681914
934,irrigado,0.9899139151,0.0019072809,0.0019072809,-0.3751394564
2105,nao_irrigado,1.1098501216,-0.0002131965,0.0002131965,-0.3766865789
1047,nao_irrigado,0.7292273233,-0.0055740702,0.0055740702,-0.3785503187
1186,irrigado,0.8627604345,0.0036890594,0.0036890594,-0.3797758138
1942,irrigado,1.0853052288,0.0005479865,0.0005479865,-0.3816133756
1959,nao_irrigado,1.0451082559,-0.0011076182,0.0011076182,-0.3846829399
1470,nao_irrigado,0.9701767369,-0.0021603696,0.0021603696,-0.3862039346
593,nao_irrigado,0.9553465576,-0.0023684978,0.0023684978,-0.3866056835
635,nao_irrigado,0.8897960006,-0.0032826341,0.0032826341,-0.3909391168
1300,irrigado,0.9644723185,0.0022273229,0.0022273229,-0.3921302422
1396,irrigado,1.0725814188,0.0006995079,0.0006995079,-0.3938714530
946,nao_irrigado,1.0372128467,-0.0011978368,0.0011978368,-0.3939649208
1279,nao_irrigado,0.9121479423,-0.0029572051,0.0029572051,-0.3955048326
1952,nao_irrigado,1.0568259913,-0.0009157723,0.0009157723,-0.3964341087
1394,irrigado,1.0670962937,0.0007651818,0.0007651818,-0.3989996918
619,irrigado,0.8512881333,0.0038070046,0.0038070046,-0.3990532577
963,irrigado,1.0712242374,0.0007033874,0.0007033874,-0.4005892586
1573,nao_irrigado,1.1102991844,-0.0001520029,0.0001520029,-0.4008535146
1395,irrigado,1.0696934187,0.0007219269,0.0007219269,-0.4019275728
2086,nao_irrigado,1.0692880739,-0.0007257115,0.0007257115,-0.4027772920
1958,nao_irrigado,1.0461555163,-0.0010467385,0.0010467385,-0.4049974132
1949,nao_irrigado,1.0673019866,-0.0007473414,0.0007473414,-0.4055810827
1561,nao_irrigado,1.1126463092,-0.0001061411,0.0001061411,-0.4064819127
2358,nao_irrigado,0.8354364007,-0.0040122974,0.0040122974,-0.4070467606
1562,irrigado,1.1170071964,0.0000433446,0.0000433446,-0.4070665588
1979,nao_irrigado,1.0422588117,-0.0010896699,0.0010896699,-0.4102810844
1150,irrigado,0.9525605439,0.0023533621,0.0023533621,-0.4105710304
1215,irrigado,1.0381202983,0.0011464747,0.0011464747,-0.4109550385
1329,irrigado,0.9767267854,0.0020118297,0.0020118297,-0.4109651973
432,nao_irrigado,1.0872060659,-0.0004537731,0.0004537731,-0.4113111795
2407,irrigado,0.8396793455,0.0039367098,0.0039367098,-0.4139979875
1153,nao_irrigado,1.0260362983,-0.0013095685,0.0013095685,-0.4141430241
2332,irrigado,1.0000845912,0.0016753239,0.0016753239,-0.4141647419
609,irrigado,0.8829038597,0.0033260599,0.0033260599,-0.4146035053
1945,nao_irrigado,1.0777490101,-0.0005777702,0.0005777702,-0.4154102454
1978,nao_irrigado,1.0430679354,-0.0010635086,0.0010635086,-0.4167810228
831,nao_irrigado,1.0025424792,-0.0016298438,0.0016298438,-0.4189373106
1227,nao_irrigado,1.0416269691,-0.0010784422,0.0010784422,-0.4191498227
1393,irrigado,1.0640495973,0.0007542322,0.0007542322,-0.4227397180
1346,irrigado,0.9554966284,0.0022842493,0.0022842493,-0.4227844637
1878,irrigado,1.0848430008,0.0004576738,0.0004576738,-0.4242651327
1574,irrigado,1.1122983392,0.0000690332,0.0000690332,-0.4249881114
1734,nao_irrigado,1.0204510403,-0.0013592680,0.0013592680,-0.4269295594
1880,irrigado,1.0496612470,0.0009473719,0.0009473719,-0.4270003920
2084,nao_irrigado,1.0666469650,-0.0007070130,0.0007070130,-0.4274123158
1992,nao_irrigado,1.0230669867,-0.0013095311,0.0013095311,-0.4325958436
1345,irrigado,0.9561989152,0.0022511746,0.0022511746,-0.4329930076
1545,irrigado,1.1133591853,0.0000299952,0.0000299952,-0.4355971794
2083,nao_irrigado,1.0606307729,-0.0007726828,0.0007726828,-0.4358397770
1544,irrigado,1.1123288720,0.0000353607,0.0000353607,-0.4396308881
1721,irrigado,0.8970877131,0.0030685802,0.0030685802,-0.4399536200
1909,irrigado,0.9184935965,0.0027639807,0.0027639807,-0.4412181905
1231,irrigado,0.8915502130,0.0031386403,0.0031386403,-0.4434749947
1354,irrigado,0.9758480907,0.0019494623,0.0019494623,-0.4438931507
916,irrigado,0.8231505547,0.0040990962,0.0040990962,-0.4450950945
634,nao_irrigado,0.8826529197,-0.0032562892,0.0032562892,-0.4468948697
2103,irrigado,1.1000547755,0.0001907735,0.0001907735,-0.4473825631
2102,irrigado,1.0955784128,0.0002527712,0.0002527712,-0.4478668028
514,irrigado,0.8927497168,0.0031110440,0.0031110440,-0.4481832151
2299,nao_irrigado,0.9327820859,-0.0025444400,0.0025444400,-0.4492068668
1472,nao_irrigado,0.9549589871,-0.0022277736,0.0022277736,-0.4509995726
1471,nao_irrigado,0.9639900368,-0.0020989066,0.0020989066,-0.4516907014
605,irrigado,0.8762371707,0.0033335588,0.0033335588,-0.4526935274
1353,irrigado,0.9724774109,0.0019684461,0.0019684461,-0.4564594174
2208,nao_irrigado,1.0219471206,-0.0012700118,0.0012700118,-0.4569568752
1747,irrigado,0.9711904208,0.0019853566,0.0019853566,-0.4570013947
1265,irrigado,0.9080178440,0.0028738528,0.0028738528,-0.4578642455
1347,irrigado,0.9599271553,0.0021385155,0.0021385155,-0.4594696833
1085,irrigado,1.0505423544,0.0008577027,0.0008577027,-0.4610279747
861,nao_irrigado,1.0360817838,-0.0010569924,0.0010569924,-0.4630280801
2081,nao_irrigado,1.0502946348,-0.0008531836,0.0008531836,-0.4645566542
903,nao_irrigado,0.9321574071,-0.0025183664,0.0025183664,-0.4645706552
360,irrigado,0.7580253454,0.0049651678,0.0049651678,-0.4679595577
1761,nao_irrigado,0.9842446351,-0.0017761638,0.0017761638,-0.4680954907
1088,nao_irrigado,1.1009965380,-0.0001296428,0.0001296428,-0.4684626354
853,nao_irrigado,1.0477070792,-0.0008734673,0.0008734673,-0.4716879280
1811,irrigado,0.9448606172,0.0023217304,0.0023217304,-0.4723129953
408,irrigado,0.9820100270,0.0017948809,0.0017948809,-0.4737254130
