wavelength,PC1,PC2,PC3,PC4,PC5
372,-0.016313641377383125,0.029049295059465914,0.027521906664733316,-0.04810709731917396,0.03872263890108918
373,-0.016328181733578716,0.029010017479787677,0.027947790769808512,-0.047556088364693196,0.03824032248818101
374,-0.016415772328137065,0.028944791012557643,0.02820587097461211,-0.04657636230985946,0.0354938268302113
375,-0.016501914175917544,0.029002477706294015,0.028018427561162455,-0.046881761764329656,0.034959023301114604
376,-0.016474303191120063,0.02948603439243845,0.02753575751483839,-0.04605608868145072,0.040041965064314226
377,-0.016420194352690844,0.029640350211077936,0.027541046795935577,-0.04607360481383811,0.04009418661915766
378,-0.016377131103753488,0.02936006777977182,0.028033047977037828,-0.04695267072133407,0.034663049153696154
379,-0.01641345782806813,0.029418932380293004,0.02835149902525839,-0.04668398468225531,0.034807700547881994
380,-0.016454949420435037,0.029257581026507797,0.02845616440667361,-0.0468324858021136,0.03591235682091109
381,-0.01647720867662944,0.029039062853351987,0.028553980849887098,-0.047181168287908394,0.036527553591122225
382,-0.016457791924959074,0.028934018106319088,0.028731973951590748,-0.04741060985963404,0.03649895110089911
383,-0.016420351396114433,0.0288837809492379,0.028760278502408934,-0.04805811628833459,0.03752149465232056
384,-0.016321107875805353,0.02919148297484823,0.028846298349255083,-0.047937849448080855,0.038114243205962024
385,-0.016295962615832226,0.029340447897375322,0.029078617006083645,-0.04737156044731363,0.03785494554835104
386,-0.016460004461850544,0.02882732392828938,0.02949188133788242,-0.047121057901591594,0.03666226119275868
387,-0.01646488527686908,0.028797142022722984,0.03000504997530273,-0.046805409730499264,0.033572623690286615
388,-0.01636308084562361,0.02893838316404852,0.030272679218581386,-0.04698883555622214,0.03209360161091867
389,-0.01628636708382115,0.02895349681212641,0.03034424470304682,-0.04737266126724159,0.032806880483174636
390,-0.01639675892539146,0.02870170653040575,0.030610681950581177,-0.047027580930861436,0.03354654746991996
391,-0.016383456076257547,0.02870015800565155,0.03084146730017053,-0.046885705924711425,0.03384162867938986
392,-0.016328709041958236,0.028819761440927533,0.03089604013200496,-0.04681045532874671,0.032958628176197484
393,-0.01633675323153243,0.028879906258259175,0.03086258899683849,-0.046595619514577524,0.03146559781755042
394,-0.016410066935751928,0.028773654793633908,0.031173610942576875,-0.04611383025073618,0.0325553872484626
395,-0.016394053499432015,0.0287513879529199,0.03147984347483553,-0.04596695756516921,0.030571422652079492
396,-0.01637681000338541,0.02869953133239773,0.03171232018147945,-0.045839295001234584,0.027623136733703986
397,-0.016465127798481763,0.028504750770170627,0.031959054552197226,-0.04543773287535253,0.027099472182632707
398,-0.016420154541846973,0.028402447259274308,0.032463545360011746,-0.04577242249520854,0.026198858485523398
399,-0.0163650729559981,0.028429089233526127,0.0328502724903678,-0.04536152065498651,0.026706255320959917
400,-0.016359371956372985,0.028432680145773624,0.033085173692847886,-0.04465022330368145,0.027729168061299308
401,-0.016381429639932624,0.028178808940108647,0.033338863594230154,-0.04522847536577187,0.026698915925336044
402,-0.01630701412207313,0.028367465129157186,0.03342191687467614,-0.04525475987719981,0.02613264985151647
403,-0.016346036623588862,0.028355727710427048,0.03341959612620203,-0.0450773721703084,0.025433488357599413
404,-0.016502350495190925,0.027963785614013126,0.03347385054462282,-0.044980402656006356,0.02403108990528831
405,-0.016429626423261436,0.02806461311112969,0.03384934942239294,-0.04479959398527438,0.022107640095044172
406,-0.016418086396553663,0.028181942505368235,0.033760893377324776,-0.04476177057643836,0.02182279516001863
407,-0.016443871169283183,0.0282034390506009,0.033615819871476736,-0.044560708769158415,0.022876038272544485
408,-0.016449837926617694,0.028112404029425372,0.03393051958189436,-0.04410687697844676,0.023911304898249282
409,-0.01651329358763562,0.027693133388644736,0.03430477179396691,-0.044402558523168274,0.022655727213143993
