wavelength,t_stat,p_value,q_value,mean_diff,cohen_d,direction
460,-3.4401470327909984,0.0010468311471318128,0.00519547375331701,-0.00016348457499999985,-0.8600367581977496,nao_irrigado
1000,3.4348987686931403,0.0010771231398994405,0.005333496837889165,0.0029628361625,0.8587246921732851,irrigado
999,3.4331457289352296,0.0010836689497864566,0.005353573731243897,0.0027603997906249997,0.8582864322338074,irrigado
1063,3.4264664089012182,0.0010907732231517579,0.005376311138883321,0.00010655732187499998,0.8566166022253046,irrigado
1064,3.424690351415608,0.0010988120181520539,0.005403540107571542,0.00011652552812500003,0.8561725878539019,irrigado
1170,-3.4087280303476493,0.0011553187710612418,0.005625363082000866,-0.000123483625,-0.8521820075869123,nao_irrigado
1165,-3.4060943582494954,0.0011663856630327366,0.005625363082000866,-0.00014310261249999998,-0.8515235895623737,nao_irrigado
1062,3.40548786211378,0.0011700964623798916,0.005625363082000866,9.81212125e-05,0.8513719655284449,irrigado
998,3.404874620967333,0.0011820507394505037,0.005670149640801635,0.0023494256906249995,0.8512186552418333,irrigado
1176,-3.390117473199223,0.0012226397057190452,0.005838783839089396,-0.000116996571875,-0.8475293682998056,nao_irrigado
997,3.3664443979957266,0.0013294717146877597,0.006306919900362021,0.0017443168343750002,0.8416110994989316,irrigado
1406,-3.3482463970937193,0.00139805257141199,0.006617654132080103,-0.00039760503749999496,-0.8370615992734298,nao_irrigado
996,3.318301397860304,0.0015422706895437649,0.0072565238229949725,0.0009569044718750002,0.829575349465076,irrigado
1236,3.325444459984256,0.0015508363827927008,0.007262079814090777,4.8598006249999986e-05,0.8313611149960639,irrigado
1164,-3.3129561786811874,0.0015510910352106405,0.007262079814090777,-0.0001478356875,-0.8282390446702969,nao_irrigado
685,-3.361578124298078,0.0016525309485600432,0.007653640104430028,-0.00047274896874999976,-0.8403945310745194,nao_irrigado
504,-3.419851527113854,0.0016707531046018253,0.007704824939462065,-0.0005331931562499999,-0.8549628817784632,nao_irrigado
505,-3.4041411478290367,0.001748816950537285,0.008013235877835022,-0.0005697682218750002,-0.8510352869572592,nao_irrigado
1163,-3.2698271867319972,0.0017608766142555544,0.008051327327734439,-0.00015517643125,-0.8174567966829993,nao_irrigado
1182,-3.270546528284128,0.0017897548277001924,0.0081486930608638,-8.000894062499999e-05,-0.817636632071032,nao_irrigado
1234,3.2636547073177686,0.001908481981903596,0.008616234830064764,4.939141562499994e-05,0.8159136768294422,irrigado
1171,-3.237631210631925,0.0019447726794009192,0.008725086613846713,-0.00011810509999999999,-0.8094078026579813,nao_irrigado
445,-3.2244842579019237,0.002101922035191293,0.009332707548814233,-0.00024686420937500004,-0.8061210644754808,nao_irrigado
684,-3.2626600043282066,0.0021458711070023915,0.00950820001844977,-0.00040709292499999973,-0.8156650010820516,nao_irrigado
1072,3.198674485939578,0.0021766196831611863,0.009604837164503879,0.00011561247499999999,0.7996686214848945,irrigado
686,-3.256025778879975,0.0022225962961972025,0.009767606217848238,-0.0005505504312499996,-0.8140064447199936,nao_irrigado
1291,3.215783733298849,0.0022548734117121055,0.009889230534223092,0.00010496727187500002,0.8039459333247122,irrigado
1044,3.189003183930554,0.0022645890092117087,0.00991161258817915,8.2556290625e-05,0.7972507959826385,irrigado
1162,-3.1843931827742087,0.002270104185226709,0.009915556695228044,-0.00016151343437500012,-0.7960982956935522,nao_irrigado
444,-3.190921532338593,0.00229130903105359,0.009987876486276196,-0.00026301370312500016,-0.7977303830846483,nao_irrigado
1043,3.166299541174377,0.0023949296454122194,0.010384408866026805,8.5387278125e-05,0.7915748852935942,irrigado
1175,-3.163006442285776,0.0024185089172263064,0.010457496304063044,-0.000112516203125,-0.790751610571444,nao_irrigado
392,-3.132264976150268,0.0026676077806681835,0.011329425139636218,-0.0008366203875000001,-0.783066244037567,nao_irrigado
1237,3.1374887467715764,0.0026892216897553014,0.011398693118903633,4.7133465624999994e-05,0.784372186692894,irrigado
506,-3.2295392593839702,0.002785797594343271,0.011784801240637183,-0.0005909896718749997,-0.8073848148459927,nao_irrigado
1172,-3.101435900064896,0.002904159189301153,0.012213381796102108,-0.000112470634375,-0.775358975016224,nao_irrigado
1174,-3.0961659421863486,0.002942683951429905,0.012327149730258998,-0.00011207190937499999,-0.7740414855465874,nao_irrigado
1055,3.102229367158653,0.002996677925526808,0.012456210564713946,9.2443840625e-05,0.7755573417896633,irrigado
1173,-3.088769064263732,0.003009227867583575,0.012484229126326452,-0.000112476203125,-0.7721922660659328,nao_irrigado
471,-3.084562563842391,0.003088240326252305,0.012787338075368408,-0.00012792727812500015,-0.7711406409605976,nao_irrigado
1045,3.067408530524118,0.003335993847988331,0.013655334817765567,7.4813815625e-05,0.7668521326310295,irrigado
461,-3.045945701154428,0.003424577869707074,0.013991288673004757,-0.00014458008749999992,-0.761486425288607,nao_irrigado
687,-3.0586027769455235,0.003797608787682248,0.01534034076076908,-0.0006384697718749997,-0.7646506942363809,nao_irrigado
1294,3.0515586151398946,0.0038337711517691573,0.015457362486213733,0.00012442247499999995,0.7628896537849736,irrigado
1042,2.9944977918636955,0.0039561775528652735,0.015891262731042008,8.0194578125e-05,0.7486244479659239,irrigado
454,-2.999864852713678,0.004067148543365587,0.016261738120946497,-0.00015906875312499992,-0.7499662131784194,nao_irrigado
432,-2.9847469146058656,0.004077725697224785,0.016261738120946497,-0.00028314039687499975,-0.7461867286514664,nao_irrigado
1161,-2.9831600248736234,0.004078676987989838,0.016261738120946497,-0.00016295136250000012,-0.7457900062184059,nao_irrigado
1292,3.005765069906458,0.0042020449685861525,0.016630192702562874,0.0001071450968750001,0.7514412674766147,irrigado
683,-2.9832129065926694,0.0045318858320232335,0.017771939147842933,-0.0003533200156250003,-0.7458032266481673,nao_irrigado
1405,-2.9348966046747966,0.004692785981892744,0.018369393579394364,-0.0003756376781249987,-0.7337241511686992,nao_irrigado
1293,2.972874230413402,0.004718639674582733,0.01843701211032417,0.00011329003437500007,0.7432185576033504,irrigado
1295,2.9620805036500175,0.004829201551839448,0.0187666440052495,0.00012962412812499982,0.7405201259125044,irrigado
1046,2.915559695968845,0.005072974667693399,0.019678380073778184,6.533296562500001e-05,0.728889923992211,irrigado
462,-2.902231941326317,0.005241354644914876,0.02022203075749025,-0.00014312380000000005,-0.7255579853315791,nao_irrigado
1041,2.89506519900092,0.005232831399015054,0.02022203075749025,7.754722812499999e-05,0.72376629975023,irrigado
507,-2.9828699885422574,0.005286290041444252,0.02035884820620734,-0.000609356428125,-0.7457174971355643,nao_irrigado
1188,-2.8569292728160285,0.005834876814184649,0.022272025352900193,-6.7546571875e-05,-0.7142323182040071,nao_irrigado
1246,2.8703770217241438,0.006030195246124446,0.022895564635903594,4.502557187499999e-05,0.7175942554310358,irrigado
723,2.896271174203222,0.00606758535838766,0.022956410097139227,0.0012332311937499965,0.7240677935508054,irrigado
722,2.8891028207700797,0.006087333349797503,0.022990649154156124,0.0011309842749999965,0.7222757051925199,irrigado
1187,-2.820649799438183,0.006453063020676543,0.024244112642366943,-6.722301875000001e-05,-0.7051624498595458,nao_irrigado
724,2.874671841345782,0.00649310458554556,0.024309550094664477,0.0013098477968750064,0.7186679603364454,irrigado
721,2.845336875990709,0.006683685947687646,0.02489296551400477,0.0010023792000000142,0.7113342189976772,irrigado
1189,-2.802001472700916,0.0067848469446337,0.025182445740963424,-6.5118515625e-05,-0.700500368175229,nao_irrigado
1073,2.7943142330947106,0.006929509001220274,0.025675025592452362,0.00011195502812499998,0.6985785582736777,irrigado
1160,-2.7920001786728768,0.006969400846993138,0.025778386265384257,-0.00016436266562500014,-0.6980000446682192,nao_irrigado
725,2.8432199477865785,0.007095690044611034,0.026167670882054895,0.0013667982062499986,0.7108049869466446,irrigado
688,-2.8225589367864568,0.0070990005231447205,0.026167670882054895,-0.0007279966968749994,-0.7056397341966141,nao_irrigado
726,2.810265087686722,0.007750812286776,0.028227102172484007,0.0014081227593749981,0.7025662719216804,irrigado
1238,2.759556197712568,0.007775916466314812,0.028227102172484007,4.313017812500002e-05,0.689889049428142,irrigado
1183,-2.755972817505405,0.007764937236591944,0.028227102172484007,-6.855716250000002e-05,-0.6889932043763511,nao_irrigado
