wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1622,irrigado,1.0989149446,0.0000539450,0.0000539450,-0.4468949887
1576,nao_irrigado,1.0451589751,-0.0008371245,0.0008371245,-0.4513923501
1639,nao_irrigado,1.0795969294,-0.0003263220,0.0003263220,-0.4521208689
2347,nao_irrigado,0.8191955677,-0.0041747860,0.0041747860,-0.4521642075
523,irrigado,0.8788122005,0.0032920594,0.0032920594,-0.4528125786
1157,nao_irrigado,0.9980755623,-0.0015289473,0.0015289473,-0.4530006515
1631,nao_irrigado,1.0969731319,-0.0000661484,0.0000661484,-0.4534596151
1956,irrigado,1.0172126154,0.0012405858,0.0012405858,-0.4552004211
1019,irrigado,0.8231282476,0.0041083317,0.0041083317,-0.4554799270
1564,irrigado,1.0536554007,0.0006926937,0.0006926937,-0.4588975667
650,irrigado,1.0128848942,0.0012944191,0.0012944191,-0.4592309502
1981,irrigado,1.0063521107,0.0013862608,0.0013862608,-0.4611049030
1936,irrigado,1.0983557480,0.0000261500,0.0000261500,-0.4612455222
1088,nao_irrigado,0.7676763286,-0.0049128823,0.0049128823,-0.4614473993
1061,nao_irrigado,0.8022215286,-0.0043937689,0.0043937689,-0.4648525877
2246,irrigado,0.8209313504,0.0041160178,0.0041160178,-0.4653426454
2244,irrigado,0.8088595074,0.0042899142,0.0042899142,-0.4671406923
2008,irrigado,0.9648447122,0.0019833305,0.0019833305,-0.4676253132
442,irrigado,1.0627204854,0.0005284887,0.0005284887,-0.4709275249
571,nao_irrigado,0.8454420089,-0.0037380294,0.0037380294,-0.4716050182
672,irrigado,1.0588819994,0.0005799810,0.0005799810,-0.4730121699
2059,irrigado,0.8790958168,0.0032325927,0.0032325927,-0.4748102138
795,nao_irrigado,1.0326704891,-0.0009622607,0.0009622607,-0.4750459264
1012,nao_irrigado,0.8054858282,-0.0043179049,0.0043179049,-0.4758443192
1808,nao_irrigado,0.8569855933,-0.0035547040,0.0035547040,-0.4766664689
1812,nao_irrigado,0.8408142818,-0.0037900269,0.0037900269,-0.4781306726
2010,irrigado,0.9584349812,0.0020469056,0.0020469056,-0.4800246816
2057,irrigado,0.8747063770,0.0032746057,0.0032746057,-0.4839078487
1555,nao_irrigado,1.0216577956,-0.0011015793,0.0011015793,-0.4843751845
1186,nao_irrigado,0.9434683347,-0.0022412570,0.0022412570,-0.4907087206
441,nao_irrigado,1.0750667831,-0.0002935483,0.0002935483,-0.4918087250
2056,irrigado,0.8725569172,0.0032778657,0.0032778657,-0.4952529937
1465,nao_irrigado,0.9926727729,-0.0015018439,0.0015018439,-0.4955645565
1147,irrigado,0.9565442537,0.0020340817,0.0020340817,-0.4962489058
620,irrigado,0.8412822717,0.0037272700,0.0037272700,-0.5003532584
1018,irrigado,0.8357336771,0.0038080328,0.0038080328,-0.5008475340
772,nao_irrigado,0.9790020624,-0.0016807749,0.0016807749,-0.5047630721
1937,nao_irrigado,1.0865995294,-0.0000809999,0.0000809999,-0.5085637325
1091,nao_irrigado,0.7855024376,-0.0045302410,0.0045302410,-0.5088780534
1567,irrigado,1.0645491630,0.0004058692,0.0004058692,-0.5089703053
775,nao_irrigado,0.9625528767,-0.0019123094,0.0019123094,-0.5093692841
1518,nao_irrigado,0.9907652898,-0.0014948863,0.0014948863,-0.5095527206
1552,nao_irrigado,1.0220601278,-0.0010259416,0.0010259416,-0.5121100831
