target,model,classes,n_classes,n_samples,n_groups,cv_splits,inner_splits,n_bandas,bandas,n_param_candidates,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,top_n_requested,n_features_after_pruning,variant,augmentation_method,correlation_threshold,analysis_source
condicao_genotipo_turno,SVM (RBF),IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,6,band_400|band_530|band_720|band_730|band_1349|band_1522,4,0.3680555555555556,0.07978559231302816,0.3680555555555555,0.07978559231302816,0.3084520803270803,0.07268759463626959,0.31060606060606055,0.08703882797784888,,,10,6,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,LDA,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,6,band_400|band_530|band_720|band_730|band_1349|band_1522,4,0.3819444444444444,0.08599155380095698,0.3819444444444444,0.08599155380095698,0.3531911375661376,0.08982634634590088,0.3257575757575758,0.09380896778286224,,,10,6,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,XGBoost,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,6,band_400|band_530|band_720|band_730|band_1349|band_1522,4,0.3611111111111111,0.0600068583185913,0.36111111111111105,0.06000685831859128,0.33670634920634923,0.0801209049526454,0.30303030303030304,0.06546202725664504,,,10,6,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,Random Forest,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,4,0.3541666666666667,0.06563632814239731,0.3541666666666667,0.06563632814239732,0.32763197450697445,0.08511370652317303,0.2954545454545454,0.07160326706443346,,,15,7,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,SVM (RBF),IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,4,0.3888888888888889,0.0878410461157883,0.3888888888888889,0.08784104611578834,0.3321984728234728,0.07941821992785318,0.3333333333333333,0.09582659576267814,,,15,7,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,LDA,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,4,0.375,0.05782405554072589,0.375,0.05782405554072589,0.33149801587301586,0.06474104012748506,0.3181818181818182,0.06308078786261008,,,15,7,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,XGBoost,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,4,0.375,0.03586095690932795,0.37499999999999994,0.0358609569093279,0.3636739417989418,0.05942151152180556,0.3181818181818182,0.03912104390108505,,,15,7,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,Random Forest,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,4,0.3263888888888889,0.05726535591135639,0.32638888888888884,0.05726535591135637,0.28791937229437226,0.0688404207486791,0.26515151515151514,0.062471297357843326,,,15,7,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,SVM (RBF),IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,4,0.37499999999999994,0.12318643236713028,0.37499999999999994,0.12318643236713026,0.3247850529100529,0.1095558002971764,0.3181818181818182,0.1343851989459603,,,15,7,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,LDA,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,4,0.3819444444444445,0.08294663364430054,0.3819444444444444,0.08294663364430052,0.3476686507936508,0.0956953885003305,0.32575757575757575,0.09048723670287334,,,15,7,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,XGBoost,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,7,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707,4,0.3819444444444444,0.07649403537897363,0.38194444444444436,0.07649403537897362,0.3526951058201058,0.09177243489893665,0.32575757575757575,0.08344803859524395,,,15,7,mixup,mixup,0.95,gen_cond
