target,top_n_requested,n_features_after_pruning,variant,model,fold,inner_f1_macro,best_params,train_samples_real,train_samples_after_augmentation,test_samples
condicao_genotipo_turno,8,8,mixup,XGBoost,2,0.3183641975308642,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao_genotipo_turno,8,8,mixup,XGBoost,3,0.3616402116402116,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao_genotipo_turno,8,8,mixup,XGBoost,4,0.3595679012345679,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.04, ""model__max_depth"": 4, ""model__n_estimators"": 220, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",108,432,36
condicao_genotipo_turno,10,6,jitter,Random Forest,1,0.30956790123456784,"{""model__max_depth"": null, ""model__max_features"": 0.6, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,10,6,jitter,Random Forest,2,0.3227793811127144,"{""model__max_depth"": null, ""model__max_features"": 0.6, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,10,6,jitter,Random Forest,3,0.3653880070546737,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,10,6,jitter,Random Forest,4,0.3682217473884141,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,10,6,jitter,SVM (RBF),1,0.30123456790123465,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao_genotipo_turno,10,6,jitter,SVM (RBF),2,0.3882275132275132,"{""model__C"": 1.0, ""model__gamma"": 0.03}",108,432,36
condicao_genotipo_turno,10,6,jitter,SVM (RBF),3,0.3410313451980118,"{""model__C"": 3.0, ""model__gamma"": 0.03}",108,432,36
condicao_genotipo_turno,10,6,jitter,SVM (RBF),4,0.4015512265512266,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao_genotipo_turno,10,6,jitter,LDA,1,0.26913580246913577,"{""model__shrinkage"": 0.2}",108,432,36
condicao_genotipo_turno,10,6,jitter,LDA,2,0.3893518518518519,"{""model__shrinkage"": 0.2}",108,432,36
condicao_genotipo_turno,10,6,jitter,LDA,3,0.3445165945165945,"{""model__shrinkage"": 0.2}",108,432,36
condicao_genotipo_turno,10,6,jitter,LDA,4,0.417636684303351,"{""model__shrinkage"": ""auto""}",108,432,36
condicao_genotipo_turno,10,6,jitter,XGBoost,1,0.31903158569825235,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.04, ""model__max_depth"": 4, ""model__n_estimators"": 220, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",108,432,36
condicao_genotipo_turno,10,6,jitter,XGBoost,2,0.37041446208112877,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 300, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.8}",108,432,36
