number,objective,datetime_start,datetime_complete,duration,params_knn_n_neighbors,params_knn_p,params_knn_weights,params_lda_shrinkage,params_lda_shrinkage_mode,params_lda_solver,params_model,params_rf_class_weight,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_svm_c,params_svm_gamma,user_attrs_accuracy,user_attrs_f1_macro,user_attrs_kappa,user_attrs_model,state
73,0.6214605235505236,2026-04-24 15:21:30.550044,2026-04-24 15:21:30.605312,0 days 00:00:00.055268,,,,0.006774078146832326,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6207727457727458,0.5583333333333333,LDA,COMPLETE
49,0.6214605235505236,2026-04-24 15:21:21.607966,2026-04-24 15:21:21.659840,0 days 00:00:00.051874,,,,0.006687120685709428,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6207727457727458,0.5583333333333333,LDA,COMPLETE
60,0.6193274714174715,2026-04-24 15:21:26.273429,2026-04-24 15:21:26.331359,0 days 00:00:00.057930,,,,0.009402835412056377,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6186396936396936,0.5583333333333333,LDA,COMPLETE
67,0.6193274714174715,2026-04-24 15:21:26.670569,2026-04-24 15:21:26.732408,0 days 00:00:00.061839,,,,0.009907861268014273,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6186396936396936,0.5583333333333333,LDA,COMPLETE
55,0.6193274714174715,2026-04-24 15:21:21.936976,2026-04-24 15:21:21.991554,0 days 00:00:00.054578,,,,0.009046352334085801,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6186396936396936,0.5583333333333333,LDA,COMPLETE
75,0.6193274714174715,2026-04-24 15:21:30.662979,2026-04-24 15:21:30.715636,0 days 00:00:00.052657,,,,0.009641452180283328,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6186396936396936,0.5583333333333333,LDA,COMPLETE
41,0.6188317389364449,2026-04-24 15:21:18.506261,2026-04-24 15:21:18.563429,0 days 00:00:00.057168,,,,0.023676057083729062,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6181439611586671,0.5583333333333333,LDA,COMPLETE
22,0.6188317389364449,2026-04-24 15:21:16.316957,2026-04-24 15:21:16.370522,0 days 00:00:00.053565,,,,0.025616617883542803,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6181439611586671,0.5583333333333333,LDA,COMPLETE
3,0.6188317389364449,2026-04-24 15:21:01.120122,2026-04-24 15:21:01.170991,0 days 00:00:00.050869,,,,0.0234238498471129,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6181439611586671,0.5583333333333333,LDA,COMPLETE
33,0.6188317389364449,2026-04-24 15:21:18.068144,2026-04-24 15:21:18.119595,0 days 00:00:00.051451,,,,0.02040970610861292,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6181439611586671,0.5583333333333333,LDA,COMPLETE
45,0.6161617404817404,2026-04-24 15:21:18.721679,2026-04-24 15:21:18.775830,0 days 00:00:00.054151,,,,0.005516789129968943,float,eigen,LDA,,,,,,,,,0.625,0.6154817404817404,0.55,LDA,COMPLETE
36,0.6155159266006325,2026-04-24 15:21:18.222990,2026-04-24 15:21:18.275650,0 days 00:00:00.052660,,,,0.0049070169590024896,float,eigen,LDA,,,,,,,,,0.625,0.6148359266006325,0.5499999999999999,LDA,COMPLETE
78,0.6155159266006325,2026-04-24 15:21:30.821003,2026-04-24 15:21:30.876939,0 days 00:00:00.055936,,,,0.004512144155530867,float,eigen,LDA,,,,,,,,,0.625,0.6148359266006325,0.5499999999999999,LDA,COMPLETE
32,0.6155159266006325,2026-04-24 15:21:18.018891,2026-04-24 15:21:18.067872,0 days 00:00:00.048981,,,,0.00451188034600407,float,eigen,LDA,,,,,,,,,0.625,0.6148359266006325,0.5499999999999999,LDA,COMPLETE
56,0.6155159266006325,2026-04-24 15:21:21.991786,2026-04-24 15:21:22.047634,0 days 00:00:00.055848,,,,0.004111915861777466,float,eigen,LDA,,,,,,,,,0.625,0.6148359266006325,0.5499999999999999,LDA,COMPLETE
20,0.6134385377585378,2026-04-24 15:21:16.203788,2026-04-24 15:21:16.254782,0 days 00:00:00.050994,,,,0.012635334118329395,float,eigen,LDA,,,,,,,,,0.625,0.6127585377585378,0.55,LDA,COMPLETE
21,0.6134385377585378,2026-04-24 15:21:16.255058,2026-04-24 15:21:16.316722,0 days 00:00:00.061664,,,,0.011596796583559018,float,eigen,LDA,,,,,,,,,0.625,0.6127585377585378,0.55,LDA,COMPLETE
65,0.6134385377585378,2026-04-24 15:21:26.554308,2026-04-24 15:21:26.614129,0 days 00:00:00.059821,,,,0.01341246233596579,float,lsqr,LDA,,,,,,,,,0.625,0.6127585377585378,0.55,LDA,COMPLETE
17,0.61303692412163,2026-04-24 15:21:10.828818,2026-04-24 15:21:10.901893,0 days 00:00:00.073075,,,,0.015522340053199956,float,eigen,LDA,,,,,,,,,0.625,0.61235692412163,0.55,LDA,COMPLETE
77,0.61303692412163,2026-04-24 15:21:30.767938,2026-04-24 15:21:30.820626,0 days 00:00:00.052688,,,,0.016848287748862073,float,eigen,LDA,,,,,,,,,0.625,0.61235692412163,0.55,LDA,COMPLETE
72,0.61303692412163,2026-04-24 15:21:30.495258,2026-04-24 15:21:30.549786,0 days 00:00:00.054528,,,,0.015667290090544482,float,eigen,LDA,,,,,,,,,0.625,0.61235692412163,0.55,LDA,COMPLETE
7,0.6092491300638361,2026-04-24 15:21:01.433995,2026-04-24 15:21:01.512030,0 days 00:00:00.078035,,,,0.0035868164986275516,float,eigen,LDA,,,,,,,,,0.6180555555555556,0.6085769078416138,0.5416666666666666,LDA,COMPLETE
74,0.6092491300638361,2026-04-24 15:21:30.605593,2026-04-24 15:21:30.662657,0 days 00:00:00.057064,,,,0.003457768483198025,float,eigen,LDA,,,,,,,,,0.6180555555555556,0.6085769078416138,0.5416666666666666,LDA,COMPLETE
64,0.6092491300638361,2026-04-24 15:21:26.499470,2026-04-24 15:21:26.554045,0 days 00:00:00.054575,,,,0.0033797682402136346,float,eigen,LDA,,,,,,,,,0.6180555555555556,0.6085769078416138,0.5416666666666666,LDA,COMPLETE
26,0.6028511466311467,2026-04-24 15:21:16.533967,2026-04-24 15:21:16.587946,0 days 00:00:00.053979,,,,0.0014946555983928278,float,eigen,LDA,,,,,,,,,0.611111111111111,0.6021867021867022,0.5333333333333333,LDA,COMPLETE
66,0.6018243956043956,2026-04-24 15:21:26.614361,2026-04-24 15:21:26.670305,0 days 00:00:00.055944,,,,0.0017973461747510576,float,eigen,LDA,,,,,,,,,0.6111111111111112,0.6011599511599511,0.5333333333333333,LDA,COMPLETE
11,0.6011785817232876,2026-04-24 15:21:05.321826,2026-04-24 15:21:05.391379,0 days 00:00:00.069553,,,,0.0020018889938872115,float,eigen,LDA,,,,,,,,,0.6111111111111112,0.6005141372788432,0.5333333333333332,LDA,COMPLETE
