number,objective,datetime_start,datetime_complete,duration,params_lda_shrinkage,params_lda_shrinkage_mode,params_lda_solver,user_attrs_accuracy,user_attrs_f1_macro,user_attrs_kappa,state,accuracy,f1_macro,kappa
188,0.4105532828282829,2026-05-21 17:05:28.932734,2026-05-21 17:05:28.982313,0 days 00:00:00.049579,0.00013705979491812888,float,lsqr,0.4444444444444444,0.4100694444444445,0.3939393939393939,COMPLETE,0.4444444444444444,0.4100694444444445,0.3939393939393939
240,0.4105532828282829,2026-05-21 17:05:31.657370,2026-05-21 17:05:31.708959,0 days 00:00:00.051589,0.00014022232104256508,float,eigen,0.4444444444444444,0.4100694444444445,0.3939393939393939,COMPLETE,0.4444444444444444,0.4100694444444445,0.3939393939393939
210,0.4105532828282829,2026-05-21 17:05:30.098525,2026-05-21 17:05:30.149628,0 days 00:00:00.051103,0.00014242811095412731,float,eigen,0.4444444444444444,0.4100694444444445,0.3939393939393939,COMPLETE,0.4444444444444444,0.4100694444444445,0.3939393939393939
216,0.4105532828282829,2026-05-21 17:05:30.406062,2026-05-21 17:05:30.455920,0 days 00:00:00.049858,0.00012177771768507376,float,lsqr,0.4444444444444444,0.4100694444444445,0.3939393939393939,COMPLETE,0.4444444444444444,0.4100694444444445,0.3939393939393939
197,0.4105532828282829,2026-05-21 17:05:29.428639,2026-05-21 17:05:29.479343,0 days 00:00:00.050704,0.00012698020428430226,float,lsqr,0.4444444444444444,0.4100694444444445,0.3939393939393939,COMPLETE,0.4444444444444444,0.4100694444444445,0.3939393939393939
182,0.4105532828282829,2026-05-21 17:05:28.624427,2026-05-21 17:05:28.675905,0 days 00:00:00.051478,0.0001345907312201858,float,eigen,0.4444444444444444,0.4100694444444445,0.3939393939393939,COMPLETE,0.4444444444444444,0.4100694444444445,0.3939393939393939
174,0.4105532828282829,2026-05-21 17:05:28.213949,2026-05-21 17:05:28.264743,0 days 00:00:00.050794,0.00013112756305291707,float,eigen,0.4444444444444444,0.4100694444444445,0.3939393939393939,COMPLETE,0.4444444444444444,0.4100694444444445,0.3939393939393939
129,0.4105532828282829,2026-05-21 17:05:25.849840,2026-05-21 17:05:25.901380,0 days 00:00:00.051540,0.0001262562737149217,float,eigen,0.4444444444444444,0.4100694444444445,0.3939393939393939,COMPLETE,0.4444444444444444,0.4100694444444445,0.3939393939393939
144,0.4105532828282829,2026-05-21 17:05:26.624280,2026-05-21 17:05:26.674616,0 days 00:00:00.050336,0.00012486459624067706,float,eigen,0.4444444444444444,0.4100694444444445,0.3939393939393939,COMPLETE,0.4444444444444444,0.4100694444444445,0.3939393939393939
213,0.4105532828282829,2026-05-21 17:05:30.252174,2026-05-21 17:05:30.303713,0 days 00:00:00.051539,0.00017016077092551221,float,eigen,0.4444444444444444,0.4100694444444445,0.3939393939393939,COMPLETE,0.4444444444444444,0.4100694444444445,0.3939393939393939
