subset_family,subset_name,subset_label,dates,shift,genotype,n_samples,irrigated_count,non_irrigated_count,best_components,rmsecv,auc,rank,wavelength,direction_label,vip,coefficient,optimal_score,pearson_r,pearson_p_value,welch_p_value,pearson_p_lt_0_005,welch_p_lt_0_005
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,18,2235,irrigado,1.5710984938,0.0081007910,5.3055143477,0.2641122139,1.5029516982e-07,1.5121855674e-07,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,19,2275,nao_irrigado,1.4068288037,-0.0093682524,4.8689499296,-0.5894107835,2.7230298631e-37,2.7408053895e-37,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,20,990,nao_irrigado,1.1875305365,-0.0124404307,4.8227272492,0.2336238480,3.7039475276e-06,3.7508254897e-06,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,1,2295,irrigado,1.5794999833,0.0097952919,8.0173336966,0.3034799369,1.0402901931e-09,1.0697962659e-09,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,2,2304,nao_irrigado,1.5036700708,-0.0101514543,7.8172991360,-0.5469268711,1.1912493968e-31,2.6645480033e-31,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,3,2305,nao_irrigado,1.5416260815,-0.0089952617,7.3342361668,-0.5666796533,2.4435682926e-34,5.3103425751e-34,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,4,2294,irrigado,1.5469530485,0.0087807236,7.2352679462,0.3457556714,2.4547249804e-12,2.4047307608e-12,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,5,2296,irrigado,1.4562244299,0.0086435501,6.6599958813,0.2297849348,4.8086074083e-06,5.0206007114e-06,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,6,2303,nao_irrigado,1.3305301802,-0.0095557134,6.5203271972,-0.4997771946,6.5766401528e-26,1.4336881304e-25,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,7,2306,nao_irrigado,1.5123049579,-0.0068747045,5.9101511835,-0.5604379044,1.8067778161e-33,3.4686166344e-33,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,8,2269,nao_irrigado,1.4009561830,-0.0076074042,5.7414823065,-0.6512745952,3.4005680571e-48,1.4474537582e-46,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,9,2270,nao_irrigado,1.4040424854,-0.0073864456,5.6264983198,-0.6617472624,3.1540041295e-50,9.2454594640e-49,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,10,2293,irrigado,1.4733368695,0.0066533319,5.5661889391,0.3678041863,7.1259942034e-14,6.8068170801e-14,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,11,2268,nao_irrigado,1.3860590921,-0.0073339939,5.4974077350,-0.6417255585,2.0705901563e-46,1.0324254093e-44,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,12,458,nao_irrigado,1.3953384587,-0.0067655748,5.2088969775,-0.5518271283,2.6656343134e-32,8.5088749696e-32,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,13,2271,nao_irrigado,1.3856478048,-0.0067886085,5.1699264064,-0.6676469988,2.0761440676e-51,3.2132961300e-50,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,14,2272,nao_irrigado,1.3827554521,-0.0067643680,5.1397390903,-0.6751486907,5.9575865604e-53,7.0831371554e-52,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,15,2279,nao_irrigado,1.3802490149,-0.0067010683,5.0883575016,-0.7213947235,1.4356182747e-63,3.4950087738e-63,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,16,2273,nao_irrigado,1.3826045472,-0.0066512824,5.0714789260,-0.6820520571,2.0653438626e-54,2.0734005343e-53,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,17,2267,nao_irrigado,1.3503285250,-0.0068150936,4.9936214806,-0.6293228904,3.4782912085e-44,1.0735680726e-42,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,18,2280,nao_irrigado,1.3411077044,-0.0068756894,4.9796067055,-0.7053598509,1.1821359805e-59,1.6386398308e-59,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,19,2246,irrigado,1.1804770374,0.0081990598,4.8951470329,-0.2024471032,5.9057425422e-05,5.7776226395e-05,1,1
data,2017-03-02,Data 02/03/2017,2017-03-02,,,388,196,192,10,0.2013574401,0.9980601616,20,2245,irrigado,1.1986056985,0.0079992545,4.8745925172,-0.1824463824,3.0320291829e-04,2.9751735690e-04,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,1,392,nao_irrigado,1.5166099334,-0.0154516911,7.0811967484,-0.5299118867,2.6490583382e-43,2.6800045935e-43,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,2,395,nao_irrigado,1.3672404292,-0.0156984126,6.3136982747,-0.4855175553,1.2329951012e-35,1.1966268195e-35,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,3,391,nao_irrigado,1.3576460322,-0.0153318016,6.1341086821,-0.5414938365,1.6956752816e-45,2.1921224015e-45,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,4,406,nao_irrigado,1.2825677769,-0.0165837118,6.1325760447,-0.4366781830,2.1040132352e-28,2.0841757486e-28,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,5,390,nao_irrigado,1.2486395555,-0.0164851991,5.9055928280,-0.5271260348,8.6738407459e-43,1.8301943606e-42,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,6,1661,irrigado,1.3958018548,0.0133896589,5.6900086236,0.6315190911,7.1178229856e-66,3.1320742702e-64,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,7,436,irrigado,1.2187766257,0.0159121114,5.5401134408,-0.5330073498,6.9996423106e-44,1.2857838985e-43,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,8,389,nao_irrigado,1.1416797122,-0.0171584246,5.5251657974,-0.4890995016,3.2598250572e-36,5.8666615016e-36,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,9,2170,irrigado,1.3172971769,0.0134389833,5.2592604098,0.5965728549,3.3997345397e-57,3.3153149977e-57,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,10,375,irrigado,1.0645943058,0.0175747634,5.2275386257,-0.4388378449,1.0650375675e-28,1.3649023113e-28,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,11,437,irrigado,1.2539979551,0.0141173347,5.1294867434,-0.5541735190,5.3426893820e-48,1.2917782089e-47,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,12,2171,irrigado,1.3101031955,0.0129682192,5.0578739361,0.5945469488,1.0051981196e-56,1.0305295181e-56,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,13,1662,irrigado,1.3567819046,0.0118759930,4.9519012204,0.6131861014,3.4743428525e-61,7.4899712034e-60,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,14,1641,irrigado,1.2300319431,0.0136504908,4.8338191784,0.6159445596,7.1634068323e-62,8.4584280684e-62,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,15,1660,irrigado,1.3557962305,0.0114439065,4.7990841775,0.6384086117,1.0177819868e-67,6.2966387680e-66,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,16,458,nao_irrigado,1.3428697655,-0.0115891450,4.7748690389,-0.6514357985,2.4415214085e-71,3.2834223901e-70,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,17,2169,irrigado,1.2891180297,0.0122922482,4.7079572387,0.5938665868,1.4441568356e-56,1.3955555131e-56,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,18,435,irrigado,1.1270680764,0.0149106064,4.6761073400,-0.4867943276,7.6877887752e-36,9.5377610527e-36,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,19,2172,irrigado,1.2981205399,0.0119938327,4.6576197204,0.5898532554,1.2030549655e-55,1.3128483558e-55,1,1
turno,manha,Turno manha,"2017-02-23,2017-02-24,2017-03-02",manha,,580,292,288,13,0.2151344401,0.9942446728,20,1663,irrigado,1.3276086073,0.0109848045,4.4819868232,0.5888765776,2.0062886973e-55,2.0386573974e-54,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,1,2281,nao_irrigado,1.8066786719,-0.0140449758,7.8146641989,-0.6270292001,2.9173769403e-64,3.3005710991e-64,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,2,2280,nao_irrigado,1.8009092648,-0.0136945470,7.6747904947,-0.6438255550,9.7785191238e-69,9.8114155001e-69,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,3,2279,nao_irrigado,1.7774657236,-0.0136356203,7.5250068175,-0.6433797100,1.2962411091e-68,1.3752447673e-68,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,4,2282,nao_irrigado,1.7342126332,-0.0135157541,7.2452392539,-0.5751128129,5.0583659819e-52,6.5869235193e-52,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,5,2294,irrigado,1.4824707556,0.0173073181,6.9935539664,0.1889247546,4.9825385411e-06,5.1383005859e-06,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,6,2278,nao_irrigado,1.7348038358,-0.0124346591,6.9170422662,-0.6368977593,7.4065516646e-67,9.8058114567e-67,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,7,2295,irrigado,1.4237039116,0.0173897127,6.6886483152,0.1515198021,2.6257917532e-04,2.6620561571e-04,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,8,2275,nao_irrigado,1.5966298867,-0.0137053487,6.5303921274,-0.5986127380,2.7597936511e-57,6.8951911176e-57,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,9,2276,nao_irrigado,1.6382260924,-0.0128503689,6.5019135239,-0.6119647897,1.7839274636e-60,3.5494311126e-60,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,10,2277,nao_irrigado,1.6825128383,-0.0119916196,6.4873953719,-0.6251437601,8.9180815228e-64,1.4574338515e-63,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,11,2270,nao_irrigado,1.4736480194,-0.0156584621,6.4383619765,-0.5589628828,1.2064272871e-48,5.4567832613e-48,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,12,2273,nao_irrigado,1.5242991463,-0.0145344329,6.3782528165,-0.5788644432,7.8035689345e-53,2.6558497411e-52,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,13,2272,nao_irrigado,1.5034349953,-0.0148267686,6.3506759005,-0.5726616590,1.6932444750e-51,6.4240921232e-51,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,14,2274,nao_irrigado,1.5546455455,-0.0138159165,6.3284155969,-0.5877595752,8.4161663397e-55,2.5061193537e-54,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,15,2271,nao_irrigado,1.4875539825,-0.0149320848,6.2937462781,-0.5667402861,3.0077267183e-50,1.2496876876e-49,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,16,2293,irrigado,1.4778252698,0.0143929014,6.0737461092,0.2131224716,2.4268139532e-07,2.5466983619e-07,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,17,2269,nao_irrigado,1.4292152374,-0.0147374029,5.9062801094,-0.5458435550,4.9198402642e-46,2.2548595626e-45,1,1
