sample_name,data_coleta,genotipo,condicao,y_true,y_pred_fit
B3_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,1,0.9269522167
B3_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,1,0.9665723207
B3_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,1,0.8402524610
B3_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0,0.1983283012
B3_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0,0.1346404182
B3_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0,0.2820025558
B3_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0,0.2124266807
B3_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0,0.4807637519
B3_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0,0.2917472147
B3_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0,0.5250500573
B3_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,0,0.4141846372
B3_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,1,0.8766752420
B3_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,1,0.7297910215
B3_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,1,0.8446277812
B3_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,1,0.9739068819
B3_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,1,0.8147669195
B3_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,1,0.8638066029
B3_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,1,0.8796796626
B3_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,1,0.8040382233
B3_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0,0.1425458065
B3_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0,0.2823025013
B3_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0,0.1413544478
B3_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0,0.1661217151
B3_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0,0.2888156019
B3_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0,0.5535682225
B3_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0,0.3536949567
B3_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0,0.3536607832
B4_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,1,0.5550857129
B4_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,1,0.6900685429
B4_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,1,0.4938630431
B4_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,1,0.5420814487
B4_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,1,0.8188932688
B4_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,1,0.8007007014
B4_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,1,0.7366123946
B4_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,1,0.8113624641
B4_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,0,0.0811675278
B4_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,0,0.0308760387
B4_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,0,0.0191166716
B4_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,0,-0.0945519206
B4_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0,-0.1322704004
B4_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0,0.0332854226
B4_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0,0.1353705580
B4_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0,-0.0391103892
B4_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,1,0.9045699309
B4_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,1,0.8946190460
B4_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,1,0.9409105651
B4_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,1,0.9423318707
B4_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,1,0.7570833774
B4_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,1,0.8628095843
B4_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,1,0.8379510455
B4_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,1,0.7611711899
B4_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0,0.0604814030
B4_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0,0.0524647499
B4_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0,0.0157942704
B4_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0,0.0991517471
B4_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0,0.0720307280
B4_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0,0.1377688355
B4_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0,0.1483004568
B4_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,0,0.2069863520
B4_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,1,0.7686480980
B4_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,1,0.7866294020
B4_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,1,0.7257710893
B4_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,1,0.7903808156
B4_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,1,0.5446283582
B4_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,1,0.5835502514
B4_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,1,0.6654948072
B4_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,1,0.5884192979
B4_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0,0.2087942623
B4_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0,0.1389496441
B4_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0,0.2603380956
B4_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0,0.2048422388
B4_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0,0.2786409442
B4_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0,0.2193327013
B4_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0,0.1538534688
B4_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0,0.1945781966
B1_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,1,0.8009936391
B1_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,1,0.9963751637
B1_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,1,0.9281594966
B1_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,1,1.0197219302
B1_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,1,0.7405459383
B1_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,1,0.9110348944
B1_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,1,0.8549307287
B1_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,1,0.8047865494
B1_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,0,-0.1669480751
B1_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,0,0.1260355725
B1_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,0,0.0512888224
B1_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,0,-0.0214923571
B1_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0,-0.0241152737
B1_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0,-0.0038325611
B1_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0,0.0072452142
B1_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0,-0.1657252553
B1_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,1,0.7538618244
B1_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,1,0.6425584418
B1_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,1,0.6750676192
B1_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,1,0.6386246901
B1_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,1,0.6385054516
B1_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,1,0.6363171525
B1_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,1,0.7088311772
B1_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,1,0.6648301762
B1_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0,0.2593646849
B1_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0,0.3217360296
B1_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0,0.2447154724
B1_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0,0.2344828168
B1_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0,0.1253403739
B1_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0,-0.0322167100
B1_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0,-0.2356124253
B1_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,0,-0.0995225046
B1_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,1,0.7511012345
B1_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,1,0.7618393373
B1_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,1,0.9497228213
B1_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,1,0.9468851945
B1_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,1,0.6923304642
B1_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,1,0.6277376134
B1_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,1,0.8559634544
B1_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,1,0.7842999248
B1_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0,0.1621760002
