wavelength,coefficient,abs_coefficient,vip,direction
1555,-0.0016357386,0.0016357386,1.0644593037,nao_irrigado
1514,-0.0027434641,0.0027434641,1.0642414212,nao_irrigado
1556,-0.0017082205,0.0017082205,1.0642299513,nao_irrigado
1525,-0.0045962747,0.0045962747,1.0642107888,nao_irrigado
873,0.0051260623,0.0051260623,1.0641803070,irrigado
2107,0.0083600342,0.0083600342,1.0639551248,irrigado
1896,0.0013695245,0.0013695245,1.0638838725,irrigado
1541,-0.0015638838,0.0015638838,1.0638537302,nao_irrigado
1557,-0.0016847931,0.0016847931,1.0637794115,nao_irrigado
1560,-0.0035312607,0.0035312607,1.0637137551,nao_irrigado
1474,-0.0026826415,0.0026826415,1.0636852561,nao_irrigado
1531,-0.0008295659,0.0008295659,1.0634508193,nao_irrigado
1559,-0.0026404128,0.0026404128,1.0634174632,nao_irrigado
1538,-0.0021512301,0.0021512301,1.0634074213,nao_irrigado
1895,0.0007605309,0.0007605309,1.0631915310,irrigado
1532,-0.0000831522,0.0000831522,1.0631398068,nao_irrigado
1534,-0.0007161853,0.0007161853,1.0630059694,nao_irrigado
2194,-0.0070323499,0.0070323499,1.0628785307,nao_irrigado
1558,-0.0016994184,0.0016994184,1.0627787955,nao_irrigado
710,0.0062695148,0.0062695148,1.0627639796,irrigado
1894,0.0001886495,0.0001886495,1.0627583753,irrigado
1888,-0.0021534033,0.0021534033,1.0626969957,nao_irrigado
1475,-0.0039840469,0.0039840469,1.0626723303,nao_irrigado
1887,-0.0024206168,0.0024206168,1.0625830944,nao_irrigado
1889,-0.0018442385,0.0018442385,1.0625654963,nao_irrigado
1533,0.0000460937,0.0000460937,1.0625041765,irrigado
1530,-0.0014272230,0.0014272230,1.0624869523,nao_irrigado
1893,-0.0003167454,0.0003167454,1.0624578824,nao_irrigado
1540,-0.0013498413,0.0013498413,1.0624088949,nao_irrigado
1891,-0.0012202696,0.0012202696,1.0623949678,nao_irrigado
1892,-0.0008140044,0.0008140044,1.0623885283,nao_irrigado
1890,-0.0015200645,0.0015200645,1.0623871151,nao_irrigado
1838,0.0004652161,0.0004652161,1.0622731206,irrigado
1886,-0.0027179818,0.0027179818,1.0621437564,nao_irrigado
856,-0.0056415502,0.0056415502,1.0620833774,nao_irrigado
1513,-0.0027511161,0.0027511161,1.0620689805,nao_irrigado
1606,-0.0009484321,0.0009484321,1.0620315734,nao_irrigado
1539,-0.0015097829,0.0015097829,1.0620190248,nao_irrigado
417,-0.0063647919,0.0063647919,1.0619551154,nao_irrigado
857,-0.0050875003,0.0050875003,1.0619014327,nao_irrigado
2406,0.0034094999,0.0034094999,1.0618087761,irrigado
855,-0.0040913921,0.0040913921,1.0615289296,nao_irrigado
1885,-0.0031561673,0.0031561673,1.0613581258,nao_irrigado
835,-0.0041450855,0.0041450855,1.0611599542,nao_irrigado
1932,-0.0011349332,0.0011349332,1.0608599163,nao_irrigado
1561,-0.0032597820,0.0032597820,1.0607815566,nao_irrigado
2259,-0.0032000104,0.0032000104,1.0605470907,nao_irrigado
1476,-0.0055043654,0.0055043654,1.0604908148,nao_irrigado
1884,-0.0037079146,0.0037079146,1.0601726610,nao_irrigado
1605,-0.0016542165,0.0016542165,1.0601040262,nao_irrigado
1529,-0.0014195942,0.0014195942,1.0599843513,nao_irrigado
2064,0.0080035215,0.0080035215,1.0599528533,irrigado
2106,0.0078301988,0.0078301988,1.0598558437,irrigado
1526,-0.0029436383,0.0029436383,1.0596617799,nao_irrigado
1736,-0.0048623776,0.0048623776,1.0595983699,nao_irrigado
498,0.0049705915,0.0049705915,1.0594839986,irrigado
1839,-0.0007803304,0.0007803304,1.0594295796,nao_irrigado
2089,0.0058036022,0.0058036022,1.0593817194,irrigado
1727,-0.0135518200,0.0135518200,1.0589750253,nao_irrigado
2097,0.0004167004,0.0004167004,1.0583408706,irrigado
2405,-0.0000664518,0.0000664518,1.0583340610,nao_irrigado
1883,-0.0042687088,0.0042687088,1.0582428241,nao_irrigado
2222,-0.0071528906,0.0071528906,1.0581747779,nao_irrigado
1726,-0.0166736838,0.0166736838,1.0578496342,nao_irrigado
1098,0.0016635997,0.0016635997,1.0577353537,irrigado
1528,-0.0014634251,0.0014634251,1.0577108200,nao_irrigado
