wavelength,vip,coefficient,mean_diff,cohen_d,p_value,q_value,combined_score,direction_label
745,0.7838410001,-0.0010110919,0.0012099831,0.6034576086,1.2648181535e-34,2.5331726113e-34,-1.5927656665,irrigado
1376,0.9936109484,0.0014928879,-0.0008526757,-0.6050844173,1.3319765671e-34,2.6651933359e-34,-0.4778740671,nao_irrigado
2286,1.1861692492,0.006245755,-0.0001122867,-0.6023509792,1.6047717085e-34,3.208050606e-34,0.535276814,nao_irrigado
961,1.0847595683,-0.0064792235,-7.45929e-05,-0.6017455406,1.7260014997e-34,3.4471907275e-34,-0.0040477369,nao_irrigado
535,0.7606134993,0.0040826946,-0.0006086286,-0.6033173144,1.7746248421e-34,3.5410109431e-34,-1.7187529856,nao_irrigado
1983,0.97028614,0.005024459,-0.0004400663,-0.6023927477,1.8565142046e-34,3.7009731221e-34,-0.609876276,nao_irrigado
2317,0.8785522822,0.0055354766,-0.0002556825,-0.6012261742,1.9231448273e-34,3.8302485949e-34,-1.0988519444,nao_irrigado
1228,0.8576046923,-0.0036314565,6.14894e-05,0.6003020094,2.5182448029e-34,5.0108408162e-34,-1.2139508197,irrigado
2215,1.0020597534,-0.0018292897,0.0001184923,0.599463789,2.9286136769e-34,5.8220081329e-34,-0.4513436047,irrigado
931,1.0256832426,-0.0107227839,-6.72965e-05,-0.5994021536,2.9491661605e-34,5.8574473927e-34,-0.3263240712,nao_irrigado
883,0.981600509,0.0040052179,-5.41843e-05,-0.5993112032,3.1292048264e-34,6.209290094e-34,-0.5606021157,nao_irrigado
2037,0.8820629202,0.0010975086,0.0002911575,0.5988133929,3.987461882e-34,7.905032827e-34,-1.0910770679,irrigado
2219,1.0099057094,-0.0053016023,0.0001061638,0.5978377231,4.3119862492e-34,8.5405147e-34,-0.4162507508,irrigado
954,1.0080539774,-0.0108906122,-0.0001257001,-0.5986349397,4.3304333134e-34,8.5691539507e-34,-0.4243561581,nao_irrigado
524,0.7640808392,-0.0005572949,-0.0017743826,-0.5987068201,5.1758000883e-34,1.0232561536e-33,-1.7185815823,nao_irrigado
1227,0.8631964099,-0.0042886306,6.09971e-05,0.5970074668,5.487090904e-34,1.0838013192e-33,-1.1974259585,irrigado
1159,0.772396617,-0.0024847071,-0.000156226,-0.5967211624,5.6139354685e-34,1.1078372196e-33,-1.679440813,nao_irrigado
1846,1.0287757096,-0.0050341547,-0.0003913052,-0.5987751251,6.2322443625e-34,1.2287241408e-33,-0.3170061623,nao_irrigado
1161,0.7941588585,-0.0007955651,-0.000144893,-0.5960790912,6.5479214549e-34,1.2897784791e-33,-1.5666729762,nao_irrigado
1158,0.7689526619,-0.004819209,-0.0001622843,-0.594541166,9.4615087627e-34,1.8619764039e-33,-1.706435692,nao_irrigado
1162,0.8090680253,-0.0020291104,-0.0001398191,-0.5939103747,1.102040582e-33,2.1667751242e-33,-1.4963714368,nao_irrigado
1375,0.9911045736,0.0012909543,-0.0007890021,-0.5956771917,1.2183346386e-33,2.3932368724e-33,-0.5285318881,nao_irrigado
1814,1.0074005413,0.0046466355,0.0001105544,0.5933950373,1.2551172683e-33,2.4632392781e-33,-0.4473527472,irrigado
1160,0.7768370489,0.0004833442,-0.0001499663,-0.593042754,1.3467762129e-33,2.6407135781e-33,-1.6706013322,nao_irrigado
1984,0.9669816219,0.0041189188,-0.0004285719,-0.5937369925,1.4393800981e-33,2.8197154338e-33,-0.6618633672,nao_irrigado
960,1.2130861212,0.0098728976,-7.69655e-05,-0.5925462704,1.5974253471e-33,3.1264727421e-33,0.6390616368,nao_irrigado
1256,0.8432533641,-0.0060377614,4.80096e-05,0.5899983986,2.8745105543e-33,5.6208582177e-33,-1.3310490497,irrigado
2036,0.880664661,0.0016528802,0.0002841093,0.5904565104,2.9237975235e-33,5.7120371618e-33,-1.1319031176,irrigado
2216,0.9907918962,-0.0023496687,0.0001146309,0.5879277339,4.5565204925e-33,8.8936989448e-33,-0.5571601748,irrigado
1770,1.032449024,-0.0031805501,-0.0001817107,-0.5901085939,4.6255903862e-33,9.0203209982e-33,-0.3317494101,nao_irrigado
1789,1.2370734801,0.0105825585,0.0001131543,0.587063532,5.5319549159e-33,1.0778033648e-32,0.7447287672,irrigado
1226,0.8748861534,0.0001748918,6.09454e-05,0.5869571443,5.8625129353e-33,1.1411721284e-32,-1.1754723925,irrigado
1163,0.8304610205,-0.0048454736,-0.0001333742,-0.5854715124,8.1225617024e-33,1.5796728596e-32,-1.4166547352,nao_irrigado
1374,0.9883357993,0.000881945,-0.0007302674,-0.5868106667,9.5606821585e-33,1.8576768498e-32,-0.5782817361,nao_irrigado
1157,0.7589382835,-0.0028373531,-0.0001667824,-0.5845630652,1.0068812473e-32,1.9546411928e-32,-1.7993298592,nao_irrigado
525,0.7598748537,-0.0004567045,-0.0016349448,-0.5859458623,1.0358362664e-32,2.0090362243e-32,-1.7915695742,nao_irrigado
1985,0.9637075796,0.0032347775,-0.0004169612,-0.5848607647,1.1485727117e-32,2.2256832799e-32,-0.7144411845,nao_irrigado
955,0.9712929798,-0.0098812725,-0.0001170048,-0.5833010459,1.6247979735e-32,3.1456674281e-32,-0.6802981993,nao_irrigado
636,0.773390221,-0.0052404268,0.0004257316,0.5855012843,2.1483841635e-32,4.1556053711e-32,-1.7265070155,irrigado
2217,0.9925273618,-0.0050602709,0.000110445,0.5809784281,2.3234938537e-32,4.4902772406e-32,-0.5755540542,irrigado
957,1.0107071095,0.0057875415,-9.88952e-05,-0.581728661,2.3256828511e-32,4.4904694044e-32,-0.4775728627,nao_irrigado
2035,0.8789262176,0.002499759,0.0002760357,0.5800010742,3.4196264568e-32,6.5967479854e-32,-1.1827098857,irrigado
534,0.7509055307,0.0026658532,-0.0006635496,-0.5808224507,3.4887668981e-32,6.7240897435e-32,-1.8595576745,nao_irrigado
2218,0.9964500284,-0.0063498408,0.0001069193,0.5787767034,3.8773920909e-32,7.466411831e-32,-0.5634717357,irrigado
956,0.9620145862,-0.001169694,-0.0001082045,-0.5790889287,4.360062402e-32,8.3883384976e-32,-0.7461913401,nao_irrigado
1672,1.2120644496,0.0124034639,9.66182e-05,0.5759745395,7.7055577697e-32,1.4811488056e-31,0.5678740418,irrigado
1373,0.9853636605,0.0006343219,-0.0006753284,-0.5776905317,7.7971298911e-32,1.4974112722e-31,-0.6299517629,nao_irrigado
1986,0.9607626787,0.0022469095,-0.0004053734,-0.5765201816,7.9021853432e-32,1.5162318127e-31,-0.7629748414,nao_irrigado
363,0.6879998874,-0.0027477662,-0.0029615264,-0.5757751884,8.0227999384e-32,1.5380015225e-31,-2.210300465,nao_irrigado
958,1.0910119382,0.0102891163,-8.9205e-05,-0.5751655392,1.0220966206e-31,1.9576520834e-31,-0.0775919075,nao_irrigado
1845,1.0334358221,-0.0046522392,-0.0003557881,-0.5760366167,1.2082116722e-31,2.3120631198e-31,-0.3821222826,nao_irrigado
526,0.7554887271,-0.0010624222,-0.0014972866,-0.5752223732,1.2386562266e-31,2.3682137286e-31,-1.8571494943,nao_irrigado
959,1.200260351,0.016152339,-8.1323e-05,-0.5740659461,1.2568441323e-31,2.4008515914e-31,0.4974413344,nao_irrigado
1164,0.8525133244,-0.0085463899,-0.0001269332,-0.5733086136,1.3839346851e-31,2.6412749897e-31,-1.3479399277,nao_irrigado
1485,1.0177582264,-0.0032686007,0.0002507944,0.5767588112,1.423440192e-31,2.7142617326e-31,-0.4648753537,irrigado
2318,0.8391143946,0.0075696584,-0.0002405273,-0.5719724656,1.8917739312e-31,3.6040976756e-31,-1.4242530582,nao_irrigado
893,0.8855221662,-0.0089498989,-4.78578e-05,-0.5716753406,1.9958852729e-31,3.7990765736e-31,-1.1793522353,nao_irrigado
1156,0.7542220519,-0.0008480791,-0.0001715196,-0.5716837126,2.0302677293e-31,3.8611020798e-31,-1.8753264656,nao_irrigado
2262,1.165620955,-0.0032588746,-0.0002385157,-0.5721496069,2.1009472614e-31,3.9919855569e-31,0.3057725426,nao_irrigado
1915,1.2517382647,0.0020201713,-0.000345741,-0.5697540328,3.2117557196e-31,6.0972288353e-31,0.7537049245,nao_irrigado
895,0.9009959562,-0.0257675306,-4.56776e-05,-0.5690487038,3.6524249863e-31,6.9276798725e-31,-1.1076861591,nao_irrigado
810,0.9645866577,-0.0018174618,-6.38969e-05,-0.5687175197,3.9570386447e-31,7.4988324934e-31,-0.7719973356,nao_irrigado
894,0.8625366575,-0.0040618227,-4.66393e-05,-0.5686108934,4.0359122964e-31,7.6415643392e-31,-1.3132217288,nao_irrigado
1987,0.9579484681,0.001306526,-0.0003933925,-0.5677923267,5.806388878e-31,1.0984093045e-30,-0.8121319011,nao_irrigado
527,0.7518436576,-0.0020649017,-0.0013666931,-0.5679154316,6.5672430638e-31,1.2412493706e-30,-1.9051254807,nao_irrigado
683,0.793926897,0.0174306035,-0.0006076155,-0.5699387071,6.6242114254e-31,1.2509165513e-30,-1.6777500602,nao_irrigado
884,0.9492087506,-0.0075898096,-5.16287e-05,-0.5665055289,6.7259619797e-31,1.2690160048e-30,-0.8623624547,nao_irrigado
1372,0.9820947806,0.0002361251,-0.0006242232,-0.5678944354,7.2406220598e-31,1.3649207725e-30,-0.685612138,nao_irrigado
2034,0.8774581415,0.003214182,0.000267081,0.5666421266,7.4887411474e-31,1.4104561548e-30,-1.2431451115,irrigado
533,0.7457520281,0.002115116,-0.0007313479,-0.5668695707,8.4904139549e-31,1.5977144999e-30,-1.9416301459,nao_irrigado
1882,1.0548331498,-0.0065503567,-0.0008562471,-0.565902107,8.8483132206e-31,1.6636067464e-30,-0.3059701214,nao_irrigado
1165,0.8617381996,-0.0074614328,-0.0001207967,-0.5637607946,1.2390960566e-30,2.3276376097e-30,-1.3365853456,nao_irrigado
1225,0.8794015458,0.0024691984,6.05685e-05,0.563707226,1.2705836714e-30,2.384702454e-30,-1.2432758254,irrigado
915,0.9322386798,-0.0029431434,-4.7979e-05,-0.5613757705,2.2421494912e-30,4.2045194211e-30,-0.9726889365,nao_irrigado
528,0.7481749924,-0.0024090578,-0.0012399358,-0.5617242135,2.6610212334e-30,4.9856448392e-30,-1.9487491541,nao_irrigado
1465,1.1093760965,0.0010637952,-0.0001647238,-0.560342173,3.1416080418e-30,5.880937005e-30,-0.0387251956,nao_irrigado
1155,0.7600050672,0.001046503,-0.0001770415,-0.5587564921,3.9174496724e-30,7.3268923812e-30,-1.8954737271,nao_irrigado
1771,1.0203317728,-0.0013707631,-0.0001690829,-0.56019202,4.3225753751e-30,8.0775778097e-30,-0.5134163144,nao_irrigado
1988,0.9564400355,0.0012949064,-0.0003808489,-0.5584116722,4.8232606403e-30,9.0053754265e-30,-0.8567419482,nao_irrigado
746,0.7673035412,0.0003568279,0.0010516524,0.5573703504,5.7449788193e-30,1.0716978718e-29,-1.8627381799,irrigado
1257,0.8277060868,-0.0039148573,4.53894e-05,0.5568186968,6.0928809727e-30,1.1356115534e-29,-1.5442615665,irrigado
1371,0.977884048,-0.0004333741,-0.0005775116,-0.557820145,6.9240842126e-30,1.2894156822e-29,-0.7471446446,nao_irrigado
532,0.7424088722,0.0016704348,-0.0008089855,-0.5573643299,7.2204225444e-30,1.3434361946e-29,-1.996429711,nao_irrigado
914,0.9131556031,0.001352506,-4.70602e-05,-0.5554250544,8.4832914793e-30,1.5770409506e-29,-1.0969556228,nao_irrigado
529,0.7445696464,-0.0013525113,-0.001117221,-0.5563481807,8.9146547889e-30,1.6557988886e-29,-1.9887990618,nao_irrigado
1723,0.9787620554,-0.0181937467,-0.0001207162,-0.5542360195,1.2920011837e-29,2.3976774989e-29,-0.7550671319,nao_irrigado
1815,0.9892423377,0.0042813287,0.0001055099,0.5531222478,1.3767905747e-29,2.5528239387e-29,-0.7024293782,irrigado
1166,0.8618034037,-0.0029708405,-0.0001154231,-0.5528292386,1.4648874731e-29,2.7138303273e-29,-1.3789420695,nao_irrigado
896,0.9279276277,-0.0286876642,-4.43715e-05,-0.5525914302,1.5347043668e-29,2.8407232422e-29,-1.0293646127,nao_irrigado
2233,0.9267358795,0.0003304013,7.67312e-05,0.5522889574,1.6368692052e-29,3.0272219638e-29,-1.0368285419,irrigado
1844,1.0392030731,-0.0042590994,-0.0003227711,-0.5536904608,1.8184828009e-29,3.3602059666e-29,-0.4385272518,nao_irrigado
530,0.7425159761,0.0007676128,-0.001001751,-0.5528514744,1.9609763257e-29,3.6203935773e-29,-2.0133167395,nao_irrigado
531,0.7415441087,0.0014749839,-0.0008985637,-0.5527263712,2.0276413404e-29,3.7402585755e-29,-2.0189905525,nao_irrigado
1325,0.9412799178,0.0027456098,-0.0002477257,-0.5516563296,2.1835903901e-29,4.0244731976e-29,-0.9633176269,nao_irrigado
1224,0.8736192794,0.0011697773,6.02335e-05,0.5507984256,2.3380813848e-29,4.3055157635e-29,-1.3242935054,irrigado
2033,0.8760348449,0.0027390208,0.0002569804,0.5502306765,3.0402713187e-29,5.5937868698e-29,-1.3147431314,irrigado
1326,0.9126196257,0.0018037374,-0.0002571241,-0.5497274595,3.318504171e-29,6.1004837155e-29,-1.1226129045,nao_irrigado
1167,0.873047494,-0.0023511334,-0.0001107793,-0.5475164619,4.7875067811e-29,8.7934633098e-29,-1.3399649808,nao_irrigado
1989,0.9548067305,0.0019113347,-0.0003678125,-0.5480254961,4.8609975007e-29,8.9208229112e-29,-0.9056587504,nao_irrigado
1324,0.9682632091,0.0028509579,-0.000237967,-0.547850336,5.1194144276e-29,9.387049151e-29,-0.835115273,nao_irrigado
1169,0.9161472186,-0.0071789044,-0.0001045528,-0.5463671325,6.1512020499e-29,1.1269337771e-28,-1.1159554067,nao_irrigado
1370,0.9723605421,-0.000918722,-0.0005350998,-0.5478813593,6.2143207655e-29,1.1375277108e-28,-0.8148126929,nao_irrigado
2319,0.8039050916,0.0075343672,-0.0002252324,-0.5455228147,7.5234913165e-29,1.3759985395e-28,-1.7141941418,nao_irrigado
1170,0.9433451483,-0.0106613185,-0.0001009861,-0.5447539964,8.7690078915e-29,1.6024317992e-28,-0.9780323278,nao_irrigado
1168,0.8876897024,-0.0037840974,-0.000107216,-0.5439366947,1.0571587812e-28,1.9301905019e-28,-1.2762081206,nao_irrigado
602,0.7684956444,0.0046543862,0.0003612324,0.5464235467,1.0632487816e-28,1.9396618266e-28,-1.9025437038,irrigado
601,0.7625919955,0.0026378689,0.0003347716,0.5458626131,1.1966064979e-28,2.1810919118e-28,-1.9359560397,irrigado
2362,0.8124179275,0.0069802192,-0.0002057955,-0.5435114846,1.2769248674e-28,2.3255182542e-28,-1.6774958429,nao_irrigado
600,0.7564409194,0.0011131578,0.0003101356,0.5450249017,1.4366302427e-28,2.6141561318e-28,-1.9717733446,irrigado
2363,0.8044416502,0.0024160849,-0.00020104,-0.5428005218,1.5008080627e-28,2.7286265032e-28,-1.722546878,nao_irrigado
1154,0.7721363933,0.0029989582,-0.0001827003,-0.5423844124,1.5314931141e-28,2.7820614558e-28,-1.8948137026,nao_irrigado
603,0.7725693812,0.0059190705,0.0003866229,0.5441384762,1.7627294482e-28,3.1994135002e-28,-1.889780058,irrigado
2364,0.7955333148,-0.0034224681,-0.0001967494,-0.5419463978,1.8104032842e-28,3.2831701753e-28,-1.7730428899,nao_irrigado
1327,0.8888295354,0.0026186412,-0.0002642936,-0.5416798237,1.9469671647e-28,3.5278519705e-28,-1.2797228829,nao_irrigado
1171,0.9660985134,-0.0135047382,-9.68601e-05,-0.5402022551,2.3867574223e-28,4.3210966305e-28,-0.8749876081,nao_irrigado
599,0.7504708538,-0.0002917392,0.0002879549,0.5419511921,2.805572054e-28,5.0750625791e-28,-2.0152110225,irrigado
809,0.9323666587,-0.0059888488,-6.15611e-05,-0.5394334534,2.8163717094e-28,5.0903135437e-28,-1.0566951488,nao_irrigado
604,0.7778526028,0.0071381615,0.0004111888,0.5419651341,2.8526386894e-28,5.1515298684e-28,-1.8701774204,irrigado
892,0.9039730279,-0.0072954473,-4.67091e-05,-0.5388832581,3.1790265974e-28,5.7361277564e-28,-1.2092935341,nao_irrigado
605,0.7842386877,0.0087260536,0.0004349516,0.5409814191,3.5616916288e-28,6.4212041194e-28,-1.8401695469,irrigado
969,1.2393223416,-0.0014488346,-4.79118e-05,-0.5379452765,3.9038276537e-28,7.0321254215e-28,0.5643894364,nao_irrigado
606,0.7900401873,0.0104252939,0.0004569252,0.5402212786,4.2253293919e-28,7.6035710263e-28,-1.8123782962,irrigado
1323,0.9931226778,0.0009241879,-0.000227757,-0.538259805,4.2281374483e-28,7.6035710263e-28,-0.7403434901,nao_irrigado
1172,0.987221194,-0.0167701215,-9.31209e-05,-0.5372894646,4.5176483628e-28,8.1174133208e-28,-0.7742349742,nao_irrigado
1990,0.9520025272,0.0019575569,-0.0003551609,-0.5378080466,4.5539743663e-28,8.1758487161e-28,-0.9598149125,nao_irrigado
930,1.0327159735,-0.004866841,-6.05556e-05,-0.5372018279,4.5917596827e-28,8.2368043056e-28,-0.5334237174,nao_irrigado
913,0.8781522631,-0.0019855131,-4.45975e-05,-0.5368840079,5.071627557e-28,9.0900146956e-28,-1.3540351199,nao_irrigado
1369,0.9653782257,-0.0008072108,-0.0004967311,-0.5380762012,5.2407956752e-28,9.3853915883e-28,-0.889405653,nao_irrigado
2365,0.7912842559,-0.0047557403,-0.0001919438,-0.5363779452,6.0909501432e-28,1.089879422e-27,-1.8169193785,nao_irrigado
607,0.7937966213,0.0113961902,0.0004745443,0.5375374125,7.5811387802e-28,1.3553966089e-27,-1.8027617267,irrigado
635,0.76101361,-0.005713714,0.0003389744,0.5378544101,8.2129602853e-28,1.4671364633e-27,-1.9764266862,irrigado
2261,1.1227673979,-0.0015620569,-0.0002269247,-0.5349693748,8.2485039038e-28,1.472262034e-27,-0.0654976684,nao_irrigado
671,1.0041264555,-0.0032390876,0.0002221853,0.5345860565,9.032790634e-28,1.6109101305e-27,-0.6958011723,irrigado
1328,0.8677672015,0.0034774531,-0.0002719079,-0.5339725635,1.0365711195e-27,1.8470906598e-27,-1.4208700045,nao_irrigado
1484,1.0207106122,-0.0039206543,0.0002298962,0.5362084023,1.0920608889e-27,1.9443569596e-27,-0.6058282365,irrigado
1223,0.871051414,0.0043493344,5.96768e-05,0.5331949988,1.130073658e-27,2.0103711018e-27,-1.4058083423,irrigado
2032,0.8740887338,0.0016665955,0.0002465802,0.5334549001,1.2148590848e-27,2.1594145354e-27,-1.3896966812,irrigado
608,0.7940305372,0.0114496398,0.0004861926,0.5331702883,1.9397437923e-27,3.4450490988e-27,-1.8182088991,irrigado
2361,0.8247580487,0.0113350054,-0.0002059356,-0.5306923208,2.0649558406e-27,3.6644014049e-27,-1.661224501,nao_irrigado
598,0.745343938,-0.0029733818,0.000267656,0.5321286759,2.3212907047e-27,4.1158859113e-27,-2.0798759567,irrigado
