wavelength,vip,coefficient,mean_diff,cohen_d,p_value,q_value,combined_score,direction_label
1622,1.0925600256,0.0010839172,0.0002661423,1.2643109669,2.104216585500e-128,1.773318212600e-127,3.1335105349,irrigado
1604,1.0533466363,-0.0041205569,0.0003308336,1.2632322185,3.892784972900e-128,3.267810510400e-127,2.9186304397,irrigado
1618,1.0998436214,0.0073270717,0.0002780119,1.2621935280,4.300341873200e-128,3.595888982700e-127,3.1620597408,irrigado
1608,1.0645895105,0.0000989802,0.0003156805,1.2609444234,6.856254765300e-128,5.688838413400e-127,2.9689678338,irrigado
1598,1.0315737305,0.0007940877,0.0003426540,1.2636366783,7.421678974700e-128,6.134303121800e-127,2.7992657931,irrigado
1607,1.0627362479,0.0003758874,0.0003204990,1.2606193506,8.428779232400e-128,6.940017843100e-127,2.9569071387,irrigado
1601,1.0369261210,-0.0038172671,0.0003354205,1.2617245611,9.510826372400e-128,7.771393868500e-127,2.8216505253,irrigado
1587,1.0268138154,0.0019383639,0.0003701618,1.2684794542,9.777542060600e-128,7.959067381900e-127,2.7825676167,irrigado
1588,1.0257963790,0.0005455605,0.0003673717,1.2674403334,1.182106149000e-127,9.567548078400e-127,2.7734968433,irrigado
2164,1.1908529117,0.0056958475,0.0002995707,1.2623525166,1.184256765400e-127,9.567548078400e-127,3.6371997641,irrigado
1605,1.0562019247,-0.0039103260,0.0003279973,1.2598983566,1.355657874600e-127,1.091126881100e-126,2.9172218701,irrigado
1589,1.0250724474,0.0003290890,0.0003648536,1.2658982845,1.548766104100e-127,1.241902372300e-126,2.7642959576,irrigado
1603,1.0468750293,-0.0060915498,0.0003326125,1.2590588495,2.058799882600e-127,1.644743846700e-126,2.8628031314,irrigado
1606,1.0581698169,-0.0027119086,0.0003241623,1.2580179249,2.620329530000e-127,2.085588207400e-126,2.9185696602,irrigado
1602,1.0406030257,-0.0051023181,0.0003344201,1.2577829810,3.726967702500e-127,2.955444130100e-126,2.8222719901,irrigado
1636,1.1686682423,0.0077635016,0.0002196359,1.2553406373,4.479010540100e-127,3.538747665700e-126,3.4942945714,irrigado
1586,1.0256152159,0.0008169801,0.0003724845,1.2635095236,7.220136257300e-127,5.683543156400e-126,2.7502586082,irrigado
1590,1.0231892297,0.0004149544,0.0003625961,1.2597813729,1.217834308100e-126,9.516821556800e-126,2.7253198148,irrigado
1637,1.1541681804,0.0072496853,0.0002153980,1.2518959113,1.714945449800e-126,1.335296294100e-125,3.3997223680,irrigado
1597,1.0278113978,0.0008807975,0.0003452448,1.2552638172,2.077469654500e-126,1.611726457600e-125,2.7359303652,irrigado
2153,1.1546930331,0.0000992382,0.0003546915,1.2656686588,2.396592398600e-126,1.852617649100e-125,3.4299421024,irrigado
1621,1.0872682027,0.0024202719,0.0002674380,1.2501188841,5.160384142600e-126,3.960594829500e-125,3.0329222008,irrigado
2104,1.0493512574,0.0072606694,0.0004070191,1.2520847943,6.831000461600e-126,5.224135228500e-125,2.8341123482,irrigado
1593,1.0249530138,0.0043683593,0.0003543910,1.2538494657,7.129179205900e-126,5.432839047400e-125,2.7083429375,irrigado
1619,1.0873731935,0.0036964118,0.0002738618,1.2482759452,9.532014845200e-126,7.212781655800e-125,3.0248512225,irrigado
1591,1.0213665583,0.0009036458,0.0003598285,1.2536110386,1.040459800300e-125,7.845431967600e-125,2.6859856381,irrigado
1585,1.0243921694,-0.0006447005,0.0003748045,1.2561932772,1.399251454000e-125,1.047732186300e-124,2.7054094978,irrigado
1592,1.0216664401,0.0024860153,0.0003567035,1.2518836979,1.710237955100e-125,1.276146307500e-124,2.6800692938,irrigado
1596,1.0260837988,0.0020030205,0.0003477032,1.2493361981,2.365843567100e-125,1.759238002000e-124,2.6954654597,irrigado
1594,1.0249024185,0.0048780661,0.0003516712,1.2500442075,2.611369018300e-125,1.935114489800e-124,2.6900104355,irrigado
2163,1.1890494419,0.0058342034,0.0003057792,1.2493474676,2.835104023000e-125,2.093690221800e-124,3.5578385354,irrigado
1595,1.0257034318,0.0040649629,0.0003493018,1.2489479266,3.350431014600e-125,2.465779537800e-124,2.6900038132,irrigado
1620,1.0850361134,0.0020784950,0.0002700524,1.2439262973,5.490989097900e-125,4.027350024400e-124,2.9897531026,irrigado
2178,1.1825410935,-0.0105128891,0.0002390282,1.2447752159,8.439084716400e-125,6.126889545800e-124,3.5051266801,irrigado
1584,1.0240956742,0.0003566584,0.0003774229,1.2517623285,9.346547369100e-125,6.762872153600e-124,2.6798323082,irrigado
2154,1.1590164507,0.0017681482,0.0003515797,1.2542862120,1.816877268800e-124,1.305842558800e-123,3.3953100111,irrigado
2162,1.1858869220,0.0039507145,0.0003119299,1.2408206095,1.258391177100e-123,8.954578276500e-123,3.4935932181,irrigado
1583,1.0238932454,0.0002058997,0.0003799944,1.2445255030,1.808267356000e-123,1.282497210600e-122,2.6403469715,irrigado
2155,1.1648034585,0.0029988716,0.0003477214,1.2453846726,5.014828895200e-123,3.510380226600e-122,3.3812580682,irrigado
2160,1.1873923115,-0.0002591252,0.0003254662,1.2380235137,1.059521976500e-122,7.392573790400e-122,3.4792241231,irrigado
2159,1.1881160640,-0.0019029426,0.0003315227,1.2380595759,1.734533314800e-122,1.206314593300e-121,3.4793657677,irrigado
2161,1.1830806423,0.0019477717,0.0003181669,1.2345493151,2.291669400700e-122,1.588644368400e-121,3.4429217589,irrigado
2156,1.1718411276,0.0025717757,0.0003438787,1.2396285553,3.552097573000e-122,2.454488001400e-121,3.3910519192,irrigado
2158,1.1848557432,-0.0012741240,0.0003360998,1.2369468510,4.532032570800e-122,3.121582690600e-121,3.4523411638,irrigado
2157,1.1799156085,0.0005524960,0.0003402125,1.2379563138,4.850349248600e-122,3.330159915400e-121,3.4278569601,irrigado
2103,1.0465290795,0.0052337890,0.0004054042,1.2279250080,8.740413609900e-122,5.981894537500e-121,2.6945974023,irrigado
1582,1.0235560034,0.0000970413,0.0003828300,1.2336256573,1.355499311100e-121,9.247517522100e-121,2.5818890566,irrigado
1581,1.0230942253,0.0018709408,0.0003860247,1.2197860754,2.755216944800e-119,1.856100694100e-118,2.5084890012,irrigado
2179,1.1684476163,-0.0115999344,0.0002354088,1.2092517802,6.022342527700e-119,4.019259034800e-118,3.2499682266,irrigado
1664,1.6261742191,0.0129020370,0.0001432347,1.2132779221,7.804921237700e-119,5.192809826500e-118,5.6826239998,irrigado
2102,1.0459655790,0.0023081401,0.0004041647,1.2030766728,1.320948155800e-117,8.761474033500e-117,2.5636586035,irrigado
1580,1.0222866221,0.0024803364,0.0003897633,1.2076872107,2.801408629300e-117,1.846695443100e-116,2.4424495218,irrigado
1571,1.0336445901,-0.0031947972,0.0004313449,1.2016545105,7.761598003400e-116,5.054446699800e-115,2.4640248445,irrigado
1570,1.0352599940,-0.0028778612,0.0004363848,1.2013872431,9.111535529200e-116,5.915616269500e-115,2.4707927232,irrigado
1579,1.0203209277,0.0020775550,0.0003938134,1.1983563601,1.058921893200e-115,6.833703148800e-115,2.3839135050,irrigado
1569,1.0359221525,-0.0021467985,0.0004413959,1.2003704159,1.372812883900e-115,8.806492201400e-115,2.4690246382,irrigado
1572,1.0296495277,-0.0015668847,0.0004262472,1.1981270257,2.538475184400e-115,1.613959518100e-114,2.4262335457,irrigado
1568,1.0369957516,-0.0018181013,0.0004459842,1.1984691608,2.994889019200e-115,1.898529941700e-114,2.4646604458,irrigado
1573,1.0255312665,0.0000826993,0.0004217922,1.1969000686,3.427006158400e-115,2.166069480700e-114,2.3994716496,irrigado
1574,1.0221729674,0.0003056784,0.0004175248,1.1962557020,3.763650048300e-115,2.371872127200e-114,2.3795722450,irrigado
1575,1.0199463934,0.0004195837,0.0004130260,1.1946086240,6.502683284300e-115,4.086042800600e-114,2.3599985167,irrigado
1576,1.0188002547,0.0004311207,0.0004081622,1.1935955167,9.664307408700e-115,6.054984437700e-114,2.3486902165,irrigado
1578,1.0183983550,0.0013961476,0.0003979258,1.1916816819,1.537594832200e-114,9.605497948900e-114,2.3388418075,irrigado
1577,1.0180441627,0.0004980493,0.0004028402,1.1910767769,2.304341025200e-114,1.435370685000e-113,2.3325542086,irrigado
