wavelength,vip,coefficient,mean_diff,cohen_d,p_value,q_value,combined_score,direction_label
1357,0.8262963937,0.0002921927,-0.0002588668,-0.4003935497,1.665062733200e-16,2.403102628400e-16,-2.1284033347,nao_irrigado
791,0.9130978779,-0.0073636349,-0.0000494036,-0.3986929039,2.116591364000e-16,3.048629250200e-16,-1.6739032204,nao_irrigado
887,0.9311419123,-0.0063743508,-0.0000403346,-0.3980846747,2.346273590500e-16,3.374927674700e-16,-1.5803794851,nao_irrigado
1139,0.8315267709,-0.0039928182,-0.0002259764,-0.3971525224,2.858403523800e-16,4.108835567000e-16,-2.1118660284,nao_irrigado
1342,0.7643737905,0.0013420292,-0.0002771199,-0.3967816865,3.004394562300e-16,4.315804755600e-16,-2.4689504167,nao_irrigado
782,0.8733835031,-0.0002718952,-0.0000702435,-0.3963060635,3.158571617000e-16,4.534248767500e-16,-1.8926330296,nao_irrigado
2328,0.9529985962,0.0059981765,-0.0001383037,-0.3962783322,3.298280392100e-16,4.731645235400e-16,-1.4710755669,nao_irrigado
1999,0.9184013070,-0.0001816541,-0.0002230468,-0.3943315422,4.475384133400e-16,6.416011009100e-16,-1.6610162430,nao_irrigado
983,0.8580466197,0.0070511823,-0.0000484897,-0.3928052633,5.687916743800e-16,8.138038004300e-16,-1.9860374488,nao_irrigado
792,0.9241525766,-0.0093908846,-0.0000494476,-0.3922441336,6.218524153600e-16,8.885377929600e-16,-1.6375849569,nao_irrigado
889,0.9257401878,-0.0074186413,-0.0000396905,-0.3919762764,6.494861325700e-16,9.274057799900e-16,-1.6300834289,nao_irrigado
790,0.9124060955,0.0010717228,-0.0000494777,-0.3911630639,7.439953229800e-16,1.061650696600e-15,-1.7035623447,nao_irrigado
977,1.0077104841,-0.0041330010,-0.0000453498,-0.3912488466,7.521555506200e-16,1.072582799100e-15,-1.1983580454,nao_irrigado
903,1.0251892932,-0.0037966339,-0.0000366891,-0.3906927727,8.044322093700e-16,1.146369242700e-15,-1.1074456347,nao_irrigado
774,0.8532897262,0.0104109748,-0.0001138835,-0.3904572820,8.354209608500e-16,1.188953407200e-15,-2.0192765986,nao_irrigado
2332,1.0815685143,0.0118890568,-0.0001312415,-0.3897321481,9.742184397400e-16,1.385569442100e-15,-0.8121953479,nao_irrigado
1138,0.8240983306,-0.0035185839,-0.0002194935,-0.3895008443,1.015398309100e-15,1.443181856000e-15,-2.1775593903,nao_irrigado
