sample_name,data_coleta,genotipo,condicao,PC1,PC2
B3_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0.0326029979,-0.0003530518
B3_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0.0341111825,0.0145570048
B3_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0.0339277318,0.0053651059
B3_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0.0345432008,0.0075734300
B3_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0.0269110281,-0.0097504970
B3_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0.0273153098,-0.0148672798
B3_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0.0285678204,-0.0078346762
B3_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0.0294458366,-0.0027394731
B4_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,-0.0344789797,-0.0202246420
B4_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,-0.0339221846,-0.0222331433
B4_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,-0.0334034972,-0.0173699585
B4_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,-0.0336868550,-0.0309811527
B4_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,-0.0488538605,-0.0089408997
B4_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,-0.0487490127,-0.0112865111
B4_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,-0.0484614054,-0.0059521792
B4_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,-0.0482875971,-0.0037667831
B4_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,-0.0425441695,-0.0024546803
B4_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,-0.0419000525,-0.0088496469
B4_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,-0.0411676121,-0.0056169124
B4_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,-0.0403616288,-0.0103608321
B4_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,-0.0310442177,0.0038653273
B4_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,-0.0292522662,-0.0027881017
B4_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,-0.0272157181,0.0067387390
B4_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,-0.0258887219,-0.0019067107
B4_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,-0.0328179837,-0.0022064210
B4_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,-0.0326463204,0.0028042930
B4_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,-0.0328075067,0.0043654435
B4_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,-0.0323373603,0.0038520773
B4_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,-0.0221465808,0.0050865994
B4_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,-0.0208882473,0.0024262552
B4_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,-0.0212773141,-0.0088182454
B4_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,-0.0207373221,0.0061190300
B4_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0.0226455651,-0.0012259681
B4_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0.0235782899,0.0087486753
B4_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0.0237777945,-0.0086599962
B4_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0.0254533041,-0.0068773950
B4_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0.0204273748,-0.0051871720
B4_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0.0208454491,-0.0050070435
B4_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0.0220751239,0.0069267477
B4_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,0.0227441639,0.0052294783
B4_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,0.0420120337,-0.0268951961
B4_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,0.0432618548,-0.0068494534
B4_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,0.0442641364,-0.0029613180
B4_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,0.0438939870,-0.0262110229
B4_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,-0.0324730448,-0.0034952872
B4_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,-0.0318566849,0.0101368028
B4_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,-0.0316444809,0.0119802677
B4_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,-0.0317291775,0.0117120031
B4_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0.1020469808,-0.0026595193
B4_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0.1029061988,0.0008315436
B4_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0.1035816868,-0.0126121237
B4_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0.1047537174,0.0066174518
B4_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0.0329987892,-0.0134270448
B4_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0.0340522918,-0.0140970519
B4_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0.0351164312,-0.0049971954
