target,classe,dia,banda_nm,reflectancia_media,n_amostras_efetivo
condicao_genotipo,irrigado|EMB48,2017-02-27,401,0.109866071,32
condicao_genotipo,irrigado|EMB48,2017-02-27,400,0.110783696,32
condicao_genotipo,irrigado|EMB48,2017-02-27,550,0.1303580388,32
condicao_genotipo,irrigado|EMB48,2017-02-27,530,0.1207159496,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-27,720,0.3677582265,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-27,401,0.0661399559,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-27,400,0.0668721069,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-27,550,0.1368476549,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-27,530,0.1208816245,32
condicao_genotipo,irrigado|BR16,2017-03-02,720,0.3077694106,64
condicao_genotipo,irrigado|BR16,2017-03-02,401,0.0823647579,64
condicao_genotipo,irrigado|BR16,2017-03-02,400,0.0827498251,64
condicao_genotipo,irrigado|BR16,2017-03-02,550,0.1100544323,64
condicao_genotipo,irrigado|BR16,2017-03-02,530,0.0998468082,64
condicao_genotipo,nao_irrigado|BR16,2017-03-02,720,0.3157124124,64
condicao_genotipo,nao_irrigado|BR16,2017-03-02,401,0.0622587895,64
condicao_genotipo,nao_irrigado|BR16,2017-03-02,400,0.0619530522,64
condicao_genotipo,nao_irrigado|BR16,2017-03-02,550,0.0998529425,64
condicao_genotipo,nao_irrigado|BR16,2017-03-02,530,0.0889211349,64
condicao_genotipo,irrigado|CD202,2017-03-02,720,0.3108898864,68
condicao_genotipo,irrigado|CD202,2017-03-02,401,0.0886317023,68
condicao_genotipo,irrigado|CD202,2017-03-02,400,0.0889187058,68
condicao_genotipo,irrigado|CD202,2017-03-02,550,0.1166601924,68
condicao_genotipo,irrigado|CD202,2017-03-02,530,0.106787071,68
condicao_genotipo,nao_irrigado|CD202,2017-03-02,720,0.3423192277,64
condicao_genotipo,nao_irrigado|CD202,2017-03-02,401,0.0669428745,64
condicao_genotipo,nao_irrigado|CD202,2017-03-02,400,0.0670222658,64
condicao_genotipo,nao_irrigado|CD202,2017-03-02,550,0.1193353873,64
condicao_genotipo,nao_irrigado|CD202,2017-03-02,530,0.1063844931,64
condicao_genotipo,irrigado|EMB48,2017-03-02,720,0.3063555891,64
condicao_genotipo,irrigado|EMB48,2017-03-02,401,0.0833413223,64
condicao_genotipo,irrigado|EMB48,2017-03-02,400,0.0839207867,64
condicao_genotipo,irrigado|EMB48,2017-03-02,550,0.1146772016,64
condicao_genotipo,irrigado|EMB48,2017-03-02,530,0.1038894609,64
condicao_genotipo,nao_irrigado|EMB48,2017-03-02,720,0.337327302,64
condicao_genotipo,nao_irrigado|EMB48,2017-03-02,401,0.0612575919,64
condicao_genotipo,nao_irrigado|EMB48,2017-03-02,400,0.0615933189,64
condicao_genotipo,nao_irrigado|EMB48,2017-03-02,550,0.1184548097,64
condicao_genotipo,nao_irrigado|EMB48,2017-03-02,530,0.1045838019,64
