target,classe,dia,tempo,banda_nm,reflectancia_media,n_amostras_efetivo
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-24,2017-02-24|MANHA,530,0.0984942511,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-24,2017-02-24|MANHA,720,0.3178284624,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-24,2017-02-24|MANHA,401,0.0927070626,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-24,2017-02-24|MANHA,400,0.0931498786,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-24,2017-02-24|MANHA,550,0.1254390905,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-24,2017-02-24|MANHA,530,0.1148764583,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-24,2017-02-24|MANHA,720,0.3514452628,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-24,2017-02-24|MANHA,401,0.0659699058,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-24,2017-02-24|MANHA,400,0.0663295493,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-24,2017-02-24|MANHA,550,0.1244889909,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-24,2017-02-24|MANHA,530,0.1116830515,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-24,2017-02-24|MANHA,720,0.3062695557,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-24,2017-02-24|MANHA,401,0.0931160831,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-24,2017-02-24|MANHA,400,0.0940066255,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-24,2017-02-24|MANHA,550,0.122029985,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-24,2017-02-24|MANHA,530,0.1114294768,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-24,2017-02-24|MANHA,720,0.3615009469,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-24,2017-02-24|MANHA,401,0.06802135,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-24,2017-02-24|MANHA,400,0.0684003361,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-24,2017-02-24|MANHA,550,0.1387335542,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-24,2017-02-24|MANHA,530,0.1239750928,32
condicao_genotipo_turno,irrigado|BR16|TARDE,2017-02-24,2017-02-24|TARDE,720,0.3039901969,32
condicao_genotipo_turno,irrigado|BR16|TARDE,2017-02-24,2017-02-24|TARDE,401,0.0750865454,32
condicao_genotipo_turno,irrigado|BR16|TARDE,2017-02-24,2017-02-24|TARDE,400,0.0758119135,32
condicao_genotipo_turno,irrigado|BR16|TARDE,2017-02-24,2017-02-24|TARDE,550,0.1014534083,32
condicao_genotipo_turno,irrigado|BR16|TARDE,2017-02-24,2017-02-24|TARDE,530,0.092238565,32
condicao_genotipo_turno,nao_irrigado|BR16|TARDE,2017-02-24,2017-02-24|TARDE,720,0.3291822188,32
condicao_genotipo_turno,nao_irrigado|BR16|TARDE,2017-02-24,2017-02-24|TARDE,401,0.065337702,32
condicao_genotipo_turno,nao_irrigado|BR16|TARDE,2017-02-24,2017-02-24|TARDE,400,0.0659303856,32
condicao_genotipo_turno,nao_irrigado|BR16|TARDE,2017-02-24,2017-02-24|TARDE,550,0.1087893193,32
condicao_genotipo_turno,nao_irrigado|BR16|TARDE,2017-02-24,2017-02-24|TARDE,530,0.0970228337,32
condicao_genotipo_turno,irrigado|CD202|TARDE,2017-02-24,2017-02-24|TARDE,720,0.3278915596,32
condicao_genotipo_turno,irrigado|CD202|TARDE,2017-02-24,2017-02-24|TARDE,401,0.0813285633,32
condicao_genotipo_turno,irrigado|CD202|TARDE,2017-02-24,2017-02-24|TARDE,400,0.08195019,32
condicao_genotipo_turno,irrigado|CD202|TARDE,2017-02-24,2017-02-24|TARDE,550,0.1253977206,32
condicao_genotipo_turno,irrigado|CD202|TARDE,2017-02-24,2017-02-24|TARDE,530,0.1136377702,32
condicao_genotipo_turno,nao_irrigado|CD202|TARDE,2017-02-24,2017-02-24|TARDE,720,0.34252382,32
condicao_genotipo_turno,nao_irrigado|CD202|TARDE,2017-02-24,2017-02-24|TARDE,401,0.0648442922,32
condicao_genotipo_turno,nao_irrigado|CD202|TARDE,2017-02-24,2017-02-24|TARDE,400,0.0654861749,32
condicao_genotipo_turno,nao_irrigado|CD202|TARDE,2017-02-24,2017-02-24|TARDE,550,0.1247148067,32
condicao_genotipo_turno,nao_irrigado|CD202|TARDE,2017-02-24,2017-02-24|TARDE,530,0.11112145,32
condicao_genotipo_turno,irrigado|EMB48|TARDE,2017-02-24,2017-02-24|TARDE,720,0.318162904,32
condicao_genotipo_turno,irrigado|EMB48|TARDE,2017-02-24,2017-02-24|TARDE,401,0.0761836931,32
condicao_genotipo_turno,irrigado|EMB48|TARDE,2017-02-24,2017-02-24|TARDE,400,0.0766939538,32
condicao_genotipo_turno,irrigado|EMB48|TARDE,2017-02-24,2017-02-24|TARDE,550,0.1178971802,32
condicao_genotipo_turno,irrigado|EMB48|TARDE,2017-02-24,2017-02-24|TARDE,530,0.1059415883,32
condicao_genotipo_turno,nao_irrigado|EMB48|TARDE,2017-02-24,2017-02-24|TARDE,720,0.3605632761,32
condicao_genotipo_turno,nao_irrigado|EMB48|TARDE,2017-02-24,2017-02-24|TARDE,401,0.0678103116,32
condicao_genotipo_turno,nao_irrigado|EMB48|TARDE,2017-02-24,2017-02-24|TARDE,400,0.0682037147,32
condicao_genotipo_turno,nao_irrigado|EMB48|TARDE,2017-02-24,2017-02-24|TARDE,550,0.1435562921,32
condicao_genotipo_turno,nao_irrigado|EMB48|TARDE,2017-02-24,2017-02-24|TARDE,530,0.1275169785,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-25,2017-02-25|MANHA,720,0.3094770573,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-25,2017-02-25|MANHA,401,0.098862712,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-25,2017-02-25|MANHA,400,0.0987488961,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-25,2017-02-25|MANHA,550,0.1158443293,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-25,2017-02-25|MANHA,530,0.1066804877,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-25,2017-02-25|MANHA,720,0.3367204345,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-25,2017-02-25|MANHA,401,0.0683783512,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-25,2017-02-25|MANHA,400,0.0679338764,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-25,2017-02-25|MANHA,550,0.1106140923,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-25,2017-02-25|MANHA,530,0.099053931,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-25,2017-02-25|MANHA,720,0.3084868764,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-25,2017-02-25|MANHA,401,0.1022510987,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-25,2017-02-25|MANHA,400,0.1029749222,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-25,2017-02-25|MANHA,550,0.1288661877,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-25,2017-02-25|MANHA,530,0.1188922746,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-25,2017-02-25|MANHA,720,0.3327862744,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-25,2017-02-25|MANHA,401,0.0650536864,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-25,2017-02-25|MANHA,400,0.0653481757,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-25,2017-02-25|MANHA,550,0.1206213041,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-25,2017-02-25|MANHA,530,0.1077507349,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-25,2017-02-25|MANHA,720,0.3044416756,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-25,2017-02-25|MANHA,401,0.1081425571,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-25,2017-02-25|MANHA,400,0.1092988461,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-25,2017-02-25|MANHA,550,0.1291468334,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-25,2017-02-25|MANHA,530,0.1191744049,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-25,2017-02-25|MANHA,720,0.3444866311,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-25,2017-02-25|MANHA,401,0.0672420293,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-25,2017-02-25|MANHA,400,0.0679251985,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-25,2017-02-25|MANHA,550,0.1333679184,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-25,2017-02-25|MANHA,530,0.1183401862,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-26,2017-02-26|MANHA,720,0.3012194816,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-26,2017-02-26|MANHA,401,0.0999108432,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-26,2017-02-26|MANHA,400,0.1009663367,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-26,2017-02-26|MANHA,550,0.116682136,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-26,2017-02-26|MANHA,530,0.1079379432,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-26,2017-02-26|MANHA,720,0.3412535479,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-26,2017-02-26|MANHA,401,0.0630979651,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-26,2017-02-26|MANHA,400,0.0633626075,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-26,2017-02-26|MANHA,550,0.112847912,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-26,2017-02-26|MANHA,530,0.1011699149,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-26,2017-02-26|MANHA,720,0.3067378377,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-26,2017-02-26|MANHA,401,0.1070387241,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-26,2017-02-26|MANHA,400,0.1080955631,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-26,2017-02-26|MANHA,550,0.1298869596,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-26,2017-02-26|MANHA,530,0.1208030889,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-26,2017-02-26|MANHA,720,0.3490093258,32
