analysis_id,analysis_label,dia,modelo,n_bandas,bandas,n_amostras,n_grupos,n_splits_cv,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_irrigado_media,f1_irrigado_std,f1_macro_media,f1_macro_std,roc_auc_media,roc_auc_std,kappa_media,kappa_std
dia4,dia4,dia4,LDA,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.9199999999999999,0.1095445115010332,0.9166666666666666,0.11785113019775793,0.8933333333333333,0.1534781924429512,0.9123809523809523,0.12073095592606257,1.0,0.0,0.8321678321678322,0.23113977455997778
dia4,dia4,dia4,k-NN (k=5),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.9199999999999999,0.1095445115010332,0.9166666666666666,0.11785113019775793,0.8933333333333333,0.1534781924429512,0.9123809523809523,0.12073095592606257,0.9833333333333334,0.03726779962499647,0.8321678321678322,0.23113977455997778
dia4,dia4,dia4,XGBoost,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.8400000000000001,0.08944271909999157,0.8166666666666667,0.10865337342004415,0.8361904761904763,0.1201661736806667,0.8171428571428571,0.10354268895182389,0.9666666666666666,0.07453559924999302,0.6503496503496503,0.19779210662560773
dia5,dia5,dia5,Random Forest,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.9199999999999999,0.1095445115010332,0.9,0.13693063937629152,0.9047619047619048,0.14677176197545183,0.9047619047619048,0.13041013273932528,1.0,0.0,0.8181818181818181,0.24896479886598463
dia5,dia5,dia5,SVM (RBF),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.95,0.11180339887498948,0.95,0.11180339887498948,0.96,0.08944271909999157,0.9466666666666667,0.11925695879998875,1.0,0.0,0.9,0.22360679774997896
dia5,dia5,dia5,LDA,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.96,0.08944271909999157,0.95,0.11180339887498947,0.9333333333333332,0.149071198499986,0.9523809523809523,0.10647942749999,1.0,0.0,0.909090909090909,0.20327890704543544
dia5,dia5,dia5,k-NN (k=5),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
dia5,dia5,dia5,XGBoost,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.9199999999999999,0.1095445115010332,0.9,0.13693063937629152,0.9047619047619048,0.14677176197545183,0.9047619047619048,0.13041013273932528,1.0,0.0,0.8181818181818181,0.24896479886598463
dia6,dia6,dia6,Random Forest,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
dia6,dia6,dia6,SVM (RBF),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
dia6,dia6,dia6,LDA,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
dia6,dia6,dia6,k-NN (k=5),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
dia6,dia6,dia6,XGBoost,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.96,0.08944271909999157,0.9666666666666666,0.07453559924999302,0.96,0.08944271909999157,0.96,0.08944271909999157,1.0,0.0,0.923076923076923,0.17200522903844534
dia9,dia9,dia9,Random Forest,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.8400000000000001,0.1673320053068151,0.8666666666666666,0.13944333775567927,0.8533333333333333,0.14452988925785865,0.8366666666666667,0.17336538165261126,1.0,0.0,0.7032967032967032,0.3024474493301733
dia9,dia9,dia9,SVM (RBF),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.79,0.14317821063276354,0.8166666666666667,0.12360330811826105,0.7866666666666666,0.13662601021279466,0.7833333333333334,0.15000000000000002,0.9,0.22360679774997896,0.6032967032967033,0.25941980539369686
dia9,dia9,dia9,LDA,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.8300000000000001,0.09746794344808962,0.85,0.09128709291752769,0.8133333333333335,0.11925695879998878,0.8266666666666668,0.10110500592068732,1.0,0.0,0.6692307692307693,0.19153691689213434
dia9,dia9,dia9,k-NN (k=5),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.79,0.14317821063276354,0.8166666666666667,0.12360330811826105,0.7866666666666666,0.13662601021279466,0.7833333333333334,0.15000000000000002,0.9833333333333334,0.03726779962499647,0.6032967032967033,0.25941980539369686
dia9,dia9,dia9,XGBoost,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.8400000000000001,0.1673320053068151,0.8666666666666666,0.1394433377556793,0.82,0.20493901531919195,0.8366666666666667,0.17336538165261126,1.0,0.0,0.7032967032967032,0.30244744933017326
