wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1790,irrigado,1.1399397138,0.0000279012,0.0000279012,-0.2772362381
1529,irrigado,1.0519814985,0.0007138376,0.0007138376,-0.2788881672
1562,irrigado,1.0291799876,0.0008902644,0.0008902644,-0.2803202706
2296,irrigado,0.8253833975,0.0024842640,0.0024842640,-0.2807477173
1302,irrigado,1.0894500432,0.0004161425,0.0004161425,-0.2821581826
1547,irrigado,1.0393183561,0.0008078957,0.0008078957,-0.2825183866
596,nao_irrigado,0.9260613923,-0.0016932199,0.0016932199,-0.2831300090
1313,nao_irrigado,1.0777375253,-0.0005061133,0.0005061133,-0.2833670713
1124,nao_irrigado,0.9222323982,-0.0017191655,0.0017191655,-0.2860306115
1159,nao_irrigado,1.0174051178,-0.0009721749,0.0009721749,-0.2877062438
1533,irrigado,1.0526599285,0.0006941681,0.0006941681,-0.2892658470
1578,irrigado,1.0334724721,0.0008441456,0.0008441456,-0.2893766106
1564,irrigado,1.0304229414,0.0008664253,0.0008664253,-0.2905191744
848,nao_irrigado,1.0379663515,-0.0008072246,0.0008072246,-0.2906476918
2052,irrigado,0.9628614080,0.0013862647,0.0013862647,-0.2968715575
1532,irrigado,1.0535540170,0.0006765776,0.0006765776,-0.2969218145
2404,irrigado,0.9515516051,0.0014746181,0.0014746181,-0.2969722053
1085,nao_irrigado,0.9715079092,-0.0013168681,0.0013168681,-0.2981308226
2322,irrigado,0.9581952997,0.0014192562,0.0014192562,-0.2994137793
1215,nao_irrigado,0.7470459409,-0.0030688693,0.0030688693,-0.3012269456
2231,irrigado,0.8530227036,0.0022396563,0.0022396563,-0.3012311600
1530,irrigado,1.0545812141,0.0006582720,0.0006582720,-0.3043419940
689,nao_irrigado,0.9344132602,-0.0015978261,0.0015978261,-0.3048413617
992,irrigado,0.8189882278,0.0025009034,0.0025009034,-0.3048826583
425,irrigado,0.9342597345,0.0015950481,0.0015950481,-0.3077168572
2409,irrigado,0.9733137588,0.0012859335,0.0012859335,-0.3102743919
1394,irrigado,0.9743815566,0.0012725287,0.0012725287,-0.3139236205
2076,irrigado,1.0629555484,0.0005785369,0.0005785369,-0.3146109854
1043,irrigado,0.8163711990,0.0025069408,0.0025069408,-0.3153167897
944,nao_irrigado,0.9874302365,-0.0011635207,0.0011635207,-0.3189166067
918,nao_irrigado,0.8621008505,-0.0021418756,0.0021418756,-0.3205608734
1219,nao_irrigado,0.7669979742,-0.0028842624,0.0028842624,-0.3218171329
1550,irrigado,1.0306949527,0.0008208176,0.0008208176,-0.3219383098
2427,irrigado,0.8544877803,0.0021989755,0.0021989755,-0.3223443250
1123,nao_irrigado,0.9241589098,-0.0016516474,0.0016516474,-0.3239280324
1555,irrigado,1.0349028810,0.0007842104,0.0007842104,-0.3245994559
1393,irrigado,0.9737965368,0.0012605340,0.0012605340,-0.3258990093
730,irrigado,1.0178753720,0.0009152871,0.0009152871,-0.3261558108
1312,nao_irrigado,1.0863901888,-0.0003706075,0.0003706075,-0.3323635310
587,nao_irrigado,0.9031372182,-0.0018041439,0.0018041439,-0.3325894565
1604,irrigado,1.0371728020,0.0007488832,0.0007488832,-0.3372933046
2342,nao_irrigado,0.8667823748,-0.0020811923,0.0020811923,-0.3379421296
1788,nao_irrigado,1.0923967677,-0.0003106781,0.0003106781,-0.3417080217
875,nao_irrigado,1.1084555637,-0.0001847569,0.0001847569,-0.3419033894
414,irrigado,1.0166791226,0.0009011276,0.0009011276,-0.3431514360
2027,irrigado,0.9542600526,0.0013893425,0.0013893425,-0.3432803755
1739,irrigado,0.9493044770,0.0014273342,0.0014273342,-0.3438460831
1631,nao_irrigado,1.1226297764,-0.0000642670,0.0000642670,-0.3488295983
2075,irrigado,1.0652037994,0.0005127473,0.0005127473,-0.3494401600
1791,irrigado,1.1267183314,0.0000310631,0.0000310631,-0.3497064053
1534,irrigado,1.0506664909,0.0006260953,0.0006260953,-0.3497278565
1200,nao_irrigado,0.9610488128,-0.0013265417,0.0013265417,-0.3502773071
1548,irrigado,1.0350642074,0.0007447606,0.0007447606,-0.3521945728
2026,irrigado,0.9523547606,0.0013872667,0.0013872667,-0.3555530926
1042,irrigado,0.8817778687,0.0019330327,0.0019330327,-0.3602195183
1392,irrigado,0.9730552926,0.0012184400,0.0012184400,-0.3605080857
1549,irrigado,1.0314046555,0.0007540952,0.0007540952,-0.3661406831
1531,irrigado,1.0544879178,0.0005721294,0.0005721294,-0.3671180676
2246,irrigado,0.7957087809,0.0025959073,0.0025959073,-0.3678551086
2446,irrigado,0.8395271819,0.0022525157,0.0022525157,-0.3682437379
2002,irrigado,0.9094468625,0.0017015937,0.0017015937,-0.3710191355
2001,irrigado,0.9089812840,0.0017018570,0.0017018570,-0.3734612858
770,irrigado,0.8936414848,0.0018197529,0.0018197529,-0.3749998888
583,nao_irrigado,0.9061166485,-0.0017207562,0.0017207562,-0.3760012445
1022,nao_irrigado,0.8160456005,-0.0024232044,0.0024232044,-0.3776675340
537,nao_irrigado,0.9160506476,-0.0016385089,0.0016385089,-0.3792671312
1546,irrigado,1.0413790974,0.0006535184,0.0006535184,-0.3824231877
1738,irrigado,0.9459596194,0.0013886682,0.0013886682,-0.3906991631
1680,irrigado,0.7918327926,0.0025941792,0.0025941792,-0.3910190417
1535,irrigado,1.0497448867,0.0005745513,0.0005745513,-0.3921855186
1541,irrigado,1.0485374754,0.0005822663,0.0005822663,-0.3934373400
1528,irrigado,1.0478799547,0.0005864072,0.0005864072,-0.3941627029
577,nao_irrigado,0.9612139341,-0.0012580765,0.0012580765,-0.3988181684
393,irrigado,0.9687074726,0.0011973612,0.0011973612,-0.4003231314
1185,nao_irrigado,1.0834453869,-0.0002995971,0.0002995971,-0.4003274170
648,irrigado,0.9360778264,0.0014522991,0.0014522991,-0.4005906984
1556,irrigado,1.0334150361,0.0006904891,0.0006904891,-0.4007369640
1937,nao_irrigado,1.0041485443,-0.0009176345,0.0009176345,-0.4020723674
571,nao_irrigado,0.9356078657,-0.0014536664,0.0014536664,-0.4022598499
862,irrigado,0.9929346321,0.0010043563,0.0010043563,-0.4028099338
1240,irrigado,0.9129359378,0.0016295020,0.0016295020,-0.4033865825
1540,irrigado,1.0477494892,0.0005740616,0.0005740616,-0.4038215377
432,nao_irrigado,1.0826153586,-0.0003004072,0.0003004072,-0.4044350809
1756,irrigado,0.9750768048,0.0011407525,0.0011407525,-0.4052169414
2003,irrigado,0.9098247917,0.0016486242,0.0016486242,-0.4071592284
1527,irrigado,1.0454451637,0.0005870224,0.0005870224,-0.4074846878
1264,nao_irrigado,0.9079905026,-0.0016523259,0.0016523259,-0.4148555456
1729,irrigado,0.9164841096,0.0015815525,0.0015815525,-0.4179742383
1125,nao_irrigado,0.9240146511,-0.0015199187,0.0015199187,-0.4199336924
2028,irrigado,0.9569412968,0.0012590486,0.0012590486,-0.4222735842
386,irrigado,0.9807271073,0.0010689273,0.0010689273,-0.4251720829
2416,irrigado,0.8843200724,0.0018212034,0.0018212034,-0.4266559146
1606,irrigado,1.0567005408,0.0004712992,0.0004712992,-0.4274698106
1869,nao_irrigado,0.9599878499,-0.0012263730,0.0012263730,-0.4286602153
1495,irrigado,1.0186687275,0.0007670720,0.0007670720,-0.4287735924
2004,irrigado,0.9096850907,0.0016187062,0.0016187062,-0.4295685161
851,irrigado,1.0469456129,0.0005422825,0.0005422825,-0.4313310126
