wavelength,anova_f,anova_p,anova_q,mutual_info,rf_importance,lasso_coef,rfe_rank,pls_coef,vip,combined_score,direction
2462,487.9111154172794,1.9009543355555395e-95,2.1796123538272737e-95,0.1700900998703978,0.0007185577274477006,0.0,nan,0.08090936011283947,0.8466074072482132,-1.4845091566752802,irrigado
934,799.5861926996515,6.375037153341548e-145,1.1203190291534044e-144,0.24490657879794142,0.00011309557868493909,0.0,nan,-4.9773386751975415e-05,0.9652936377138954,-1.4894323755145111,nao_irrigado
2463,487.05892241243066,2.6523848778447217e-95,3.039573719895576e-95,0.17419225433065355,0.000877919260739875,0.0,nan,0.07511620080327117,0.8461557062548416,-1.4935300408753505,irrigado
1401,734.0910410218279,4.699043208909633e-135,6.55064286608206e-135,0.22432250725407354,0.000490251039209073,0.0,nan,-0.003530125447705814,0.9768381384892992,-1.513691622111693,nao_irrigado
836,765.6099362888522,7.778618668035338e-140,1.2045938628469411e-139,0.2544218167997345,1.2075732091257633e-05,0.0,nan,0.0022432746500332928,0.9564847571040904,-1.5254202062959517,irrigado
2339,651.2103024469146,3.495842479073908e-122,4.5244026308591916e-122,0.2064944406634026,9.39343070982208e-05,0.0,nan,-0.04336981419940281,0.9190601730700978,-1.5314419377664579,nao_irrigado
1882,470.35557605320287,1.8643108169906962e-92,2.103952029038294e-92,0.1776086003822055,0.00013317935112644775,0.0,nan,-0.06430403426400227,0.9529256148813504,-1.5345183875085615,nao_irrigado
929,797.258661586808,1.4149179275500353e-144,2.4723708059789813e-144,0.24799346380020793,3.849114703618133e-06,0.0,nan,0.00018772508179468227,0.9649878384869383,-1.5364266301676246,irrigado
801,750.8083855980555,1.3444767184841797e-137,1.9780912595482014e-137,0.2426398586142391,0.00020508162576680886,0.0,nan,0.005270678438135569,0.9528781604409915,-1.5402690838647053,irrigado
937,800.8774289154838,4.097637712478587e-145,7.236468571052085e-145,0.23925666113554245,0.00010656947633142503,0.0,nan,0.0012498221274117182,0.9655624987142059,-1.546312055402733,irrigado
640,359.0588240183133,6.55537250246049e-73,7.164942201622213e-73,0.1457150255731272,0.0007818465401717541,0.0,nan,0.0552996136267978,1.0269970052359663,-1.5519065472815035,irrigado
2273,741.4268595032336,3.579115230475215e-136,5.0516252367140345e-136,0.2174255322739378,3.130196519886982e-05,0.0,nan,-0.022953764958158884,0.9495369747439623,-1.5528764525704783,nao_irrigado
818,754.768564313309,3.377187025431371e-138,5.072855650630502e-138,0.23935348544834323,0.0003130801389085544,0.0,nan,0.003480076779338882,0.9533658081893481,-1.5532522484346634,irrigado
838,766.5062826371671,5.699333183376453e-140,8.838691908754686e-140,0.2523237131772418,6.374409059926643e-05,0.0,nan,0.0010901618511156696,0.9567397091723934,-1.5557720876562295,irrigado
504,582.715637595222,3.3542083349200686e-111,4.1110553438251094e-111,0.19261208401435104,0.0003226757465529644,0.0,nan,0.0016049334399866,1.1096477799358848,-1.5622813350167422,irrigado
819,755.1390881089907,2.968021131198834e-138,4.4613650965818947e-138,0.24126724664552635,0.00021488208385207037,0.0,nan,0.004498298041711506,0.9534096686640259,-1.5657502199416293,irrigado
823,757.1506111378491,1.4727150362136518e-138,2.230852142884201e-138,0.23753872831329215,0.00034157969959966087,0.0,nan,0.002948192891801272,0.9539532304151016,-1.5672255565973232,irrigado
2340,649.1831721447364,7.311094295343151e-122,9.450819608944182e-122,0.20818212959510407,0.0002888890653443866,0.0,nan,-0.037106665592901586,0.9187506425292262,-1.573405199644623,nao_irrigado
2059,802.9822675460132,1.994567340921468e-145,3.548647105311892e-145,0.2224483003608113,0.00011749013450473773,0.0,nan,-0.012059595673002582,0.9503941864631175,-1.5741977986751292,nao_irrigado
821,756.3525719402926,1.9446183332797437e-138,2.935350199919108e-138,0.23977472546135448,0.00022434464847153433,0.0,nan,-0.004447747709885104,0.9538546633972361,-1.5780498592557295,nao_irrigado
811,752.0717414842181,8.650486278800124e-138,1.2850273470786647e-137,0.24075373976010006,0.0004087553474008999,0.0,nan,-0.00023771697404028876,0.9528817408118766,-1.5788747596804593,nao_irrigado
637,314.6565286729613,8.149724116225097e-65,8.81793590241458e-65,0.1670015001750027,0.0010578101659712495,0.0,nan,0.04608404001163492,1.0099602512387202,-1.5827043242431122,irrigado
