analysis,family_nm,mean_consensus_score,max_consensus_score,n_bandas,slot_coverage_mean,dataset_coverage_mean
gen,580.0,0.49084834207864736,0.49084834207864736,1,0.2,1.0
gen,730.0,0.4859686690380464,0.4859686690380464,1,0.4,0.6666666666666666
gen,550.0,0.4589185342551937,0.5029569478333148,4,0.125,0.875
gen,610.0,0.4188835346584338,0.4188835346584338,1,0.1,0.6666666666666666
gen,1730.0,0.4167865352638524,0.4167865352638524,1,0.1,0.6666666666666666
gen,510.0,0.41254259213646133,0.41254259213646133,1,0.1,0.8333333333333334
gen,630.0,0.4077476663339236,0.4077476663339236,1,0.1,0.6666666666666666
gen,530.0,0.3851290910284684,0.47820686107109867,2,0.1,0.3333333333333333
gen,1380.0,0.38227376586193096,0.4903730428516491,4,0.15,0.75
gen,1370.0,0.37973341603258154,0.5259328348537685,2,0.1,0.6666666666666666
gen,980.0,0.3761429990264929,0.3761429990264929,1,0.1,0.6666666666666666
gen,1360.0,0.3625939460540908,0.3717853328932224,2,0.15000000000000002,0.75
gen,540.0,0.35062908499175727,0.37538465431917145,2,0.1,0.5
gen,1350.0,0.35050830602486166,0.35050830602486166,1,0.1,0.8333333333333334
gen,2180.0,0.34943913027404755,0.34943913027404755,1,0.1,0.8333333333333334
gen,1390.0,0.34478038039995096,0.41907997223670884,2,0.1,0.6666666666666666
gen,400.0,0.3370351801266961,0.3370351801266961,1,0.1,0.8333333333333334
gen,1830.0,0.33405901984767655,0.33405901984767655,1,0.2,0.6666666666666666
gen,1720.0,0.3334532019305191,0.3334532019305191,1,0.1,0.3333333333333333
gen,1400.0,0.30968838001560683,0.30968838001560683,1,0.1,0.5
gen,670.0,0.3053314814241288,0.3053314814241288,1,0.2,0.5
gen,640.0,0.30235386012046633,0.30235386012046633,1,0.1,0.3333333333333333
gen,620.0,0.29309697279629343,0.29309697279629343,1,0.1,0.3333333333333333
gen,950.0,0.29280966569315964,0.29280966569315964,1,0.1,0.3333333333333333
gen,1880.0,0.25185257638222,0.25185257638222,1,0.1,0.3333333333333333
gen,1680.0,0.2506515211007487,0.2506515211007487,1,0.1,0.3333333333333333
gen,1410.0,0.21911329735647433,0.21911329735647433,1,0.1,0.16666666666666666
gen,1690.0,0.17659729915636996,0.17659729915636996,1,0.1,0.16666666666666666
gen_cond,410.0,0.651616853171087,0.651616853171087,1,0.1,1.0
gen_cond,400.0,0.6477937544191334,0.7137234541035491,2,0.30000000000000004,1.0
gen_cond,700.0,0.5975434328501271,0.6434700125291672,2,0.1,1.0
gen_cond,520.0,0.5891060640311792,0.662668344551489,3,0.10000000000000002,1.0
gen_cond,710.0,0.5320760312460209,0.6265077588498342,3,0.10000000000000002,0.8888888888888888
gen_cond,1370.0,0.5315677867802353,0.5315677867802353,1,0.1,1.0
gen_cond,1520.0,0.5253131948824101,0.5664836389717351,4,0.1,0.875
gen_cond,1510.0,0.5127647211868998,0.5127647211868998,1,0.1,1.0
gen_cond,1540.0,0.48315030563840183,0.48315030563840183,1,0.1,0.3333333333333333
gen_cond,550.0,0.47920106729897727,0.47920106729897727,1,0.2,0.6666666666666666
gen_cond,720.0,0.4772000024385261,0.5586931767005122,3,0.16666666666666666,0.8333333333333334
gen_cond,530.0,0.4704929557482615,0.4704929557482615,1,0.3,0.6666666666666666
gen_cond,1600.0,0.45804020128551093,0.45804020128551093,1,0.2,0.8333333333333334
gen_cond,1590.0,0.4225206453691515,0.4225206453691515,1,0.1,0.6666666666666666
gen_cond,740.0,0.4179514889606062,0.49701369621129576,2,0.15000000000000002,0.75
gen_cond,630.0,0.416758685726185,0.416758685726185,1,0.1,0.6666666666666666
gen_cond,620.0,0.4097733736889121,0.4097733736889121,1,0.1,0.8333333333333334
gen_cond,730.0,0.4091759422631755,0.4091759422631755,1,0.2,0.6666666666666666
gen_cond,1380.0,0.373486878662637,0.46249421946584623,4,0.125,0.6666666666666666
gen_cond,1900.0,0.36965819745655387,0.4000675159095708,3,0.13333333333333333,0.6666666666666666
gen_cond,540.0,0.35877091004245526,0.3920521066834231,3,0.13333333333333333,0.3333333333333333
gen_cond,1960.0,0.3433791166182544,0.3433791166182544,1,0.1,0.5
gen_cond,1350.0,0.33636261830286485,0.4280044534464413,2,0.15000000000000002,0.5833333333333334
gen_cond,1490.0,0.3361827567739389,0.3361827567739389,1,0.1,0.5
gen_cond,1720.0,0.3296923431523843,0.3296923431523843,1,0.1,0.5
gen_cond,570.0,0.32840042631935856,0.37138400792690757,2,0.1,0.41666666666666663
gen_cond,640.0,0.3191439095091313,0.3191439095091313,1,0.1,0.3333333333333333
gen_cond,1950.0,0.29910986235368686,0.29910986235368686,1,0.1,0.3333333333333333
gen_cond,1480.0,0.2945160901072722,0.2945160901072722,1,0.1,0.3333333333333333
gen_cond,1710.0,0.28580059072538333,0.28580059072538333,1,0.1,0.3333333333333333
gen_cond,1340.0,0.2594959046513421,0.2594959046513421,1,0.1,0.3333333333333333
gen_cond,1360.0,0.25738972348459566,0.25738972348459566,1,0.1,0.3333333333333333
gen_cond,510.0,0.23688436341112518,0.23688436341112518,1,0.1,0.16666666666666666
