analysis,wavelength_nm,obs_score,p_perm,q_fdr_bh_perm,significativo_perm_fdr_0_05
gen_cond,401.0,0.5818640547347178,0.11314475873544093,0.5338325013865779,False
gen_cond,1522.0,0.5664836389717351,0.0016638935108153079,0.01281198003327787,True
gen_cond,720.0,0.5586931767005122,0.7254575707154742,1.0,False
gen_cond,706.0,0.551616853171087,0.07986688851913477,0.4730577243056444,False
gen_cond,1521.0,0.5429220708754233,0.12479201331114809,0.5338325013865779,False
gen_cond,1526.0,0.5379735127425325,0.454242928452579,1.0,False
gen_cond,1374.0,0.5315677867802353,0.11813643926788686,0.5338325013865779,False
gen_cond,1510.0,0.5127647211868998,0.20133111480865223,0.6946940284710666,False
gen_cond,723.0,0.4992109957746758,0.18302828618968386,0.6772046589018303,False
gen_cond,740.0,0.49701369621129576,0.9184692179700499,1.0,False
gen_cond,719.0,0.49686695714112067,0.5540765391014975,1.0,False
gen_cond,1540.0,0.48315030563840183,0.036605657237936774,0.2348863006100943,False
gen_cond,550.0,0.47920106729897727,0.14143094841930118,0.579910675190472,False
gen_cond,710.0,0.4728533777471077,0.14309484193011648,0.579910675190472,False
gen_cond,530.0,0.4704929557482615,0.9450915141430949,1.0,False
gen_cond,1383.0,0.46249421946584623,0.5440931780366056,1.0,False
gen_cond,520.0,0.4604573250763172,0.5790349417637272,1.0,False
gen_cond,1600.0,0.45804020128551093,0.9866888519134775,1.0,False
gen_cond,1527.0,0.4538735569399494,0.7287853577371048,1.0,False
gen_cond,1359.0,0.4280044534464413,0.956738768718802,1.0,False
gen_cond,1386.0,0.4241543959347831,0.9983361064891847,1.0,False
gen_cond,1590.0,0.4225206453691515,0.5424292845257903,1.0,False
gen_cond,630.0,0.416758685726185,0.5657237936772047,1.0,False
gen_cond,620.0,0.4097733736889121,0.7337770382695508,1.0,False
gen_cond,730.0,0.4091759422631755,0.9950083194675541,1.0,False
gen_cond,1906.0,0.4000675159095708,0.7703826955074875,1.0,False
gen_cond,1901.0,0.39570097349806665,0.7504159733777038,1.0,False
gen_cond,547.0,0.3920521066834231,0.23627287853577372,0.7910005064023728,False
gen_cond,729.0,0.37369583484039043,0.8186356073211315,1.0,False
gen_cond,572.0,0.37138400792690757,0.653910149750416,1.0,False
gen_cond,540.0,0.354577262196078,0.718801996672213,1.0,False
gen_cond,1969.0,0.3433791166182544,0.757071547420965,1.0,False
gen_cond,741.0,0.33888928170991656,0.9484193011647255,1.0,False
