data_coleta,turno,analysis,rank,wavelength_nm,p_value,q_FDR_BH,slot,family_nm,dataset,neglog10_q,inv_rank
D04M,MANHA,gen,5,1369.0,1.4479590802294578e-07,1.4923437555530745e-06,D04M_MANHA,1360.0,TOP5_n10_10_0001,5.826131127302903,0.2
D05M,MANHA,gen_cond,1,1522.0,1.1315648523717676e-24,8.288712543623197e-23,D05M_MANHA,1520.0,TOP5_n10_10_0001,22.08151292163575,1.0
D05M,MANHA,gen_cond,2,400.0,8.615389890989238e-23,2.054670310048713e-21,D05M_MANHA,400.0,TOP5_n10_10_0001,20.68725785457303,0.5
D05M,MANHA,gen_cond,3,1590.0,8.950341465944159e-22,9.178575173325735e-21,D05M_MANHA,1590.0,TOP5_n10_10_0001,20.037224730823677,0.3333333333333333
D05M,MANHA,gen_cond,4,530.0,6.671651392400135e-20,3.591484778428524e-19,D05M_MANHA,530.0,TOP5_n10_10_0001,18.444725969870667,0.25
D05M,MANHA,gen_cond,5,1729.0,1.6626533827674439e-16,4.716600398417742e-16,D05M_MANHA,1720.0,TOP5_n10_10_0001,15.326370916655186,0.2
D05M,MANHA,cond,1,400.0,3.9637616948577895e-24,1.9416481102695699e-22,D05M_MANHA,400.0,TOP5_n10_10_0001,21.711829475568923,1.0
D05M,MANHA,cond,2,1536.0,3.243295690761081e-21,4.210126241614542e-20,D05M_MANHA,1530.0,TOP5_n10_10_0001,19.37570488154804,0.5
D05M,MANHA,cond,3,1600.0,2.3965453696610865e-17,1.3615829787188056e-16,D05M_MANHA,1600.0,TOP5_n10_10_0001,15.865955886383095,0.3333333333333333
D05M,MANHA,cond,4,530.0,2.0607598438214022e-14,8.453236879355393e-14,D05M_MANHA,530.0,TOP5_n10_10_0001,13.072976960912495,0.25
D05M,MANHA,cond,5,739.0,8.005377745871075e-13,2.845585746409285e-12,D05M_MANHA,730.0,TOP5_n10_10_0001,11.54582832320578,0.2
D05M,MANHA,gen,1,706.0,4.044148175553888e-17,2.09162636924178e-14,D05M_MANHA,700.0,TOP5_n10_10_0001,13.679515891634882,1.0
D05M,MANHA,gen,2,1730.0,3.3699116891363938e-15,2.993617599990181e-13,D05M_MANHA,1730.0,TOP5_n10_10_0001,12.523803676544977,0.5
D05M,MANHA,gen,3,980.0,4.0927720604985163e-13,7.622351894322498e-12,D05M_MANHA,980.0,TOP5_n10_10_0001,11.117911005414975,0.3333333333333333
D05M,MANHA,gen,4,553.0,6.875952766758512e-11,3.0393489492719197e-10,D05M_MANHA,550.0,TOP5_n10_10_0001,9.517219435476706,0.25
D05M,MANHA,gen,5,1386.0,7.698052650733927e-11,3.3100012550640006e-10,D05M_MANHA,1380.0,TOP5_n10_10_0001,9.48017184155139,0.2
D06M,MANHA,gen_cond,1,401.0,9.595842669736958e-30,1.3106927168707852e-28,D06M_MANHA,400.0,TOP5_n10_10_0001,27.882499113809203,1.0
D06M,MANHA,gen_cond,2,530.0,2.89875825080014e-29,2.359267131901225e-28,D06M_MANHA,530.0,TOP5_n10_10_0001,27.62722288262332,0.5
D06M,MANHA,gen_cond,3,1526.0,5.525642733981947e-29,4.4443502930968525e-28,D06M_MANHA,1520.0,TOP5_n10_10_0001,27.352191718326225,0.3333333333333333
D06M,MANHA,gen_cond,4,729.0,3.472477278361381e-23,1.3617688141336887e-22,D06M_MANHA,720.0,TOP5_n10_10_0001,21.86589661582131,0.25
D06M,MANHA,gen_cond,5,1600.0,1.6291720042965754e-21,5.358865411126331e-21,D06M_MANHA,1600.0,TOP5_n10_10_0001,20.270927150203853,0.2
D06M,MANHA,cond,1,400.0,5.172735611129154e-33,7.549372294188427e-32,D06M_MANHA,400.0,TOP5_n10_10_0001,31.12208915704673,1.0
D06M,MANHA,cond,2,1539.0,1.7024852455431665e-30,1.4194297717922904e-29,D06M_MANHA,1530.0,TOP5_n10_10_0001,28.84788608991345,0.5
D06M,MANHA,cond,3,530.0,1.7918644941983078e-27,1.0323354150563847e-26,D06M_MANHA,530.0,TOP5_n10_10_0001,25.986179173599307,0.3333333333333333
D06M,MANHA,cond,4,1610.0,3.4095343905865166e-20,9.891025509325242e-20,D06M_MANHA,1610.0,TOP5_n10_10_0001,19.004758678074005,0.25
D06M,MANHA,cond,5,1939.0,5.265778227203992e-19,1.4323754832885129e-18,D06M_MANHA,1930.0,TOP5_n10_10_0001,17.843943121033238,0.2
D06M,MANHA,gen,1,721.0,5.839945694371465e-21,2.9944321547889685e-18,D06M_MANHA,720.0,TOP5_n10_10_0001,17.523685522330837,1.0
D06M,MANHA,gen,2,551.0,1.492056257379113e-09,8.30799279839887e-08,D06M_MANHA,550.0,TOP5_n10_10_0001,7.080503888595411,0.5
D06M,MANHA,gen,3,1391.0,1.72483567975497e-05,0.0004478022758452,D06M_MANHA,1390.0,TOP5_n10_10_0001,3.3489137035562284,0.3333333333333333
D09M,MANHA,gen_cond,1,400.0,2.264011064933304e-27,4.6434866941782064e-24,D09M_MANHA,400.0,TOP5_n10_10_0001,23.333155794576648,1.0
D09M,MANHA,gen_cond,2,1521.0,9.718592781466912e-23,1.755938436187981e-21,D09M_MANHA,1520.0,TOP5_n10_10_0001,20.755490714678515,0.5
D09M,MANHA,gen_cond,3,719.0,5.985863091033491e-20,4.910802079883877e-19,D09M_MANHA,710.0,TOP5_n10_10_0001,18.308847568891487,0.3333333333333333
D09M,MANHA,gen_cond,4,1969.0,1.9953032956160133e-17,9.217042926370368e-17,D09M_MANHA,1960.0,TOP5_n10_10_0001,16.035408389873407,0.25
D09M,MANHA,gen_cond,5,530.0,5.675535543185635e-17,2.4454881090491045e-16,D09M_MANHA,530.0,TOP5_n10_10_0001,15.611634444552744,0.2
D09M,MANHA,cond,1,400.0,5.8582326335260375e-30,1.2015235131361903e-26,D09M_MANHA,400.0,TOP5_n10_10_0001,25.920267725879324,1.0
D09M,MANHA,cond,2,1530.0,4.579923412563878e-21,5.658688505523201e-20,D09M_MANHA,1530.0,TOP5_n10_10_0001,19.24728421206498,0.5
D09M,MANHA,cond,3,579.0,1.586916248928106e-14,9.142598950987489e-14,D09M_MANHA,570.0,TOP5_n10_10_0001,13.038930330564948,0.3333333333333333
D09M,MANHA,cond,4,1590.0,1.799158805784468e-13,9.81402848580836e-13,D09M_MANHA,1590.0,TOP5_n10_10_0001,12.008152685787401,0.25
D09M,MANHA,cond,5,1989.0,1.0743298448631463e-10,4.3289793945271373e-10,D09M_MANHA,1980.0,TOP5_n10_10_0001,9.363614481376601,0.2
D09M,MANHA,gen,1,721.0,9.000784240514122e-14,4.1179446974220655e-11,D09M_MANHA,720.0,TOP5_n10_10_0001,10.385319490104026,1.0
D09M,MANHA,gen,2,552.0,7.589104348216443e-09,4.344210154076447e-07,D09M_MANHA,550.0,TOP5_n10_10_0001,6.362089173624522,0.5
D09M,MANHA,gen,3,740.0,4.186632526379314e-05,0.0008673518496569,D09M_MANHA,740.0,TOP5_n10_10_0001,3.061804691028322,0.3333333333333333
D09T,TARDE,gen_cond,1,717.0,5.731779355410676e-21,2.519401067543116e-18,D09T_TARDE,710.0,TOP5_n10_10_0001,17.598702690955243,1.0
D09T,TARDE,gen_cond,2,550.0,3.07386292224954e-14,1.5893122130088288e-12,D09T_TARDE,550.0,TOP5_n10_10_0001,11.798790779276073,0.5
D09T,TARDE,gen_cond,3,1383.0,4.5901136185138254e-14,2.0030474535259266e-12,D09T_TARDE,1380.0,TOP5_n10_10_0001,11.698308761859526,0.3333333333333333
D09T,TARDE,gen_cond,4,1901.0,4.178793639020097e-12,8.485847280821998e-11,D09T_TARDE,1900.0,TOP5_n10_10_0001,10.071304788465362,0.25
D09T,TARDE,gen_cond,5,1369.0,2.348648013028882e-11,3.677158072307051e-10,D09T_TARDE,1360.0,TOP5_n10_10_0001,9.43448770043978,0.2
D09T,TARDE,cond,1,1900.0,2.311605112312305e-13,9.788810630771363e-11,D09T_TARDE,1900.0,TOP5_n10_10_0001,10.009270073045894,1.0
D09T,TARDE,cond,2,1383.0,2.5891718886379007e-12,2.794942917682281e-10,D09T_TARDE,1380.0,TOP5_n10_10_0001,9.553627057469418,0.5
D09T,TARDE,cond,3,415.0,3.70507725509072e-10,1.0702976690409952e-08,D09T_TARDE,410.0,TOP5_n10_10_0001,7.970495420405186,0.3333333333333333
D09T,TARDE,cond,4,1369.0,7.245177856912433e-08,6.377622225119056e-07,D09T_TARDE,1360.0,TOP5_n10_10_0001,6.195341209521605,0.25
D09T,TARDE,cond,5,1639.0,1.9115262264149238e-07,1.5435197993610269e-06,D09T_TARDE,1630.0,TOP5_n10_10_0001,5.811487795272855,0.2
D09T,TARDE,gen,1,712.0,1.1206948818443271e-16,1.3520854133310084e-14,D09T_TARDE,710.0,TOP5_n10_10_0001,13.868995872472302,1.0
D09T,TARDE,gen,2,550.0,1.531362745621647e-13,8.588470537327283e-12,D09T_TARDE,550.0,TOP5_n10_10_0001,11.066084169852143,0.5
D09T,TARDE,gen,3,740.0,2.6797292372042952e-08,5.234404443339057e-07,D09T_TARDE,740.0,TOP5_n10_10_0001,6.2811327240491375,0.3333333333333333
D09T,TARDE,gen,4,1360.0,1.8424063144478767e-07,3.3739065633326737e-06,D09T_TARDE,1360.0,TOP5_n10_10_0001,5.471866948892987,0.25
D09T,TARDE,gen,5,1380.0,1.12258780959715e-05,0.0001475915126592,D09T_TARDE,1380.0,TOP5_n10_10_0001,3.8309386161664762,0.2
D10M,MANHA,gen_cond,1,400.0,3.7395542182630735e-21,1.0993690986656137e-18,D10M_MANHA,400.0,TOP5_n10_10_0001,17.958856474453803,1.0
D10M,MANHA,gen_cond,2,723.0,3.776334856453079e-14,4.47703051478917e-13,D10M_MANHA,720.0,TOP5_n10_10_0001,12.34900994551841,0.5
D10M,MANHA,gen_cond,3,520.0,5.319267531602782e-13,4.9365690983336226e-12,D10M_MANHA,520.0,TOP5_n10_10_0001,11.306574779684084,0.3333333333333333
D10M,MANHA,gen_cond,4,1906.0,1.394168774643824e-12,1.2272275351049283e-11,D10M_MANHA,1900.0,TOP5_n10_10_0001,10.911074909091008,0.25
D10M,MANHA,gen_cond,5,1386.0,5.973376414507228e-12,4.422886291030442e-11,D10M_MANHA,1380.0,TOP5_n10_10_0001,10.354294225860516,0.2
D10M,MANHA,cond,1,432.0,1.5667698746162166e-17,8.197203348457055e-16,D10M_MANHA,430.0,TOP5_n10_10_0001,15.086334291213563,1.0
D10M,MANHA,cond,2,1906.0,5.644918599661462e-12,7.059590273113205e-11,D10M_MANHA,1900.0,TOP5_n10_10_0001,10.151220503946732,0.5
D10M,MANHA,cond,3,728.0,2.2551122536203884e-10,2.1817147321582156e-09,D10M_MANHA,720.0,TOP5_n10_10_0001,8.661202035759029,0.3333333333333333
D10M,MANHA,cond,4,1385.0,6.992647884740774e-10,5.951004486142461e-09,D10M_MANHA,1380.0,TOP5_n10_10_0001,8.225409722343812,0.25
D10M,MANHA,cond,5,589.0,1.6842549898987813e-07,8.224778534005715e-07,D10M_MANHA,580.0,TOP5_n10_10_0001,6.084875787329862,0.2
D10M,MANHA,gen,1,707.0,1.4778105273431848e-09,5.793548421992975e-07,D10M_MANHA,700.0,TOP5_n10_10_0001,6.237055358887107,1.0
D10M,MANHA,gen,2,540.0,5.469187668981782e-07,2.7452040195953558e-05,D10M_MANHA,540.0,TOP5_n10_10_0001,4.561425373876221,0.5
D10M,MANHA,gen,3,730.0,1.0055737126493527e-05,0.0002455275815052,D10M_MANHA,730.0,TOP5_n10_10_0001,3.609899714039263,0.3333333333333333
