analysis,wavelength_nm,n_obs,n_slots,n_datasets,mean_inv_rank,mean_neglog10_q,std_rank,slot_coverage,dataset_coverage,rank_stability,consensus_score,is_core
gen_cond,741.0,3,1,3,0.20000000000000004,17.09511915587933,0.0,0.1,0.5,1.0,0.33888928170991656,False
gen_cond,1490.0,3,1,3,0.25,14.651409929534468,0.0,0.1,0.5,1.0,0.3361827567739389,False
gen_cond,1729.0,3,1,3,0.20000000000000004,15.326370916655186,0.0,0.1,0.5,1.0,0.3296923431523843,False
gen_cond,546.0,2,1,2,0.5,11.798790779276073,0.0,0.1,0.3333333333333333,1.0,0.3296833612478647,False
gen_cond,640.0,2,1,2,0.3333333333333333,16.1824927778627,0.0,0.1,0.3333333333333333,1.0,0.3191439095091313,False
gen_cond,1900.0,4,2,2,0.2,13.43787799356827,0.0,0.2,0.3333333333333333,1.0,0.3132061029620243,False
gen_cond,1389.0,3,1,3,0.20000000000000004,11.555912394182933,0.0,0.1,0.5,1.0,0.31008713615010813,False
gen_cond,1959.0,2,1,2,0.25,15.534880719451644,0.0,0.1,0.3333333333333333,1.0,0.29910986235368686,False
gen_cond,1382.0,2,1,2,0.2,17.093032118358074,0.0,0.1,0.3333333333333333,1.0,0.2972117630998107,False
gen_cond,1489.0,2,1,2,0.25,14.651409929534468,0.0,0.1,0.3333333333333333,1.0,0.2945160901072722,False
gen_cond,1719.0,2,1,2,0.2,14.8984441129591,0.0,0.1,0.3333333333333333,1.0,0.28580059072538333,False
gen_cond,579.0,2,1,2,0.2,14.824642371045535,0.0,0.1,0.3333333333333333,1.0,0.28541684471180956,False
gen_cond,1340.0,2,1,2,0.2,9.839546862993268,0.0,0.1,0.3333333333333333,1.0,0.2594959046513421,False
gen_cond,1369.0,2,1,2,0.2,9.43448770043978,0.0,0.1,0.3333333333333333,1.0,0.25738972348459566,False
gen_cond,1355.0,2,1,2,0.2,6.998006717877281,0.0,0.1,0.3333333333333333,1.0,0.24472078315928836,False
gen_cond,519.0,1,1,1,0.2,13.504214114534834,,0.1,0.16666666666666666,1.0,0.23688436341112518,False
