target,model,classes,n_classes,n_samples,n_groups,cv_splits,n_bandas,bandas,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,scenario_id,analysis,dia_code,dia,turno_code,turno,validation_mode,split_seed
cond,k-NN (k=5),IRR; NIRR,2,24,8,4,5,band_1951|band_1349|band_415|band_1639|band_1799,0.8750000000000001,0.08333333333333333,0.875,0.08333333333333338,0.8714285714285714,0.08571428571428574,0.75,0.16666666666666663,0.9722222222222222,0.055555555555555525,TOP5_cond_D09T_TARDE,cond,09,dia9,T,TARDE,cv_grouped,42
cond,XGBoost,IRR; NIRR,2,24,8,4,5,band_1951|band_1349|band_415|band_1639|band_1799,0.9583333333333334,0.08333333333333331,0.9583333333333333,0.08333333333333337,0.9571428571428571,0.08571428571428574,0.9166666666666667,0.16666666666666663,1.0,0.0,TOP5_cond_D09T_TARDE,cond,09,dia9,T,TARDE,cv_grouped,42
gen_cond,Random Forest,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_521|band_710|band_630|band_401|band_730,0.4166666666666667,0.3191423692521127,0.4166666666666667,0.3191423692521127,0.3333333333333333,0.3215510250775062,0.29999999999999993,0.3829708431025353,,,TOP5_gen_cond_D02M_MANHA,gen_cond,02,dia2,M,MANHA,cv_grouped,42
gen_cond,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_521|band_710|band_630|band_401|band_730,0.5416666666666666,0.25,0.5416666666666666,0.25,0.45833333333333337,0.26883761372144394,0.44999999999999996,0.30000000000000004,,,TOP5_gen_cond_D02M_MANHA,gen_cond,02,dia2,M,MANHA,cv_grouped,42
gen_cond,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_521|band_710|band_630|band_401|band_730,0.5416666666666667,0.2097176232019653,0.5416666666666667,0.2097176232019653,0.4444444444444444,0.2357022603955158,0.44999999999999996,0.2516611478423584,,,TOP5_gen_cond_D02M_MANHA,gen_cond,02,dia2,M,MANHA,cv_grouped,42
gen_cond,k-NN (k=5),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_521|band_710|band_630|band_401|band_730,0.3333333333333333,0.23570226039551584,0.3333333333333333,0.23570226039551584,0.26388888888888884,0.1996653578967391,0.20000000000000007,0.28284271247461906,,,TOP5_gen_cond_D02M_MANHA,gen_cond,02,dia2,M,MANHA,cv_grouped,42
gen_cond,XGBoost,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_521|band_710|band_630|band_401|band_730,0.4583333333333333,0.28463752127665554,0.4583333333333333,0.28463752127665554,0.3472222222222222,0.3097357163644024,0.35,0.34156502553198664,,,TOP5_gen_cond_D02M_MANHA,gen_cond,02,dia2,M,MANHA,cv_grouped,42
gen_cond,Random Forest,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_528|band_1510|band_720|band_620|band_1349,0.49999999999999994,0.13608276348795434,0.49999999999999994,0.13608276348795434,0.41666666666666663,0.1156481110814518,0.4,0.1632993161855453,,,TOP5_gen_cond_D02T_TARDE,gen_cond,02,dia2,T,TARDE,cv_grouped,42
gen_cond,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_528|band_1510|band_720|band_620|band_1349,0.5416666666666666,0.15957118462605632,0.5416666666666666,0.15957118462605632,0.4722222222222222,0.16511624537154637,0.45000000000000007,0.19148542155126758,,,TOP5_gen_cond_D02T_TARDE,gen_cond,02,dia2,T,TARDE,cv_grouped,42
gen_cond,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_528|band_1510|band_720|band_620|band_1349,0.5416666666666666,0.08333333333333331,0.5416666666666666,0.08333333333333331,0.42361111111111105,0.10965480816969458,0.44999999999999996,0.10000000000000007,,,TOP5_gen_cond_D02T_TARDE,gen_cond,02,dia2,T,TARDE,cv_grouped,42
