data_coleta_iso,genotipo,turno,n_components,rmsecv,r2cv,auc,accuracy
2017-02-23,CD202,tarde,9,0.11578276743693819,0.9463774030585755,1.0,1.0
2017-02-23,CD202,tarde,10,0.10985179580957397,0.9517303318296467,1.0,1.0
2017-02-23,CD202,tarde,11,0.1081983319852283,0.9531724838224573,1.0,1.0
2017-02-23,CD202,tarde,12,0.10690350826087477,0.9542865596860683,1.0,1.0
2017-02-23,CD202,tarde,13,0.10617475500654586,0.9549076855971999,1.0,1.0
2017-02-23,CD202,tarde,14,0.10632564731422955,0.9547794268928402,1.0,1.0
2017-02-23,CD202,tarde,15,0.10631148529602891,0.9547914723766089,1.0,1.0
2017-02-23,EMB48,manha,1,0.4367478754019218,0.2370051733276296,0.76953125,0.765625
2017-02-23,EMB48,manha,2,0.3763978232672268,0.433298714558774,0.896484375,0.828125
2017-02-23,EMB48,manha,3,0.3537648583271151,0.4994017000511848,0.89453125,0.890625
2017-02-23,EMB48,manha,4,0.26192454679886545,0.7255821271368357,0.966796875,0.9375
2017-02-23,EMB48,manha,5,0.2337428710793084,0.7814570808784072,0.9912109375,0.953125
2017-02-23,EMB48,manha,6,0.21574756105288753,0.8138119595989223,0.9951171875,0.953125
2017-02-23,EMB48,manha,7,0.19776750623766826,0.8435520539061354,0.998046875,0.953125
2017-02-23,EMB48,manha,8,0.1964641979790817,0.8456072756497448,1.0,0.953125
2017-02-23,EMB48,manha,9,0.1894610588330585,0.8564180287434253,1.0,0.984375
2017-02-23,EMB48,manha,10,0.18720758547066224,0.8598132797689788,1.0,0.984375
2017-02-23,EMB48,manha,11,0.18617264970110797,0.8613589780130742,1.0,0.984375
2017-02-23,EMB48,manha,12,0.1849844215617192,0.8631230551179047,1.0,0.984375
2017-02-23,EMB48,manha,13,0.18505291811047198,0.8630216699951958,1.0,0.96875
2017-02-23,EMB48,manha,14,0.18578390714549234,0.8619373593830203,1.0,0.96875
2017-02-23,EMB48,manha,15,0.18564734616755546,0.8621402514437753,1.0,0.96875
2017-02-23,EMB48,tarde,1,0.3552378527592542,0.4952242718679778,0.888671875,0.8125
