direction,wavelength,occurrences,subset_frequency,mean_rank,best_rank,mean_vip,mean_coefficient,mean_abs_coefficient,mean_score
irrigado,1094,1,0.037037037037037035,2.0,2,1.5660660303020786,0.0030009495866181604,0.0030009495866181604,9.400835324810407
irrigado,1275,1,0.037037037037037035,2.0,2,1.7732351285752888,0.004195981565757612,0.004195981565757612,8.997715451937681
irrigado,1654,1,0.037037037037037035,2.0,2,1.6600389005457605,0.005846588879429323,0.005846588879429323,8.319255842523592
irrigado,2137,1,0.037037037037037035,2.0,2,1.7191560189742894,0.0051134646554343455,0.0051134646554343455,7.784183420496026
irrigado,2236,1,0.037037037037037035,2.0,2,1.5732038444713532,0.0035482583777512043,0.0035482583777512043,7.040313824190707
irrigado,366,1,0.037037037037037035,2.0,2,1.236863082422516,0.011474285536491106,0.011474285536491106,6.969826640305283
irrigado,991,1,0.037037037037037035,2.0,2,1.4631893988500386,0.002323959710908518,0.002323959710908518,6.503030847856193
irrigado,1666,1,0.037037037037037035,3.0,3,1.5605294724889271,0.003742084939384863,0.003742084939384863,10.188762302219782
irrigado,2232,1,0.037037037037037035,3.0,3,1.475475600891316,0.005441905511381333,0.005441905511381333,10.111144844623258
irrigado,1273,1,0.037037037037037035,3.0,3,1.7605518653546492,0.004004538200883393,0.004004538200883393,8.68016198337639
irrigado,1086,1,0.037037037037037035,3.0,3,1.2362893534945971,0.005952982496682672,0.005952982496682672,7.5282059330363635
irrigado,2135,1,0.037037037037037035,3.0,3,1.727469911630988,0.004681780163796879,0.004681780163796879,7.362253930887331
irrigado,1658,1,0.037037037037037035,3.0,3,1.4904044380444406,0.0039501245795834075,0.0039501245795834075,7.002604863660102
irrigado,364,1,0.037037037037037035,3.0,3,1.384655979328524,0.0024704227261034242,0.0024704227261034242,6.991698312076952
irrigado,1001,1,0.037037037037037035,3.0,3,1.326638907452067,0.0039039365541519763,0.0039039365541519763,6.960107611039241
irrigado,1661,1,0.037037037037037035,3.0,3,1.4288826518776827,0.009528103959067799,0.009528103959067799,6.949061832370354
irrigado,1099,1,0.037037037037037035,3.0,3,1.4875256379606498,0.0021402118278133044,0.0021402118278133044,6.255785106099344
irrigado,1670,1,0.037037037037037035,3.0,3,1.331633254188821,0.005993896561047306,0.005993896561047306,6.119892750745604
irrigado,2229,1,0.037037037037037035,4.0,4,1.443339185697039,0.0045922988905730015,0.0045922988905730015,8.618176361183988
irrigado,918,1,0.037037037037037035,4.0,4,1.4108858387769942,0.005254647242233049,0.005254647242233049,7.762913184210056
irrigado,1828,1,0.037037037037037035,4.0,4,1.7357358263465725,0.0031782773749481218,0.0031782773749481218,7.4992760638663265
irrigado,1085,1,0.037037037037037035,4.0,4,1.226150121945405,0.005619112721851817,0.005619112721851817,7.067614219463424
irrigado,1002,1,0.037037037037037035,4.0,4,1.3262284849001864,0.0038928482829194214,0.0038928482829194214,6.940359519249407
irrigado,971,1,0.037037037037037035,4.0,4,1.4491120528989034,0.009251167106095734,0.009251167106095734,6.905317093622463
irrigado,1668,1,0.037037037037037035,4.0,4,1.3283759718799764,0.0058499766836694524,0.0058499766836694524,5.976019745481427
irrigado,1098,1,0.037037037037037035,4.0,4,1.4892012825462333,0.0019299608541800493,0.0019299608541800493,5.816863170875033
irrigado,2363,1,0.037037037037037035,4.0,4,1.1920890943154716,0.004580218698728476,0.004580218698728476,5.246786466662805
irrigado,1667,1,0.037037037037037035,5.0,5,1.4681671244964465,0.003093175005930117,0.003093175005930117,8.265830552221889
irrigado,1655,1,0.037037037037037035,5.0,5,1.6593569850380188,0.005602973268983944,0.005602973268983944,8.088584140274143
irrigado,1827,1,0.037037037037037035,5.0,5,1.718374544117482,0.003262878086375782,0.003262878086375782,7.496704426381919
irrigado,2233,1,0.037037037037037035,5.0,5,1.2833856433704058,0.004348930637351688,0.004348930637351688,7.256020508608511
irrigado,2138,1,0.037037037037037035,5.0,5,1.643937233951511,0.00485050146586698,0.00485050146586698,7.154003122167842
irrigado,917,1,0.037037037037037035,5.0,5,1.3472493288888625,0.005017372522491611,0.005017372522491611,7.095819807391582
irrigado,1657,1,0.037037037037037035,5.0,5,1.4539082074056853,0.004105663522156558,0.004105663522156558,6.958982363978951
irrigado,426,1,0.037037037037037035,5.0,5,1.3350105800616563,0.01037839178019756,0.01037839178019756,6.900761855934668
irrigado,1662,1,0.037037037037037035,5.0,5,1.3732714333768465,0.0021528979528601666,0.0021528979528601666,6.202473295646612
irrigado,1189,1,0.037037037037037035,5.0,5,1.207702243488968,0.006664149367204742,0.006664149367204742,5.915412629454682
irrigado,908,1,0.037037037037037035,5.0,5,1.4917640595069388,0.001795428904631557,0.001795428904631557,5.544899014866955
nao_irrigado,550,2,0.07407407407407407,2.5,1,1.3997089815445398,-0.0022774871556368597,0.0022774871556368597,6.863255055534266
nao_irrigado,969,2,0.07407407407407407,3.0,1,1.5143745263879422,-0.004456546861589501,0.004456546861589501,8.106367721569846
nao_irrigado,970,2,0.07407407407407407,3.5,3,1.4248582303288184,-0.004784927215389977,0.004784927215389977,7.533907008107221
nao_irrigado,968,2,0.07407407407407407,3.5,2,1.3717535362780526,-0.004546273624744398,0.004546273624744398,7.298183475392047
nao_irrigado,549,2,0.07407407407407407,3.5,2,1.424354651655134,-0.002296662049503047,0.002296662049503047,7.068983374209592
nao_irrigado,415,2,0.07407407407407407,3.5,3,1.3672342669034627,-0.0038889405473223207,0.0038889405473223207,6.272817358152732
nao_irrigado,402,1,0.037037037037037035,1.0,1,1.9817980092512164,-0.008670510126559018,0.008670510126559018,11.544206042955032
nao_irrigado,2283,1,0.037037037037037035,1.0,1,1.8163034235786146,-0.0054575314349205335,0.0054575314349205335,10.893241330675346
nao_irrigado,448,1,0.037037037037037035,1.0,1,1.7417106643086617,-0.007896694528697856,0.007896694528697856,10.034580352755219
nao_irrigado,552,1,0.037037037037037035,1.0,1,1.7863758505822662,-0.008109440767703972,0.008109440767703972,9.81315959461735
nao_irrigado,965,1,0.037037037037037035,1.0,1,1.571809524620247,-0.004149839339503025,0.004149839339503025,8.890409201134219
nao_irrigado,2306,1,0.037037037037037035,1.0,1,1.5140903086682806,-0.007342301389244352,0.007342301389244352,8.826502365450159
nao_irrigado,995,1,0.037037037037037035,1.0,1,1.4425368709845245,-0.007525034014084907,0.007525034014084907,8.336668617787655
nao_irrigado,928,1,0.037037037037037035,1.0,1,1.4785086780205108,-0.005125328566943966,0.005125328566943966,8.29958121573861
nao_irrigado,1077,1,0.037037037037037035,1.0,1,1.2257305995179741,-0.004621194202972655,0.004621194202972655,7.4327673388338
nao_irrigado,410,1,0.037037037037037035,1.0,1,1.3000412211515973,-0.0026924459377311765,0.0026924459377311765,6.631042515060493
nao_irrigado,473,1,0.037037037037037035,1.0,1,1.5941416335766847,-0.004523441815287618,0.004523441815287618,6.5095171002049135
nao_irrigado,427,1,0.037037037037037035,1.0,1,1.4042416321198303,-0.0040364401462229405,0.0040364401462229405,5.986601860834652
nao_irrigado,857,1,0.037037037037037035,1.0,1,1.3436733243027335,-0.0016806416613318477,0.0016806416613318477,5.715881321751758
nao_irrigado,553,1,0.037037037037037035,2.0,2,1.7979342884518408,-0.007889235068954467,0.007889235068954467,9.725258204030624
nao_irrigado,449,1,0.037037037037037035,2.0,2,1.6854108196876263,-0.007047581755278554,0.007047581755278554,8.977939075943578
nao_irrigado,2284,1,0.037037037037037035,2.0,2,1.4430444105998408,-0.00563903317420147,0.00563903317420147,8.76536973900088
nao_irrigado,964,1,0.037037037037037035,2.0,2,1.5090506785018123,-0.004050746844041607,0.004050746844041607,8.340371900612954
nao_irrigado,1731,1,0.037037037037037035,2.0,2,1.533368165678241,-0.005000881446809239,0.005000881446809239,8.179179739594247
nao_irrigado,929,1,0.037037037037037035,2.0,2,1.4762778283964038,-0.004690788630011735,0.004690788630011735,7.778578718781031
nao_irrigado,846,1,0.037037037037037035,2.0,2,1.5666555133788291,-0.004877963625018894,0.004877963625018894,7.671662844251122
nao_irrigado,990,1,0.037037037037037035,2.0,2,1.3318190522827513,-0.007157256761451978,0.007157256761451978,7.289057946460895
nao_irrigado,1076,1,0.037037037037037035,2.0,2,1.1385310219219897,-0.004225264289343392,0.004225264289343392,6.188000815978762
nao_irrigado,428,1,0.037037037037037035,2.0,2,1.4354059526252863,-0.0038164513953932856,0.0038164513953932856,5.939918484378378
nao_irrigado,837,1,0.037037037037037035,2.0,2,1.3854662170737668,-0.0015556487572882817,0.0015556487572882817,5.675723542290946
nao_irrigado,2238,1,0.037037037037037035,2.0,2,1.1543228546994349,-0.0027542410429413,0.0027542410429413,5.618036450832603
nao_irrigado,551,1,0.037037037037037035,2.0,2,1.2656506269855472,-0.001987959748500716,0.001987959748500716,5.415388638361065
nao_irrigado,984,1,0.037037037037037035,3.0,3,1.6280907883549092,-0.002831953257921352,0.002831953257921352,9.393392589683431
nao_irrigado,401,1,0.037037037037037035,3.0,3,1.7812438704252311,-0.00740338966853298,0.00740338966853298,9.346973564003287
nao_irrigado,977,1,0.037037037037037035,3.0,3,1.507747786349209,-0.009832886054647078,0.009832886054647078,9.324399673999363
nao_irrigado,2282,1,0.037037037037037035,3.0,3,1.743716865283833,-0.003913047000794728,0.003913047000794728,8.479756905913513
