data_coleta_iso,genotipo,turno,r2cv,rmsecv,auc,accuracy,best_components,rank,wavelength,range_label,range_start,range_end,direction,vip,coefficient,abs_coefficient,score
2017-02-24,BR16,manha,0.9832356166890571,0.06473867335477096,1.0,1.0,14,2,2230,SWIR2,1801,2500,irrigado,1.5544718986892059,0.005678071812744355,0.005678071812744355,10.960474395568923
2017-02-24,BR16,manha,0.9832356166890571,0.06473867335477096,1.0,1.0,14,3,2232,SWIR2,1801,2500,irrigado,1.475475600891316,0.005441905511381333,0.005441905511381333,10.111144844623258
2017-02-24,BR16,manha,0.9832356166890571,0.06473867335477096,1.0,1.0,14,4,2229,SWIR2,1801,2500,irrigado,1.443339185697039,0.0045922988905730015,0.0045922988905730015,8.618176361183988
2017-02-24,BR16,manha,0.9832356166890571,0.06473867335477096,1.0,1.0,14,5,2233,SWIR2,1801,2500,irrigado,1.2833856433704058,0.004348930637351688,0.004348930637351688,7.256020508608511
2017-02-24,BR16,tarde,0.9757666225506332,0.0778353670405793,1.0,1.0,14,1,2283,SWIR2,1801,2500,nao_irrigado,1.8163034235786146,-0.0054575314349205335,0.0054575314349205335,10.893241330675346
2017-02-24,BR16,tarde,0.9757666225506332,0.0778353670405793,1.0,1.0,14,2,2284,SWIR2,1801,2500,nao_irrigado,1.4430444105998408,-0.00563903317420147,0.00563903317420147,8.76536973900088
2017-02-24,BR16,tarde,0.9757666225506332,0.0778353670405793,1.0,1.0,14,3,2282,SWIR2,1801,2500,nao_irrigado,1.743716865283833,-0.003913047000794728,0.003913047000794728,8.479756905913513
2017-02-24,BR16,tarde,0.9757666225506332,0.0778353670405793,1.0,1.0,14,4,1828,SWIR2,1801,2500,irrigado,1.7357358263465725,0.0031782773749481218,0.0031782773749481218,7.4992760638663265
2017-02-24,BR16,tarde,0.9757666225506332,0.0778353670405793,1.0,1.0,14,5,1827,SWIR2,1801,2500,irrigado,1.718374544117482,0.003262878086375782,0.003262878086375782,7.496704426381919
2017-02-24,CD202,manha,0.9955584467752463,0.03332248949566071,1.0,1.0,11,1,857,NIR,700,1300,nao_irrigado,1.3436733243027335,-0.0016806416613318477,0.0016806416613318477,5.715881321751758
2017-02-24,CD202,manha,0.9955584467752463,0.03332248949566071,1.0,1.0,11,2,837,NIR,700,1300,nao_irrigado,1.3854662170737668,-0.0015556487572882817,0.0015556487572882817,5.675723542290946
