sample_id,data_coleta_iso,genotipo_normalizado,condicao_normalizada,y_true,y_pred
B2_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,0,0.26407827604626855
B2_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,1,0.692154406147889
B2_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,1,0.7061360778953953
B2_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,1,0.7332259044698701
B2_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,1,0.6659597203946984
B2_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,1,0.8967183377060717
B2_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,1,0.8214694055846947
B2_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,1,0.9437180564836843
B2_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,1,0.8504996474415422
B2_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0,0.7717519975743206
B2_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0,0.7390745576820292
B2_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0,0.7127343821945868
B2_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0,0.7315758254750827
B2_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0,0.343813741217634
B2_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0,0.3271546423221907
B2_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0,0.34485608954467495
B2_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0,0.287466722424223
B3_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,1,0.8052705811915997
B3_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,1,0.855218193881147
B3_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,1,0.8797322805051038
