data_coleta,turno,analysis,rank,wavelength_nm,p_value,q_FDR_BH
D10M,MANHA,gen_cond,2,723.0,3.7763348564530786e-14,4.4770305147891704e-13
D10M,MANHA,gen_cond,3,520.0,5.319267531602782e-13,4.936569098333623e-12
D10M,MANHA,gen_cond,4,1906.0,1.394168774643824e-12,1.2272275351049283e-11
D10M,MANHA,gen_cond,5,1386.0,5.973376414507228e-12,4.422886291030442e-11
D10M,MANHA,cond,1,432.0,1.5667698746162163e-17,8.197203348457055e-16
D10M,MANHA,cond,2,1906.0,5.644918599661462e-12,7.059590273113206e-11
D10M,MANHA,cond,3,728.0,2.2551122536203884e-10,2.1817147321582156e-09
D10M,MANHA,cond,4,1385.0,6.992647884740775e-10,5.951004486142461e-09
D10M,MANHA,cond,5,589.0,1.6842549898987813e-07,8.224778534005715e-07
D10M,MANHA,gen,1,707.0,1.4778105273431848e-09,5.793548421992975e-07
D10M,MANHA,gen,2,540.0,5.469187668981782e-07,2.7452040195953554e-05
D10M,MANHA,gen,3,730.0,1.0055737126493527e-05,0.00024552758150521697
D10M,MANHA,gen,4,1359.0,1.3642755341828819e-05,0.0003156866722499893
D10M,MANHA,gen,5,400.0,2.2658201695839605e-05,0.00045118419105016536
