row_number,nomenclaura,bloco_normalizado,genotipo_normalizado,condicao_normalizada,data_coleta_raw,data_coleta_iso,turno
144,B3_EMB48_NIRRIG_REPROD00006.asd,B3,EMB48,nao_irrigado,20170223,2017-02-23,manha
145,B3_EMB48_NIRRIG_REPROD00007.asd,B3,EMB48,nao_irrigado,20170223,2017-02-23,manha
146,B4_BR16_IRRIG_REPROD00000.asd,B4,BR16,irrigado,20170223,2017-02-23,manha
147,B4_BR16_IRRIG_REPROD00001.asd,B4,BR16,irrigado,20170223,2017-02-23,manha
148,B4_BR16_IRRIG_REPROD00002.asd,B4,BR16,irrigado,20170223,2017-02-23,manha
149,B4_BR16_IRRIG_REPROD00003.asd,B4,BR16,irrigado,20170223,2017-02-23,manha
150,B4_BR16_IRRIG_REPROD00004.asd,B4,BR16,irrigado,20170223,2017-02-23,manha
151,B4_BR16_IRRIG_REPROD00005.asd,B4,BR16,irrigado,20170223,2017-02-23,manha
152,B4_BR16_IRRIG_REPROD00006.asd,B4,BR16,irrigado,20170223,2017-02-23,manha
153,B4_BR16_IRRIG_REPROD00007.asd,B4,BR16,irrigado,20170223,2017-02-23,manha
154,B4_BR16_NIRRIG_REPROD00000.asd,B4,BR16,nao_irrigado,20170223,2017-02-23,manha
155,B4_BR16_NIRRIG_REPROD00001.asd,B4,BR16,nao_irrigado,20170223,2017-02-23,manha
156,B4_BR16_NIRRIG_REPROD00002.asd,B4,BR16,nao_irrigado,20170223,2017-02-23,manha
157,B4_BR16_NIRRIG_REPROD00003.asd,B4,BR16,nao_irrigado,20170223,2017-02-23,manha
158,B4_BR16_NIRRIG_REPROD00004.asd,B4,BR16,nao_irrigado,20170223,2017-02-23,manha
159,B4_BR16_NIRRIG_REPROD00005.asd,B4,BR16,nao_irrigado,20170223,2017-02-23,manha
160,B4_BR16_NIRRIG_REPROD00006.asd,B4,BR16,nao_irrigado,20170223,2017-02-23,manha
161,B4_BR16_NIRRIG_REPROD00007.asd,B4,BR16,nao_irrigado,20170223,2017-02-23,manha
162,B4_CD202_IRRIG_REPROD00000.asd,B4,CD202,irrigado,20170223,2017-02-23,manha
163,B4_CD202_IRRIG_REPROD00001.asd,B4,CD202,irrigado,20170223,2017-02-23,manha
164,B4_CD202_IRRIG_REPROD00002.asd,B4,CD202,irrigado,20170223,2017-02-23,manha
165,B4_CD202_IRRIG_REPROD00003.asd,B4,CD202,irrigado,20170223,2017-02-23,manha
166,B4_CD202_IRRIG_REPROD00004.asd,B4,CD202,irrigado,20170223,2017-02-23,manha
167,B4_CD202_IRRIG_REPROD00005.asd,B4,CD202,irrigado,20170223,2017-02-23,manha
168,B4_CD202_IRRIG_REPROD00006.asd,B4,CD202,irrigado,20170223,2017-02-23,manha
169,B4_CD202_IRRIG_REPROD00007.asd,B4,CD202,irrigado,20170223,2017-02-23,manha
170,B4_CD202_NIRRIG_REPROD00000.asd,B4,CD202,nao_irrigado,20170223,2017-02-23,manha
171,B4_CD202_NIRRIG_REPROD00001.asd,B4,CD202,nao_irrigado,20170223,2017-02-23,manha
172,B4_CD202_NIRRIG_REPROD00002.asd,B4,CD202,nao_irrigado,20170223,2017-02-23,manha
173,B4_CD202_NIRRIG_REPROD00003.asd,B4,CD202,nao_irrigado,20170223,2017-02-23,manha
174,B4_CD202_NIRRIG_REPROD00004.asd,B4,CD202,nao_irrigado,20170223,2017-02-23,manha
175,B4_CD202_NIRRIG_REPROD00005.asd,B4,CD202,nao_irrigado,20170223,2017-02-23,manha
176,B4_CD202_NIRRIG_REPROD00006.asd,B4,CD202,nao_irrigado,20170223,2017-02-23,manha
177,B4_CD202_NIRRIG_REPROD00007.asd,B4,CD202,nao_irrigado,20170223,2017-02-23,manha
178,B4_EMB48_IRRIG_REPROD00000.asd,B4,EMB48,irrigado,20170223,2017-02-23,manha
179,B4_EMB48_IRRIG_REPROD00001.asd,B4,EMB48,irrigado,20170223,2017-02-23,manha
180,B4_EMB48_IRRIG_REPROD00002.asd,B4,EMB48,irrigado,20170223,2017-02-23,manha
181,B4_EMB48_IRRIG_REPROD00003.asd,B4,EMB48,irrigado,20170223,2017-02-23,manha
182,B4_EMB48_IRRIG_REPROD00004.asd,B4,EMB48,irrigado,20170223,2017-02-23,manha
183,B4_EMB48_IRRIG_REPROD00005.asd,B4,EMB48,irrigado,20170223,2017-02-23,manha
184,B4_EMB48_IRRIG_REPROD00006.asd,B4,EMB48,irrigado,20170223,2017-02-23,manha
185,B4_EMB48_IRRIG_REPROD00007.asd,B4,EMB48,irrigado,20170223,2017-02-23,manha
186,B4_EMB48_NIRRIG_REPROD00000.asd,B4,EMB48,nao_irrigado,20170223,2017-02-23,manha
187,B4_EMB48_NIRRIG_REPROD00001.asd,B4,EMB48,nao_irrigado,20170223,2017-02-23,manha
188,B4_EMB48_NIRRIG_REPROD00002.asd,B4,EMB48,nao_irrigado,20170223,2017-02-23,manha
189,B4_EMB48_NIRRIG_REPROD00003.asd,B4,EMB48,nao_irrigado,20170223,2017-02-23,manha
190,B4_EMB48_NIRRIG_REPROD00004.asd,B4,EMB48,nao_irrigado,20170223,2017-02-23,manha
191,B4_EMB48_NIRRIG_REPROD00005.asd,B4,EMB48,nao_irrigado,20170223,2017-02-23,manha
192,B4_EMB48_NIRRIG_REPROD00006.asd,B4,EMB48,nao_irrigado,20170223,2017-02-23,manha
193,B4_EMB48_NIRRIG_REPROD00007.asd,B4,EMB48,nao_irrigado,20170223,2017-02-23,manha
194,B1_BR16_IRRIG_REPROD00000.asd,B1,BR16,irrigado,20170223,2017-02-23,tarde
195,B1_BR16_IRRIG_REPROD00001.asd,B1,BR16,irrigado,20170223,2017-02-23,tarde
196,B1_BR16_IRRIG_REPROD00002.asd,B1,BR16,irrigado,20170223,2017-02-23,tarde
197,B1_BR16_IRRIG_REPROD00003.asd,B1,BR16,irrigado,20170223,2017-02-23,tarde
198,B1_BR16_IRRIG_REPROD00004.asd,B1,BR16,irrigado,20170223,2017-02-23,tarde
199,B1_BR16_IRRIG_REPROD00005.asd,B1,BR16,irrigado,20170223,2017-02-23,tarde
200,B1_BR16_IRRIG_REPROD00006.asd,B1,BR16,irrigado,20170223,2017-02-23,tarde
201,B1_BR16_IRRIG_REPROD00007.asd,B1,BR16,irrigado,20170223,2017-02-23,tarde
202,B1_BR16_NIRRIG_REPROD00000.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,tarde
203,B1_BR16_NIRRIG_REPROD00001.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,tarde
204,B1_BR16_NIRRIG_REPROD00002.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,tarde
205,B1_BR16_NIRRIG_REPROD00003.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,tarde
206,B1_BR16_NIRRIG_REPROD00004.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,tarde
207,B1_BR16_NIRRIG_REPROD00005.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,tarde
208,B1_BR16_NIRRIG_REPROD00006.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,tarde
209,B1_BR16_NIRRIG_REPROD00007.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,tarde
210,B1_CD202_IRRIG_REPROD00000.asd,B1,CD202,irrigado,20170223,2017-02-23,tarde
211,B1_CD202_IRRIG_REPROD00001.asd,B1,CD202,irrigado,20170223,2017-02-23,tarde
212,B1_CD202_IRRIG_REPROD00002.asd,B1,CD202,irrigado,20170223,2017-02-23,tarde
213,B1_CD202_IRRIG_REPROD00003.asd,B1,CD202,irrigado,20170223,2017-02-23,tarde
214,B1_CD202_IRRIG_REPROD00004.asd,B1,CD202,irrigado,20170223,2017-02-23,tarde
215,B1_CD202_IRRIG_REPROD00005.asd,B1,CD202,irrigado,20170223,2017-02-23,tarde
216,B1_CD202_IRRIG_REPROD00006.asd,B1,CD202,irrigado,20170223,2017-02-23,tarde
217,B1_CD202_IRRIG_REPROD00007.asd,B1,CD202,irrigado,20170223,2017-02-23,tarde
218,B1_CD202_NIRRIG_REPROD00000.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,tarde
219,B1_CD202_NIRRIG_REPROD00001.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,tarde
220,B1_CD202_NIRRIG_REPROD00002.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,tarde
221,B1_CD202_NIRRIG_REPROD00003.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,tarde
222,B1_CD202_NIRRIG_REPROD00004.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,tarde
223,B1_CD202_NIRRIG_REPROD00005.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,tarde
224,B1_CD202_NIRRIG_REPROD00006.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,tarde
225,B1_CD202_NIRRIG_REPROD00007.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,tarde
226,B1_EMB48_IRRIG_REPROD00000.asd,B1,EMB48,irrigado,20170223,2017-02-23,tarde
227,B1_EMB48_IRRIG_REPROD00001.asd,B1,EMB48,irrigado,20170223,2017-02-23,tarde
228,B1_EMB48_IRRIG_REPROD00002.asd,B1,EMB48,irrigado,20170223,2017-02-23,tarde
229,B1_EMB48_IRRIG_REPROD00003.asd,B1,EMB48,irrigado,20170223,2017-02-23,tarde
230,B1_EMB48_IRRIG_REPROD00004.asd,B1,EMB48,irrigado,20170223,2017-02-23,tarde
231,B1_EMB48_IRRIG_REPROD00005.asd,B1,EMB48,irrigado,20170223,2017-02-23,tarde
232,B1_EMB48_IRRIG_REPROD00006.asd,B1,EMB48,irrigado,20170223,2017-02-23,tarde
233,B1_EMB48_IRRIG_REPROD00007.asd,B1,EMB48,irrigado,20170223,2017-02-23,tarde
234,B1_EMB48_NIRRIG_REPROD00000.asd,B1,EMB48,nao_irrigado,20170223,2017-02-23,tarde
235,B1_EMB48_NIRRIG_REPROD00001.asd,B1,EMB48,nao_irrigado,20170223,2017-02-23,tarde
236,B1_EMB48_NIRRIG_REPROD00002.asd,B1,EMB48,nao_irrigado,20170223,2017-02-23,tarde
237,B1_EMB48_NIRRIG_REPROD00003.asd,B1,EMB48,nao_irrigado,20170223,2017-02-23,tarde
238,B1_EMB48_NIRRIG_REPROD00004.asd,B1,EMB48,nao_irrigado,20170223,2017-02-23,tarde
239,B1_EMB48_NIRRIG_REPROD00005.asd,B1,EMB48,nao_irrigado,20170223,2017-02-23,tarde
240,B1_EMB48_NIRRIG_REPROD00006.asd,B1,EMB48,nao_irrigado,20170223,2017-02-23,tarde
241,B1_EMB48_NIRRIG_REPROD00007.asd,B1,EMB48,nao_irrigado,20170223,2017-02-23,tarde
