dia,banda,comprimento_onda_nm,status,ranking
dia2,band_812,812,Rejeitado,1669
dia2,band_813,813,Rejeitado,1171
dia2,band_814,814,Rejeitado,1669
dia2,band_815,815,Rejeitado,935
dia2,band_816,816,Rejeitado,1171
dia2,band_817,817,Rejeitado,935
dia2,band_818,818,Rejeitado,1171
dia2,band_819,819,Rejeitado,1171
dia2,band_820,820,Rejeitado,1669
dia2,band_821,821,Rejeitado,1669
dia2,band_822,822,Rejeitado,1171
dia2,band_823,823,Rejeitado,785
dia2,band_824,824,Rejeitado,1394
dia2,band_825,825,Rejeitado,1669
dia2,band_826,826,Rejeitado,1669
dia2,band_827,827,Rejeitado,1394
dia2,band_828,828,Rejeitado,785
dia2,band_829,829,Rejeitado,1669
dia2,band_830,830,Rejeitado,632
dia2,band_831,831,Rejeitado,1171
dia2,band_832,832,Rejeitado,1669
dia2,band_833,833,Rejeitado,785
dia2,band_834,834,Rejeitado,1171
dia2,band_835,835,Rejeitado,1669
dia2,band_836,836,Rejeitado,1669
dia2,band_837,837,Rejeitado,935
dia2,band_838,838,Rejeitado,1669
dia2,band_839,839,Rejeitado,1171
dia2,band_840,840,Rejeitado,1669
dia2,band_841,841,Rejeitado,1669
dia2,band_842,842,Rejeitado,785
dia2,band_843,843,Rejeitado,1669
dia2,band_844,844,Rejeitado,1669
dia2,band_845,845,Rejeitado,1171
dia2,band_846,846,Rejeitado,1669
dia2,band_847,847,Rejeitado,785
dia2,band_848,848,Rejeitado,785
dia2,band_849,849,Rejeitado,1669
dia2,band_850,850,Rejeitado,1669
dia2,band_851,851,Rejeitado,1669
dia2,band_852,852,Rejeitado,1669
dia2,band_853,853,Rejeitado,1394
dia2,band_854,854,Rejeitado,1669
dia2,band_855,855,Rejeitado,1669
dia2,band_856,856,Rejeitado,1171
dia2,band_857,857,Rejeitado,785
dia2,band_858,858,Rejeitado,1171
dia2,band_859,859,Rejeitado,632
dia2,band_860,860,Rejeitado,536
dia2,band_861,861,Rejeitado,785
dia2,band_862,862,Rejeitado,536
dia2,band_863,863,Rejeitado,1669
dia2,band_864,864,Rejeitado,1669
dia2,band_865,865,Rejeitado,935
dia2,band_866,866,Rejeitado,785
dia2,band_867,867,Rejeitado,1669
dia2,band_868,868,Rejeitado,1669
dia2,band_869,869,Rejeitado,785
dia2,band_870,870,Rejeitado,280
dia2,band_871,871,Rejeitado,1669
dia2,band_872,872,Rejeitado,536
dia2,band_873,873,Rejeitado,1171
dia2,band_874,874,Rejeitado,1669
dia2,band_875,875,Rejeitado,1669
dia2,band_876,876,Rejeitado,1669
dia2,band_877,877,Rejeitado,1669
dia2,band_878,878,Rejeitado,1669
dia2,band_879,879,Rejeitado,1669
dia2,band_880,880,Rejeitado,1171
dia2,band_881,881,Rejeitado,1669
dia2,band_882,882,Rejeitado,1669
dia2,band_883,883,Rejeitado,1669
dia2,band_884,884,Rejeitado,1171
dia2,band_885,885,Rejeitado,1669
dia2,band_886,886,Rejeitado,1669
dia2,band_887,887,Rejeitado,1669
dia2,band_888,888,Rejeitado,1669
dia2,band_889,889,Rejeitado,1669
dia2,band_890,890,Rejeitado,1171
dia2,band_891,891,Rejeitado,1171
dia2,band_892,892,Rejeitado,632
dia2,band_893,893,Rejeitado,1394
dia2,band_894,894,Rejeitado,1171
dia2,band_895,895,Rejeitado,935
dia2,band_896,896,Rejeitado,1171
dia2,band_897,897,Rejeitado,1171
dia2,band_898,898,Rejeitado,1171
dia2,band_899,899,Rejeitado,411
dia2,band_900,900,Rejeitado,1669
dia2,band_901,901,Rejeitado,1394
dia2,band_902,902,Rejeitado,1171
dia2,band_903,903,Rejeitado,1171
dia2,band_904,904,Rejeitado,1669
dia2,band_905,905,Rejeitado,1669
dia2,band_906,906,Rejeitado,1171
dia2,band_907,907,Rejeitado,1171
dia2,band_908,908,Rejeitado,785
dia2,band_909,909,Rejeitado,1669
dia2,band_910,910,Rejeitado,1394
dia2,band_911,911,Rejeitado,536
dia2,band_912,912,Rejeitado,1669
dia2,band_913,913,Rejeitado,1171
dia2,band_914,914,Rejeitado,632
dia2,band_915,915,Rejeitado,1669
dia2,band_916,916,Rejeitado,785
dia2,band_917,917,Rejeitado,1171
dia2,band_918,918,Rejeitado,1669
dia2,band_919,919,Rejeitado,1171
dia2,band_920,920,Rejeitado,1171
dia2,band_921,921,Rejeitado,1171
dia2,band_922,922,Rejeitado,1669
dia2,band_923,923,Rejeitado,1394
dia2,band_924,924,Rejeitado,1171
dia2,band_925,925,Rejeitado,1171
dia2,band_926,926,Rejeitado,785
dia2,band_927,927,Rejeitado,935
dia2,band_928,928,Rejeitado,1669
dia2,band_929,929,Rejeitado,1669
dia2,band_930,930,Rejeitado,1171
dia2,band_931,931,Rejeitado,1669
dia2,band_932,932,Rejeitado,1171
dia2,band_933,933,Rejeitado,1394
dia2,band_934,934,Rejeitado,1669
dia2,band_935,935,Rejeitado,1669
dia2,band_936,936,Rejeitado,1394
dia2,band_937,937,Rejeitado,1669
dia2,band_938,938,Rejeitado,935
dia2,band_939,939,Rejeitado,1669
dia2,band_940,940,Rejeitado,1171
dia2,band_941,941,Rejeitado,1394
dia2,band_942,942,Rejeitado,1171
dia2,band_943,943,Rejeitado,1669
dia2,band_944,944,Rejeitado,1669
dia2,band_945,945,Rejeitado,1171
