condicao,banda,comprimento_onda_nm,media_reflectancia,desvio_padrao,n
IRR,band_1504,1504,0.2782462411410932,0.013857878432536672,72
IRR,band_1505,1505,0.2794925796240872,0.013902614520768797,72
IRR,band_1506,1506,0.28072997968705793,0.013946810655362003,72
IRR,band_1507,1507,0.28196009201490324,0.013990897024354553,72
IRR,band_1508,1508,0.28318548580110686,0.01403521993687674,72
IRR,band_1509,1509,0.28440257079403175,0.01407975221134289,72
IRR,band_1510,1510,0.28561143926692084,0.014124299868709977,72
IRR,band_1511,1511,0.28681168189933076,0.014168481826085468,72
IRR,band_1512,1512,0.2879997340301937,0.01421195712619137,72
IRR,band_1513,1513,0.28917808932461714,0.014254991363847037,72
IRR,band_1514,1514,0.2903476420971316,0.014297970085023617,72
IRR,band_1515,1515,0.29150754140506563,0.014340598767219461,72
IRR,band_1516,1516,0.2926597032670847,0.014382997713564535,72
IRR,band_1517,1517,0.293802540835658,0.014425576660813818,72
IRR,band_1518,1518,0.2949343586668183,0.014468047174829923,72
IRR,band_1519,1519,0.29605515030433077,0.014510148880332127,72
IRR,band_1520,1520,0.2971638924830925,0.01455169441680739,72
IRR,band_1521,1521,0.2982607150145716,0.01459242476804995,72
IRR,band_1522,1522,0.29934594847856544,0.014632555259151464,72
IRR,band_1523,1523,0.3004205832855503,0.01467258598594269,72
IRR,band_1524,1524,0.30148453677521503,0.014712680058587826,72
IRR,band_1525,1525,0.3025373065379169,0.014752652533799308,72
IRR,band_1526,1526,0.30358008453446517,0.014792366942813419,72
IRR,band_1527,1527,0.3046109479093745,0.014831891107092064,72
IRR,band_1528,1528,0.3056285510214678,0.014871152623332365,72
IRR,band_1529,1529,0.30663431484405224,0.014909793560548446,72
IRR,band_1530,1530,0.3076269277343624,0.014947916135351886,72
IRR,band_1531,1531,0.3086080932655807,0.01498567741361556,72
IRR,band_1532,1532,0.3095804500899674,0.015022930596894373,72
IRR,band_1533,1533,0.3105419349732207,0.015060068154403805,72
IRR,band_1534,1534,0.31149254532653936,0.015097232665088918,72
IRR,band_1535,1535,0.3124317285899085,0.015134171669270651,72
IRR,band_1536,1536,0.3133573546855415,0.015171191363303818,72
IRR,band_1537,1537,0.3142718613865282,0.015208452367782387,72
