feature,tipo,feature_legenda,dia,condicao,media,desvio_padrao,n
band_388,banda,388 nm,dia9,NIRR,0.06673032731352994,0.004231240179436774,12
band_389,banda,389 nm,dia2,IRR,0.07920296542878759,0.003431855248606167,12
band_389,banda,389 nm,dia3,IRR,0.08993992824339718,0.009012575877369245,12
band_389,banda,389 nm,dia4,IRR,0.11160795256231663,0.015621974805099591,12
band_389,banda,389 nm,dia5,IRR,0.11148398933613485,0.01864626538417829,12
band_389,banda,389 nm,dia6,IRR,0.11645344876199853,0.007858731502310057,12
band_389,banda,389 nm,dia9,IRR,0.08971274372376813,0.012368776217683225,12
band_389,banda,389 nm,dia2,NIRR,0.07432595538543053,0.0030965892397619315,12
band_389,banda,389 nm,dia3,NIRR,0.0698900527838386,0.0025629568068387685,12
band_389,banda,389 nm,dia4,NIRR,0.07045173808663804,0.006627088167080879,12
band_389,banda,389 nm,dia5,NIRR,0.06864445305959037,0.005113583160774734,12
band_389,banda,389 nm,dia6,NIRR,0.06913877592187578,0.0032915793318649225,12
band_389,banda,389 nm,dia9,NIRR,0.06651086366266139,0.004232456334671872,12
band_390,banda,390 nm,dia2,IRR,0.07869164628107768,0.003365102459779955,12
band_390,banda,390 nm,dia3,IRR,0.08935170052677238,0.008954347385843536,12
band_390,banda,390 nm,dia4,IRR,0.11065884067989329,0.015484967041823694,12
band_390,banda,390 nm,dia5,IRR,0.11057284388154577,0.01836988710247469,12
band_390,banda,390 nm,dia6,IRR,0.11552891626582105,0.007718167935636478,12
band_390,banda,390 nm,dia9,IRR,0.08914686484890282,0.012126474081735013,12
band_390,banda,390 nm,dia2,NIRR,0.07390146911998136,0.003056567877482976,12
band_390,banda,390 nm,dia3,NIRR,0.06953777271522543,0.0025411902674287393,12
band_390,banda,390 nm,dia4,NIRR,0.07000974496125038,0.006620565885380375,12
band_390,banda,390 nm,dia5,NIRR,0.0682364518766392,0.00507471633426582,12
band_390,banda,390 nm,dia6,NIRR,0.06868419191066817,0.003244046046772419,12
band_390,banda,390 nm,dia9,NIRR,0.06621023187284682,0.004281283632729203,12
band_391,banda,391 nm,dia2,IRR,0.07825671428182505,0.003310693593432748,12
band_391,banda,391 nm,dia3,IRR,0.08874324999374046,0.008872966518806948,12
band_391,banda,391 nm,dia4,IRR,0.10977714696396483,0.015357673760265771,12
band_391,banda,391 nm,dia5,IRR,0.10968679288520446,0.01814582141239938,12
band_391,banda,391 nm,dia6,IRR,0.11465051943195319,0.007579189136481743,12
band_391,banda,391 nm,dia9,IRR,0.08845495497907886,0.011914743438422493,12
band_391,banda,391 nm,dia2,NIRR,0.07353949732864205,0.0030057075478068323,12
band_391,banda,391 nm,dia3,NIRR,0.06919698339213912,0.0025126821842150994,12
band_391,banda,391 nm,dia4,NIRR,0.06956674417738361,0.006631510652387156,12
band_391,banda,391 nm,dia5,NIRR,0.06780205791392557,0.005000129672373439,12
band_391,banda,391 nm,dia6,NIRR,0.06825352415669275,0.003268322369418732,12
band_391,banda,391 nm,dia9,NIRR,0.06578997108530815,0.004324643048676222,12
band_392,banda,392 nm,dia2,IRR,0.077831780694998,0.0032588136344813157,12
band_392,banda,392 nm,dia3,IRR,0.08810690803163511,0.008787221125693625,12
band_392,banda,392 nm,dia4,IRR,0.10896643523597398,0.015223816085569233,12
band_392,banda,392 nm,dia5,IRR,0.10882586154822405,0.01799892234870876,12
band_392,banda,392 nm,dia6,IRR,0.1138576695035236,0.007487714521449123,12
band_392,banda,392 nm,dia9,IRR,0.08777677462066753,0.011739614322850674,12
band_392,banda,392 nm,dia2,NIRR,0.07324752701176562,0.003006590137196088,12
band_392,banda,392 nm,dia3,NIRR,0.06881872254696705,0.0024663169204652657,12
band_392,banda,392 nm,dia4,NIRR,0.06921360181383521,0.006621804661478473,12
band_392,banda,392 nm,dia5,NIRR,0.06737419736780081,0.004935108845369121,12
band_392,banda,392 nm,dia6,NIRR,0.0678649965728881,0.00328929624821405,12
band_392,banda,392 nm,dia9,NIRR,0.06526688911458427,0.004191627214542419,12
