dia,condicao,banda,comprimento_onda_nm,media_reflectancia,desvio_padrao,n
dia2,IRR,band_508,508,0.05953485267360938,0.0028443408009752296,12
dia2,IRR,band_509,509,0.06046622513231593,0.0029693337202997714,12
dia2,IRR,band_510,510,0.061521915057119625,0.0031162528206410307,12
dia2,IRR,band_511,511,0.06271512989646054,0.003284865672531631,12
dia2,IRR,band_512,512,0.06405670781020574,0.003471350951312973,12
dia2,IRR,band_513,513,0.06554525490033125,0.003676834845554953,12
dia2,IRR,band_514,514,0.0671894008672998,0.003901294074407076,12
dia2,IRR,band_515,515,0.06899357624990464,0.004143681298717463,12
dia2,IRR,band_516,516,0.07095377623676714,0.004403327489666628,12
dia2,IRR,band_517,517,0.07306219956332545,0.004679279649137383,12
dia2,IRR,band_518,518,0.07530409143486451,0.0049657146366692845,12
dia2,IRR,band_519,519,0.07766042400186156,0.005259613079812545,12
dia2,IRR,band_520,520,0.08011017353718808,0.005561232942075168,12
dia2,IRR,band_521,521,0.08262060487746736,0.005864763001556169,12
dia2,IRR,band_522,522,0.08515977742010061,0.006162429910468328,12
dia2,IRR,band_523,523,0.08769636525398844,0.006448773402334542,12
dia2,IRR,band_524,524,0.09019924274854269,0.006727974170522102,12
dia2,IRR,band_525,525,0.09263403115629247,0.006990727152573877,12
dia2,IRR,band_526,526,0.09496716509370479,0.007233605611963328,12
dia2,IRR,band_527,527,0.09717047090367904,0.007460763414954832,12
dia2,IRR,band_528,528,0.09922628188214412,0.0076692355315165365,12
dia2,IRR,band_529,529,0.10112205779205458,0.007859741459049262,12
dia2,IRR,band_530,530,0.10285021205596577,0.008032591417246455,12
dia2,IRR,band_531,531,0.1044073806385853,0.008182942184913448,12
dia2,IRR,band_532,532,0.10579577090733662,0.008315346736532742,12
dia2,IRR,band_533,533,0.107022009823032,0.008433697713275724,12
dia2,IRR,band_534,534,0.10809431948797837,0.008540855437186112,12
dia2,IRR,band_535,535,0.10902183375168423,0.008634196023445232,12
dia2,IRR,band_536,536,0.1098141816559239,0.008715972212626884,12
dia2,IRR,band_537,537,0.11048595375816106,0.00878995815976859,12
dia2,IRR,band_538,538,0.11105723776934455,0.008856809543224445,12
dia2,IRR,band_539,539,0.11154872414513627,0.008915148394044631,12
dia2,IRR,band_540,540,0.11198074375830867,0.008964911024123765,12
dia2,IRR,band_541,541,0.11237157740203337,0.009008616515083709,12
dia2,IRR,band_542,542,0.11273358118962233,0.009053405501276212,12
dia2,IRR,band_543,543,0.11307974649331239,0.009096825676792836,12
dia2,IRR,band_544,544,0.11341701284119432,0.009138479655939388,12
dia2,IRR,band_545,545,0.11374350661277573,0.009181458218844685,12
dia2,IRR,band_546,546,0.1140490227284794,0.009222913690703423,12
dia2,IRR,band_547,547,0.1143232657079853,0.009262362998165624,12
dia2,IRR,band_548,548,0.11455282016332845,0.009299238569215043,12
dia2,IRR,band_549,549,0.11471978528317787,0.009330867628911669,12
dia2,IRR,band_550,550,0.11480449411424086,0.009353535422722374,12
dia2,IRR,band_551,551,0.1147849171173418,0.009367673595794887,12
dia2,IRR,band_552,552,0.11463911649879421,0.009373707556050187,12
dia2,IRR,band_553,553,0.11434819174261446,0.009367040986811888,12
dia2,IRR,band_554,554,0.11389867403327335,0.009347632544302552,12
dia2,IRR,band_555,555,0.11328052947977406,0.00931688275721297,12
dia2,IRR,band_556,556,0.11248904431268436,0.009274949349951449,12
dia2,IRR,band_557,557,0.11153175790152164,0.00922099926190056,12
dia2,IRR,band_558,558,0.11041785940789656,0.009156234615517417,12
dia2,IRR,band_559,559,0.10916206110888166,0.009081686701261025,12
dia2,IRR,band_560,560,0.10778737777889869,0.008996674857357459,12
dia2,IRR,band_561,561,0.1063108306577577,0.008901213952377222,12
dia2,IRR,band_562,562,0.10474307162678798,0.008797002047268816,12
dia2,IRR,band_563,563,0.10309154493909811,0.00868421816276422,12
dia2,IRR,band_564,564,0.10136658754039603,0.008562143934088058,12
dia2,IRR,band_565,565,0.09957689149815357,0.00843071225248694,12
dia2,IRR,band_566,566,0.09773344451813441,0.008290083404788328,12
dia2,IRR,band_567,567,0.0958527265944965,0.008139914798286583,12
dia2,IRR,band_568,568,0.09395257209043895,0.00798374065017397,12
dia2,IRR,band_569,569,0.09206029296108935,0.007823286852037509,12
dia2,IRR,band_570,570,0.09020614967463358,0.007659269232020353,12
dia2,IRR,band_571,571,0.08841046448820324,0.007492631225095652,12
dia2,IRR,band_572,572,0.08669047794669421,0.007328117222568962,12
dia2,IRR,band_573,573,0.08505907000616493,0.007168447700723755,12
dia2,IRR,band_574,574,0.08352450554442346,0.007012778712797234,12
dia2,IRR,band_575,575,0.08208695012938894,0.0068641578932325245,12
dia2,IRR,band_576,576,0.08074468337285058,0.0067246439637635306,12
dia2,IRR,band_577,577,0.0794923588116187,0.0065943437093661135,12
dia2,IRR,band_578,578,0.07832162685199558,0.006470896067511201,12
dia2,IRR,band_579,579,0.07722745520615266,0.006352542349437434,12
dia2,IRR,band_580,580,0.07620323201961542,0.006239350266591744,12
dia2,IRR,band_581,581,0.07524237009372968,0.0061323603007318265,12
dia2,IRR,band_582,582,0.07434525373403272,0.006029817082577613,12
dia2,IRR,band_583,583,0.07350761131265672,0.005932022741363774,12
dia2,IRR,band_584,584,0.07272543919040027,0.005839746968028963,12
dia2,IRR,band_585,585,0.07199610002360014,0.005754132706919784,12
dia2,IRR,band_586,586,0.07131963858038183,0.005674471743031434,12
dia2,IRR,band_587,587,0.07069452645947354,0.005600007085779703,12
dia2,IRR,band_588,588,0.070118415183086,0.005530891557881247,12
dia2,IRR,band_589,589,0.06959108034790223,0.00546939235894919,12
dia2,IRR,band_590,590,0.06911176646688745,0.005414878309578196,12
dia2,IRR,band_591,591,0.06867816303374173,0.005366899587477346,12
dia2,IRR,band_592,592,0.06828677397616086,0.005325001050958758,12
dia2,IRR,band_593,593,0.06793073471927387,0.005288931990557039,12
dia2,IRR,band_594,594,0.0676032298762515,0.0052566879875736985,12
dia2,IRR,band_595,595,0.0672965028784999,0.005225360688663519,12
dia2,IRR,band_596,596,0.06700088513721796,0.005192834122896363,12
dia2,IRR,band_597,597,0.06670722272603595,0.005158013545661705,12
dia2,IRR,band_598,598,0.06640719845678972,0.00512136817129816,12
dia2,IRR,band_599,599,0.06609297602796457,0.005083210237885473,12
dia2,IRR,band_600,600,0.06575666086618841,0.005041336016695621,12
dia2,IRR,band_601,601,0.06539186225434433,0.004995749633038268,12
dia2,IRR,band_602,602,0.0649944022806443,0.00494713047835659,12
dia2,IRR,band_603,603,0.06456336441965928,0.004894841157852059,12
dia2,IRR,band_604,604,0.06409846796549676,0.004836271829301231,12
dia2,IRR,band_605,605,0.06360190842332512,0.0047718289528563265,12
dia2,IRR,band_606,606,0.06307739900571066,0.004702979548699249,12
dia2,IRR,band_607,607,0.06252962424194906,0.0046308725492287695,12
dia2,IRR,band_608,608,0.06196579014184649,0.004555548309350302,12
dia2,IRR,band_609,609,0.061393224404341064,0.0044774408387267765,12
dia2,IRR,band_610,610,0.06081876604324014,0.004397143505584273,12
dia2,IRR,band_611,611,0.06025011874315969,0.0043163608466467406,12
dia2,IRR,band_612,612,0.05969216729949026,0.0042358052696283835,12
dia2,IRR,band_613,613,0.05914975624215602,0.004156049833334668,12
dia2,IRR,band_614,614,0.05862927802075793,0.004077318688593129,12
dia2,IRR,band_615,615,0.058137135646235176,0.004002817382025955,12
