dia,comprimento_onda_nm,ratio_media,ratio_std,n_pares
dia3,1808,1.0968109279616922,0.05835550119443189,12
dia3,1809,1.0967533253997084,0.05836246840515027,12
dia3,1810,1.0967006351007436,0.05837012253013064,12
dia3,1811,1.0966540643229215,0.05838179095405516,12
dia3,1812,1.0966066666914096,0.05839222254019707,12
dia3,1813,1.096556069970833,0.058400265164830344,12
dia3,1814,1.0965038686849227,0.05840731516239163,12
dia3,1815,1.0964506589259257,0.05841384030264038,12
dia3,1816,1.0963991015286305,0.058422734920785674,12
dia3,1817,1.0963511502913572,0.058436475462052564,12
dia3,1818,1.0963101333781295,0.05845768111272772,12
dia3,1819,1.096275582097298,0.058485653064834366,12
dia3,1820,1.0962471458158627,0.05851912642666695,12
dia3,1821,1.0962244524593683,0.05855728065858472,12
dia3,1822,1.09620462514115,0.05859669406527721,12
dia3,1823,1.0961886402560976,0.05863883001161684,12
dia3,1824,1.0961779034564063,0.05868510853506301,12
dia3,1825,1.096163989116712,0.05873387033213819,12
dia3,1826,1.096189150209675,0.058701094760270744,12
dia3,1827,1.0961538403138702,0.0587662873805476,12
dia3,1828,1.09607340822639,0.058909832052119776,12
dia3,1829,1.095969834463474,0.05911583954330839,12
dia3,1830,1.0958630268636054,0.05936922144561152,12
dia3,1831,1.095767588495727,0.05965127430730099,12
dia3,1832,1.0956987749849112,0.0599448991365024,12
dia3,1833,1.0956680660232694,0.06022446027944592,12
dia3,1834,1.0956826983180659,0.060459014850645094,12
dia3,1835,1.0957463607826627,0.0606165053082654,12
dia3,1836,1.0958727111827982,0.06066096286189153,12
dia3,1837,1.0959661139362218,0.06081247886139219,12
dia3,1838,1.0960760899428434,0.06097608574323655,12
dia3,1839,1.0962092162908226,0.06115196286129337,12
dia3,1840,1.0963663818489364,0.06134248471371369,12
dia3,1841,1.096544876448599,0.06154920904940177,12
dia3,1842,1.0967441252015881,0.061772515441730375,12
dia3,1843,1.09696472686926,0.06201338575429687,12
dia3,1844,1.0972064541910973,0.062273959659299855,12
dia3,1845,1.0974700430269244,0.06255419181236287,12
dia3,1846,1.097759579461955,0.06285409123898975,12
dia3,1847,1.0980757555177592,0.06317724242042264,12
dia3,1848,1.0984182459340561,0.06352519883316926,12
dia3,1849,1.0987894061348342,0.06390104055123169,12
dia3,1850,1.0991919703494066,0.0643100265341861,12
dia3,1851,1.099625977244743,0.06475779140726348,12
dia3,1852,1.1000959798644228,0.06524800088792936,12
dia3,1853,1.1006069319871732,0.06578653516158606,12
dia3,1854,1.1011595427722198,0.06637489503266206,12
dia3,1855,1.101754927647355,0.06701280858611713,12
dia3,1856,1.1023986535837154,0.06770199790240684,12
dia3,1857,1.103091639249668,0.06844360034787363,12
dia3,1858,1.103834969824488,0.06923716883258711,12
dia3,1859,1.1046343713318192,0.07008871098677352,12
dia3,1860,1.1054920591315578,0.07100410762587081,12
dia3,1861,1.106411520063727,0.07199275590962809,12
dia3,1862,1.1073957721055885,0.07306286012554448,12
dia3,1863,1.1084532875104325,0.0742234132608858,12
dia3,1864,1.109584983502673,0.07547990232359632,12
dia3,1865,1.1107992337099577,0.07684440918321912,12
dia3,1866,1.1121005793604544,0.0783241367938606,12
dia3,1867,1.1134931564909238,0.0799269227087208,12
dia3,1868,1.1149839746496755,0.08166345099495062,12
dia3,1869,1.1165720891318736,0.08354253348481959,12
dia3,1870,1.1182585453300191,0.08557288693764777,12
dia3,1871,1.1200409267168383,0.08775443924493176,12
dia3,1872,1.1219199772985562,0.090096370903617,12
dia3,1873,1.1238908787660506,0.09259427184201637,12
dia3,1874,1.1259515663238595,0.09524684364076828,12
dia3,1875,1.1281024697593032,0.09805289436583012,12
dia3,1876,1.1303312173190958,0.10100371041649885,12
dia3,1877,1.1326365304551416,0.10409815414063545,12
dia3,1878,1.1350158511332327,0.10733330306457337,12
dia3,1879,1.1374633079748817,0.11070768153701613,12
dia3,1880,1.1399744927225128,0.11421739334853509,12
dia3,1881,1.1425479284980364,0.11785875379028052,12
dia3,1882,1.14518244796412,0.12163214601127892,12
dia3,1883,1.1478619371757597,0.12552255806812987,12
dia3,1884,1.1505880748432125,0.12952848086380153,12
dia3,1885,1.1533450331982953,0.1336271899114718,12
dia3,1886,1.1561147710078863,0.1378052756005369,12
dia3,1887,1.1588831968532334,0.14204175268096422,12
dia3,1888,1.1616311099047527,0.14630702932574524,12
dia3,1889,1.1643512759276626,0.15058826658455568,12
dia3,1890,1.1670023636273212,0.1548315871732567,12
dia3,1891,1.1695869549466926,0.15902818342577454,12
dia3,1892,1.172075248373071,0.16313026180150664,12
dia3,1893,1.1744484769729977,0.1671122154730136,12
dia3,1894,1.176686216576455,0.170933152769402,12
dia3,1895,1.1787705652008407,0.17456217466096596,12
dia3,1896,1.1806982028574786,0.1779861435203375,12
dia3,1897,1.1824592834541885,0.1811782902293916,12
dia3,1898,1.1840746096859316,0.1841586534158145,12
dia3,1899,1.1855477741717604,0.18690155371649222,12
dia3,1900,1.1868848420870592,0.18940175883335222,12
dia3,1901,1.1881169068497646,0.19167519278337058,12
dia3,1902,1.1892487278078416,0.19371930474075152,12
dia3,1903,1.1902948616233406,0.19552583692317127,12
dia3,1904,1.1912677598731765,0.19710325227000638,12
dia3,1905,1.1921810658217482,0.19847365029970282,12
dia3,1906,1.193060791315295,0.19965569211069664,12
dia3,1907,1.1939290998630698,0.20069018073241826,12
dia3,1908,1.194812630524409,0.20160902088688373,12
dia3,1909,1.195708652292561,0.20239755020905947,12
dia3,1910,1.1966471021126337,0.20310281934889793,12
dia3,1911,1.197622720518362,0.2037257543112461,12
dia3,1912,1.198622950488853,0.20426790658469374,12
dia3,1913,1.1996561626438194,0.20474284651780023,12
dia3,1914,1.2007174805807168,0.2051619200124066,12
dia3,1915,1.2017978893379324,0.2055318759663606,12
dia3,1916,1.2029013220688676,0.20585663558060516,12
dia3,1917,1.2040368542802466,0.20615247226871078,12
dia3,1918,1.2051980761952423,0.20641545778993955,12
dia3,1919,1.2063905830974326,0.2066602514908231,12
dia3,1920,1.2076090629119474,0.20688091858873786,12
dia3,1921,1.2088459171383665,0.20707459808737835,12
dia3,1922,1.2100897504113886,0.20723525119066824,12
dia3,1923,1.211327099044146,0.20735612558134195,12
