subset_type,subset_name,subset_label,rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
turno_genotipo,manha_CD202,manha / CD202,1,2149,irrigado,1.4902737561,0.0114193652,0.0114193652,6.9215463115
turno_genotipo,manha_CD202,manha / CD202,2,2150,irrigado,1.4622316354,0.0114409616,0.0114409616,6.7569469183
turno_genotipo,manha_CD202,manha / CD202,3,2170,irrigado,1.5129594006,0.0106340659,0.0106340659,6.7164845926
turno_genotipo,manha_CD202,manha / CD202,4,2148,irrigado,1.4982480930,0.0107269027,0.0107269027,6.6660363092
turno_genotipo,manha_CD202,manha / CD202,5,2151,irrigado,1.4386108148,0.0114181367,0.0114181367,6.6002320496
turno_genotipo,manha_CD202,manha / CD202,6,2169,irrigado,1.5394527221,0.0095796313,0.0095796313,6.4165133429
turno_genotipo,manha_CD202,manha / CD202,7,2152,irrigado,1.4165888847,0.0112820538,0.0112820538,6.4035557126
turno_genotipo,manha_CD202,manha / CD202,8,890,irrigado,1.2012280858,0.0138281207,0.0138281207,6.1879046202
turno_genotipo,manha_CD202,manha / CD202,9,2171,irrigado,1.4392738490,0.0104214668,0.0104214668,6.1653263351
turno_genotipo,manha_CD202,manha / CD202,10,2168,irrigado,1.5420715553,0.0084942981,0.0084942981,5.9546958372
turno_genotipo,manha_CD202,manha / CD202,11,2153,irrigado,1.3907871922,0.0103664532,0.0103664532,5.8400417290
turno_genotipo,manha_CD202,manha / CD202,12,2147,irrigado,1.4727716699,0.0090729513,0.0090729513,5.7793062333
turno_genotipo,manha_CD202,manha / CD202,13,422,nao_irrigado,1.4089657865,-0.0099698267,0.0099698267,5.7782021553
turno_genotipo,manha_CD202,manha / CD202,14,970,nao_irrigado,1.2595922405,-0.0120554003,0.0120554003,5.7694208365
turno_genotipo,manha_CD202,manha / CD202,15,464,nao_irrigado,1.2573306335,-0.0112413908,0.0112413908,5.3968160757
turno_genotipo,manha_CD202,manha / CD202,16,2167,irrigado,1.5257724797,0.0072379051,0.0072379051,5.3000678065
turno_genotipo,manha_CD202,manha / CD202,17,423,nao_irrigado,1.3968122685,-0.0090227221,0.0090227221,5.2855519828
turno_genotipo,manha_CD202,manha / CD202,18,889,irrigado,1.1261324174,0.0126385329,0.0126385329,5.1976379301
turno_genotipo,manha_CD202,manha / CD202,19,2172,irrigado,1.3536097577,0.0092310100,0.0092310100,5.1090579419
turno_genotipo,manha_CD202,manha / CD202,20,465,nao_irrigado,1.2729477669,-0.0103323729,0.0103323729,5.0933695311
turno_genotipo,manha_EMB48,manha / EMB48,1,383,nao_irrigado,1.7115496692,-0.0189935360,0.0189935360,10.1218253992
turno_genotipo,manha_EMB48,manha / EMB48,2,988,irrigado,1.2568064370,0.0189693799,0.0189693799,7.1864424404
turno_genotipo,manha_EMB48,manha / EMB48,3,382,nao_irrigado,1.5183839550,-0.0127181924,0.0127181924,6.7019566375
turno_genotipo,manha_EMB48,manha / EMB48,4,384,nao_irrigado,1.6101879772,-0.0104419215,0.0104419215,6.5033628650
turno_genotipo,manha_EMB48,manha / EMB48,5,408,nao_irrigado,1.3943789714,-0.0135322632,0.0135322632,6.1861368106
turno_genotipo,manha_EMB48,manha / EMB48,6,385,nao_irrigado,1.5049854408,-0.0105202120,0.0105202120,5.8533694294
turno_genotipo,manha_EMB48,manha / EMB48,7,388,nao_irrigado,1.3547119819,-0.0129608532,0.0129608532,5.7326283825
turno_genotipo,manha_EMB48,manha / EMB48,8,386,nao_irrigado,1.3870494844,-0.0113876989,0.0113876989,5.3951403535
turno_genotipo,manha_EMB48,manha / EMB48,9,389,nao_irrigado,1.3516862389,-0.0118858989,0.0118858989,5.3403163433
turno_genotipo,manha_EMB48,manha / EMB48,10,409,nao_irrigado,1.5032577658,-0.0089399485,0.0089399485,5.2941514038
turno_genotipo,manha_EMB48,manha / EMB48,11,2286,irrigado,1.0874072232,0.0165725818,0.0165725818,5.2647817862
turno_genotipo,manha_EMB48,manha / EMB48,12,669,nao_irrigado,1.5463766775,-0.0079838246,0.0079838246,5.2400695473
turno_genotipo,manha_EMB48,manha / EMB48,13,1276,irrigado,1.1589835555,0.0150766913,0.0150766913,5.2066569001
turno_genotipo,manha_EMB48,manha / EMB48,14,989,irrigado,1.1651634536,0.0149495556,0.0149495556,5.2023388294
turno_genotipo,manha_EMB48,manha / EMB48,15,670,nao_irrigado,1.4929096424,-0.0087587102,0.0087587102,5.1646839751
turno_genotipo,manha_EMB48,manha / EMB48,16,668,nao_irrigado,1.5668037509,-0.0072384005,0.0072384005,5.1130082151
turno_genotipo,manha_EMB48,manha / EMB48,17,407,nao_irrigado,1.2228014017,-0.0133129127,0.0133129127,5.0056795654
turno_genotipo,manha_EMB48,manha / EMB48,18,387,nao_irrigado,1.3477497517,-0.0109711839,0.0109711839,4.9977194932
