direction,start_wavelength,end_wavelength,n_bands,best_p,mean_p
irrigado,1817,1817,1,0.0001229511388042127,0.0001229511388042127
irrigado,1835,1835,1,9.865565189658788e-05,9.865565189658788e-05
irrigado,2103,2103,1,3.753750689857089e-05,3.753750689857089e-05
irrigado,2109,2109,1,4.6796530950794145e-06,4.6796530950794145e-06
irrigado,2115,2115,1,1.758925589356879e-07,1.758925589356879e-07
irrigado,2121,2121,1,1.9936620148128218e-08,1.9936620148128218e-08
irrigado,2127,2127,1,1.1346271195482685e-07,1.1346271195482685e-07
irrigado,2134,2134,1,6.763059446472279e-07,6.763059446472279e-07
irrigado,2141,2141,1,6.8564559792978185e-06,6.8564559792978185e-06
irrigado,2149,2149,1,1.5327245079413867e-06,1.5327245079413867e-06
irrigado,2157,2157,1,1.062207667745323e-05,1.062207667745323e-05
irrigado,2163,2163,1,2.6079429215787435e-06,2.6079429215787435e-06
irrigado,2168,2168,1,7.247186020243108e-07,7.247186020243108e-07
irrigado,2171,2171,1,4.773932691857694e-07,4.773932691857694e-07
irrigado,2174,2174,1,1.3140797886582716e-07,1.3140797886582716e-07
irrigado,2177,2177,1,1.0213278480687891e-06,1.0213278480687891e-06
irrigado,2182,2182,1,2.441788792386843e-06,2.441788792386843e-06
irrigado,2186,2186,1,7.894407298562599e-05,7.894407298562599e-05
nao_irrigado,456,456,1,0.00017018314136279774,0.00017018314136279774
nao_irrigado,458,458,1,0.00013711700035206627,0.00013711700035206627
nao_irrigado,472,473,2,0.00011639694344306909,0.00011639694344306909
nao_irrigado,475,475,1,8.348951637883397e-05,8.348951637883397e-05
nao_irrigado,477,477,1,0.000303956631358323,0.000303956631358323
nao_irrigado,479,479,1,1.7523697387050235e-06,1.7523697387050235e-06
nao_irrigado,481,481,1,0.00012985214401089077,0.00012985214401089077
nao_irrigado,483,483,1,1.9561768472244736e-05,1.9561768472244736e-05
nao_irrigado,487,487,1,1.2018489754660493e-05,1.2018489754660493e-05
nao_irrigado,490,490,1,1.52085033550361e-07,1.52085033550361e-07
nao_irrigado,494,494,1,1.758925589356879e-07,1.758925589356879e-07
nao_irrigado,500,500,1,0.0001894014750321085,0.0001894014750321085
nao_irrigado,1408,1408,1,7.894407298562599e-05,7.894407298562599e-05
nao_irrigado,1412,1412,1,7.273168327807288e-08,7.273168327807288e-08
nao_irrigado,1418,1418,1,1.6445415191184566e-10,1.6445415191184566e-10
nao_irrigado,1430,1430,1,6.211923275036763e-12,6.211923275036763e-12
nao_irrigado,1456,1456,1,5.527544589706572e-10,5.527544589706572e-10
nao_irrigado,1464,1464,1,1.758925589356879e-07,1.758925589356879e-07
nao_irrigado,1470,1470,1,8.814243583499868e-06,8.814243583499868e-06
nao_irrigado,1475,1475,1,0.00017955068991268693,0.00017955068991268693
nao_irrigado,1918,1918,1,6.763059446472279e-07,6.763059446472279e-07
nao_irrigado,1921,1921,1,1.959640137520609e-10,1.959640137520609e-10
nao_irrigado,1924,1924,1,6.211923275036763e-12,6.211923275036763e-12
nao_irrigado,1927,1927,1,3.4639592299869014e-09,3.4639592299869014e-09
nao_irrigado,2308,2308,1,0.00014476351296710522,0.00014476351296710522
nao_irrigado,2310,2310,1,5.0134201071718945e-05,5.0134201071718945e-05
nao_irrigado,2312,2312,1,7.894407298562599e-05,7.894407298562599e-05
