target,top_n_requested,n_features_after_pruning,variant,model,fold,inner_f1_macro,best_params,train_samples_real,train_samples_after_augmentation,test_samples
condicao,10,5,jitter,SVM (RBF),3,0.9163287760625209,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao,10,5,jitter,SVM (RBF),4,0.9305547268243415,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao,10,5,jitter,LDA,1,0.8183886272571488,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,10,5,jitter,LDA,2,0.833907394489013,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,10,5,jitter,LDA,3,0.8274075153458043,"{""model__shrinkage"": 0.05}",108,432,36
condicao,10,5,jitter,LDA,4,0.856185071971923,"{""model__shrinkage"": 0.05}",108,432,36
condicao,10,5,jitter,XGBoost,1,0.9380325814536341,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,10,5,jitter,XGBoost,2,0.9596217820345194,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,10,5,jitter,XGBoost,3,0.9379358571309035,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,10,5,jitter,XGBoost,4,0.9107247910064811,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,10,5,mixup,Random Forest,1,0.9082640938089418,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao,10,5,mixup,Random Forest,2,0.9495989136721402,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,10,5,mixup,Random Forest,3,0.8877083267743016,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,10,5,mixup,Random Forest,4,0.8488218390804597,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao,10,5,mixup,SVM (RBF),1,0.9182644110275688,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao,10,5,mixup,SVM (RBF),2,0.9796992481203007,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao,10,5,mixup,SVM (RBF),3,0.9077540634990597,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao,10,5,mixup,SVM (RBF),4,0.9102539749446422,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao,10,5,mixup,LDA,1,0.8274075153458043,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,10,5,mixup,LDA,2,0.8423405296644733,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,10,5,mixup,LDA,3,0.8368485709596012,"{""model__shrinkage"": 0.05}",108,432,36
condicao,10,5,mixup,LDA,4,0.8472628731930536,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,10,5,mixup,XGBoost,1,0.9266307893020221,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 240, ""model__reg_lambda"": 2.0, ""model__subsample"": 0.9}",108,432,36
