target,top_n_requested,n_features_after_pruning,variant,model,classe,classe_codigo,precision,recall,f1,support
condicao,20,6,mixup,XGBoost,NIRR,0,0.9583333333333334,0.9583333333333334,0.9583333333333334,72
condicao,20,6,mixup,XGBoost,IRR,1,0.9583333333333334,0.9583333333333334,0.9583333333333334,72
condicao_genotipo,5,5,baseline,Random Forest,IRR|BR16,0,0.5652173913043478,0.5416666666666666,0.5531914893617021,24
condicao_genotipo,5,5,baseline,Random Forest,IRR|CD202,1,0.3157894736842105,0.25,0.27906976744186046,24
condicao_genotipo,5,5,baseline,Random Forest,IRR|EMB48,2,0.5357142857142857,0.625,0.5769230769230769,24
condicao_genotipo,5,5,baseline,Random Forest,NIRR|BR16,3,0.7083333333333334,0.7083333333333334,0.7083333333333334,24
condicao_genotipo,5,5,baseline,Random Forest,NIRR|CD202,4,0.4642857142857143,0.5416666666666666,0.5,24
condicao_genotipo,5,5,baseline,Random Forest,NIRR|EMB48,5,0.5454545454545454,0.5,0.5217391304347826,24
condicao_genotipo,5,5,baseline,SVM (RBF),IRR|BR16,0,0.6,0.5,0.5454545454545454,24
condicao_genotipo,5,5,baseline,SVM (RBF),IRR|CD202,1,0.5,0.3333333333333333,0.4,24
condicao_genotipo,5,5,baseline,SVM (RBF),IRR|EMB48,2,0.5151515151515151,0.7083333333333334,0.5964912280701754,24
condicao_genotipo,5,5,baseline,SVM (RBF),NIRR|BR16,3,0.8,0.6666666666666666,0.7272727272727273,24
condicao_genotipo,5,5,baseline,SVM (RBF),NIRR|CD202,4,0.4878048780487805,0.8333333333333334,0.6153846153846154,24
condicao_genotipo,5,5,baseline,SVM (RBF),NIRR|EMB48,5,0.9285714285714286,0.5416666666666666,0.6842105263157895,24
condicao_genotipo,5,5,baseline,LDA,IRR|BR16,0,0.7,0.5833333333333334,0.6363636363636364,24
condicao_genotipo,5,5,baseline,LDA,IRR|CD202,1,0.4444444444444444,0.16666666666666666,0.24242424242424243,24
condicao_genotipo,5,5,baseline,LDA,IRR|EMB48,2,0.4838709677419355,0.625,0.5454545454545454,24
condicao_genotipo,5,5,baseline,LDA,NIRR|BR16,3,0.6538461538461539,0.7083333333333334,0.68,24
condicao_genotipo,5,5,baseline,LDA,NIRR|CD202,4,0.42105263157894735,0.6666666666666666,0.5161290322580645,24
condicao_genotipo,5,5,baseline,LDA,NIRR|EMB48,5,0.75,0.625,0.6818181818181818,24
condicao_genotipo,5,5,baseline,XGBoost,IRR|BR16,0,0.5384615384615384,0.5833333333333334,0.56,24
condicao_genotipo,5,5,baseline,XGBoost,IRR|CD202,1,0.2631578947368421,0.20833333333333334,0.23255813953488372,24
condicao_genotipo,5,5,baseline,XGBoost,IRR|EMB48,2,0.48148148148148145,0.5416666666666666,0.5098039215686274,24
condicao_genotipo,5,5,baseline,XGBoost,NIRR|BR16,3,0.8,0.6666666666666666,0.7272727272727273,24
condicao_genotipo,5,5,baseline,XGBoost,NIRR|CD202,4,0.4583333333333333,0.4583333333333333,0.4583333333333333,24
condicao_genotipo,5,5,baseline,XGBoost,NIRR|EMB48,5,0.5,0.5833333333333334,0.5384615384615384,24
condicao_genotipo,5,5,jitter,Random Forest,IRR|BR16,0,0.6086956521739131,0.5833333333333334,0.5957446808510638,24
condicao_genotipo,5,5,jitter,Random Forest,IRR|CD202,1,0.2777777777777778,0.20833333333333334,0.23809523809523808,24
condicao_genotipo,5,5,jitter,Random Forest,IRR|EMB48,2,0.5172413793103449,0.625,0.5660377358490566,24
condicao_genotipo,5,5,jitter,Random Forest,NIRR|BR16,3,0.7727272727272727,0.7083333333333334,0.7391304347826086,24
condicao_genotipo,5,5,jitter,Random Forest,NIRR|CD202,4,0.4666666666666667,0.5833333333333334,0.5185185185185185,24
condicao_genotipo,5,5,jitter,Random Forest,NIRR|EMB48,5,0.5454545454545454,0.5,0.5217391304347826,24
condicao_genotipo,5,5,jitter,SVM (RBF),IRR|BR16,0,0.6190476190476191,0.5416666666666666,0.5777777777777777,24
condicao_genotipo,5,5,jitter,SVM (RBF),IRR|CD202,1,0.23076923076923078,0.125,0.16216216216216217,24
condicao_genotipo,5,5,jitter,SVM (RBF),IRR|EMB48,2,0.47058823529411764,0.6666666666666666,0.5517241379310345,24
condicao_genotipo,5,5,jitter,SVM (RBF),NIRR|BR16,3,0.7391304347826086,0.7083333333333334,0.723404255319149,24
condicao_genotipo,5,5,jitter,SVM (RBF),NIRR|CD202,4,0.5135135135135135,0.7916666666666666,0.6229508196721312,24
condicao_genotipo,5,5,jitter,SVM (RBF),NIRR|EMB48,5,0.875,0.5833333333333334,0.7,24
condicao_genotipo,5,5,jitter,LDA,IRR|BR16,0,0.7142857142857143,0.625,0.6666666666666666,24
condicao_genotipo,5,5,jitter,LDA,IRR|CD202,1,0.375,0.125,0.1875,24
condicao_genotipo,5,5,jitter,LDA,IRR|EMB48,2,0.4838709677419355,0.625,0.5454545454545454,24
condicao_genotipo,5,5,jitter,LDA,NIRR|BR16,3,0.6538461538461539,0.7083333333333334,0.68,24
condicao_genotipo,5,5,jitter,LDA,NIRR|CD202,4,0.4358974358974359,0.7083333333333334,0.5396825396825397,24
condicao_genotipo,5,5,jitter,LDA,NIRR|EMB48,5,0.7894736842105263,0.625,0.6976744186046512,24
condicao_genotipo,5,5,jitter,XGBoost,IRR|BR16,0,0.5263157894736842,0.4166666666666667,0.46511627906976744,24
condicao_genotipo,5,5,jitter,XGBoost,IRR|CD202,1,0.25,0.20833333333333334,0.22727272727272727,24
condicao_genotipo,5,5,jitter,XGBoost,IRR|EMB48,2,0.4838709677419355,0.625,0.5454545454545454,24
condicao_genotipo,5,5,jitter,XGBoost,NIRR|BR16,3,0.7391304347826086,0.7083333333333334,0.723404255319149,24
condicao_genotipo,5,5,jitter,XGBoost,NIRR|CD202,4,0.5,0.5416666666666666,0.52,24
condicao_genotipo,5,5,jitter,XGBoost,NIRR|EMB48,5,0.56,0.5833333333333334,0.5714285714285714,24
condicao_genotipo,5,5,mixup,Random Forest,IRR|BR16,0,0.56,0.5833333333333334,0.5714285714285714,24
condicao_genotipo,5,5,mixup,Random Forest,IRR|CD202,1,0.21052631578947367,0.16666666666666666,0.18604651162790697,24
condicao_genotipo,5,5,mixup,Random Forest,IRR|EMB48,2,0.4482758620689655,0.5416666666666666,0.49056603773584906,24
condicao_genotipo,5,5,mixup,Random Forest,NIRR|BR16,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,24
condicao_genotipo,5,5,mixup,Random Forest,NIRR|CD202,4,0.46153846153846156,0.5,0.48,24
condicao_genotipo,5,5,mixup,Random Forest,NIRR|EMB48,5,0.7142857142857143,0.625,0.6666666666666666,24
condicao_genotipo,5,5,mixup,SVM (RBF),IRR|BR16,0,0.5454545454545454,0.5,0.5217391304347826,24
condicao_genotipo,5,5,mixup,SVM (RBF),IRR|CD202,1,0.15384615384615385,0.08333333333333333,0.10810810810810811,24
condicao_genotipo,5,5,mixup,SVM (RBF),IRR|EMB48,2,0.4,0.5833333333333334,0.4745762711864407,24
condicao_genotipo,5,5,mixup,SVM (RBF),NIRR|BR16,3,0.8095238095238095,0.7083333333333334,0.7555555555555555,24
condicao_genotipo,5,5,mixup,SVM (RBF),NIRR|CD202,4,0.4594594594594595,0.7083333333333334,0.5573770491803278,24
condicao_genotipo,5,5,mixup,SVM (RBF),NIRR|EMB48,5,0.8125,0.5416666666666666,0.65,24
condicao_genotipo,5,5,mixup,LDA,IRR|BR16,0,0.7222222222222222,0.5416666666666666,0.6190476190476191,24
condicao_genotipo,5,5,mixup,LDA,IRR|CD202,1,0.42857142857142855,0.125,0.1935483870967742,24
condicao_genotipo,5,5,mixup,LDA,IRR|EMB48,2,0.47058823529411764,0.6666666666666666,0.5517241379310345,24
condicao_genotipo,5,5,mixup,LDA,NIRR|BR16,3,0.68,0.7083333333333334,0.6938775510204082,24
condicao_genotipo,5,5,mixup,LDA,NIRR|CD202,4,0.43902439024390244,0.75,0.5538461538461539,24
condicao_genotipo,5,5,mixup,LDA,NIRR|EMB48,5,0.7894736842105263,0.625,0.6976744186046512,24
condicao_genotipo,5,5,mixup,XGBoost,IRR|BR16,0,0.6086956521739131,0.5833333333333334,0.5957446808510638,24
condicao_genotipo,5,5,mixup,XGBoost,IRR|CD202,1,0.3181818181818182,0.2916666666666667,0.30434782608695654,24
condicao_genotipo,5,5,mixup,XGBoost,IRR|EMB48,2,0.5769230769230769,0.625,0.6,24
condicao_genotipo,5,5,mixup,XGBoost,NIRR|BR16,3,0.7083333333333334,0.7083333333333334,0.7083333333333334,24
condicao_genotipo,5,5,mixup,XGBoost,NIRR|CD202,4,0.4782608695652174,0.4583333333333333,0.46808510638297873,24
condicao_genotipo,5,5,mixup,XGBoost,NIRR|EMB48,5,0.5384615384615384,0.5833333333333334,0.56,24
condicao_genotipo,8,8,baseline,Random Forest,IRR|BR16,0,0.4583333333333333,0.4583333333333333,0.4583333333333333,24
condicao_genotipo,8,8,baseline,Random Forest,IRR|CD202,1,0.3684210526315789,0.2916666666666667,0.32558139534883723,24
condicao_genotipo,8,8,baseline,Random Forest,IRR|EMB48,2,0.5,0.5416666666666666,0.52,24
condicao_genotipo,8,8,baseline,Random Forest,NIRR|BR16,3,0.7083333333333334,0.7083333333333334,0.7083333333333334,24
condicao_genotipo,8,8,baseline,Random Forest,NIRR|CD202,4,0.4,0.5,0.4444444444444444,24
condicao_genotipo,8,8,baseline,Random Forest,NIRR|EMB48,5,0.6190476190476191,0.5416666666666666,0.5777777777777777,24
condicao_genotipo,8,8,baseline,SVM (RBF),IRR|BR16,0,0.5454545454545454,0.5,0.5217391304347826,24
condicao_genotipo,8,8,baseline,SVM (RBF),IRR|CD202,1,0.45454545454545453,0.20833333333333334,0.2857142857142857,24
condicao_genotipo,8,8,baseline,SVM (RBF),IRR|EMB48,2,0.4722222222222222,0.7083333333333334,0.5666666666666667,24
condicao_genotipo,8,8,baseline,SVM (RBF),NIRR|BR16,3,0.7391304347826086,0.7083333333333334,0.723404255319149,24
condicao_genotipo,8,8,baseline,SVM (RBF),NIRR|CD202,4,0.45,0.75,0.5625,24
condicao_genotipo,8,8,baseline,SVM (RBF),NIRR|EMB48,5,0.9166666666666666,0.4583333333333333,0.6111111111111112,24
condicao_genotipo,8,8,baseline,LDA,IRR|BR16,0,0.7,0.5833333333333334,0.6363636363636364,24
condicao_genotipo,8,8,baseline,LDA,IRR|CD202,1,0.5263157894736842,0.4166666666666667,0.46511627906976744,24
condicao_genotipo,8,8,baseline,LDA,IRR|EMB48,2,0.6086956521739131,0.5833333333333334,0.5957446808510638,24
condicao_genotipo,8,8,baseline,LDA,NIRR|BR16,3,0.6923076923076923,0.75,0.72,24
condicao_genotipo,8,8,baseline,LDA,NIRR|CD202,4,0.42105263157894735,0.6666666666666666,0.5161290322580645,24
condicao_genotipo,8,8,baseline,LDA,NIRR|EMB48,5,0.7222222222222222,0.5416666666666666,0.6190476190476191,24
condicao_genotipo,8,8,baseline,XGBoost,IRR|BR16,0,0.52,0.5416666666666666,0.5306122448979592,24
condicao_genotipo,8,8,baseline,XGBoost,IRR|CD202,1,0.35,0.2916666666666667,0.3181818181818182,24
condicao_genotipo,8,8,baseline,XGBoost,IRR|EMB48,2,0.4482758620689655,0.5416666666666666,0.49056603773584906,24
condicao_genotipo,8,8,baseline,XGBoost,NIRR|BR16,3,0.8333333333333334,0.625,0.7142857142857143,24
condicao_genotipo,8,8,baseline,XGBoost,NIRR|CD202,4,0.4666666666666667,0.5833333333333334,0.5185185185185185,24
condicao_genotipo,8,8,baseline,XGBoost,NIRR|EMB48,5,0.5909090909090909,0.5416666666666666,0.5652173913043478,24
condicao_genotipo,8,8,jitter,Random Forest,IRR|BR16,0,0.6,0.5,0.5454545454545454,24
condicao_genotipo,8,8,jitter,Random Forest,IRR|CD202,1,0.3684210526315789,0.2916666666666667,0.32558139534883723,24
condicao_genotipo,8,8,jitter,Random Forest,IRR|EMB48,2,0.4375,0.5833333333333334,0.5,24
condicao_genotipo,8,8,jitter,Random Forest,NIRR|BR16,3,0.6956521739130435,0.6666666666666666,0.6808510638297872,24
condicao_genotipo,8,8,jitter,Random Forest,NIRR|CD202,4,0.45161290322580644,0.5833333333333334,0.509090909090909,24
condicao_genotipo,8,8,jitter,Random Forest,NIRR|EMB48,5,0.5789473684210527,0.4583333333333333,0.5116279069767442,24
condicao_genotipo,8,8,jitter,SVM (RBF),IRR|BR16,0,0.6470588235294118,0.4583333333333333,0.5365853658536586,24
condicao_genotipo,8,8,jitter,SVM (RBF),IRR|CD202,1,0.4444444444444444,0.3333333333333333,0.38095238095238093,24
condicao_genotipo,8,8,jitter,SVM (RBF),IRR|EMB48,2,0.48484848484848486,0.6666666666666666,0.5614035087719298,24
condicao_genotipo,8,8,jitter,SVM (RBF),NIRR|BR16,3,0.68,0.7083333333333334,0.6938775510204082,24
condicao_genotipo,8,8,jitter,SVM (RBF),NIRR|CD202,4,0.45714285714285713,0.6666666666666666,0.5423728813559322,24
condicao_genotipo,8,8,jitter,SVM (RBF),NIRR|EMB48,5,0.75,0.5,0.6,24
condicao_genotipo,8,8,jitter,LDA,IRR|BR16,0,0.7142857142857143,0.625,0.6666666666666666,24
condicao_genotipo,8,8,jitter,LDA,IRR|CD202,1,0.5625,0.375,0.45,24
condicao_genotipo,8,8,jitter,LDA,IRR|EMB48,2,0.5833333333333334,0.5833333333333334,0.5833333333333334,24
condicao_genotipo,8,8,jitter,LDA,NIRR|BR16,3,0.6923076923076923,0.75,0.72,24
condicao_genotipo,8,8,jitter,LDA,NIRR|CD202,4,0.4473684210526316,0.7083333333333334,0.5483870967741935,24
condicao_genotipo,8,8,jitter,LDA,NIRR|EMB48,5,0.7368421052631579,0.5833333333333334,0.6511627906976745,24
