genotype,date_iso,date_label,source_rank,class_rank,direction_label,wavelength,morning_count,afternoon_count,morning_mean_reflectance,afternoon_mean_reflectance,morning_std_reflectance,afternoon_std_reflectance,diff_morning_minus_afternoon,abs_diff,pct_diff_vs_morning,vip,cohen_d,q_value,combined_score
BR16,2017-03-02,02/03/2017,17,7,nao_irrigado,1426,64,64,0.24104972924347062,0.22990747397235717,0.01854214717694097,0.013664228366055535,0.011142255271113455,0.011142255271113455,4.622388627476655,1.3640022684,-1.8907849156,4.1486289918e-237,7.8797142082
BR16,2017-03-02,02/03/2017,18,8,nao_irrigado,1429,64,64,0.2396581616252097,0.22863840063971064,0.018604007174740946,0.013455452178176838,0.01101976098549906,0.01101976098549906,4.598116296465778,1.3594343382,-1.8940449776,1.0362366145e-237,7.8732838884
BR16,2017-03-02,02/03/2017,19,9,nao_irrigado,1430,64,64,0.23934202354028108,0.22837282790934382,0.018637389905676857,0.01338474894685686,0.010969195630937262,0.010969195630937262,4.583062960981089,1.3574309308,-1.8955089432,6.8020496358e-238,7.8690939613
BR16,2017-03-02,02/03/2017,20,10,nao_irrigado,1425,64,64,0.24166671024509337,0.2304856802371852,0.01852725256018104,0.01373683058385548,0.011181030007908183,0.011181030007908183,4.626632272425364,1.3647469655,-1.8869388077,2.2009120353e-236,7.8624384994
CD202,2017-02-23,23/02/2017,1,1,irrigado,1660,64,64,0.38193273841544295,0.4005608382521712,0.016085417875599774,0.020120956243922395,-0.01862809983672825,0.01862809983672825,-4.877324712726184,1.5902408821,1.4297926393,5.6244713303e-155,6.6189286746
CD202,2017-02-23,23/02/2017,2,2,irrigado,1659,64,64,0.38189241508418453,0.40053607537474284,0.01609534653094821,0.020133005343372708,-0.018643660290558306,0.018643660290558306,-4.881914265421713,1.5599149139,1.4576342588,5.4712963742e-160,6.6076822732
CD202,2017-02-23,23/02/2017,3,3,irrigado,1654,64,64,0.38155032134018196,0.4002456493056339,0.0161459930233571,0.020197278802254238,-0.018695327965451924,0.018695327965451924,-4.899832845058352,1.4421700899,1.5624596437,2.1531956457e-179,6.5559239513
CD202,2017-02-23,23/02/2017,4,4,irrigado,1661,64,64,0.3819547921584337,0.4005645923409607,0.01607288308331235,0.020111166442992337,-0.018609800182527003,0.018609800182527003,-4.872252047778396,1.6068719174,1.3964421004,6.0813715342e-149,6.5274819097
CD202,2017-02-23,23/02/2017,5,5,irrigado,1655,64,64,0.38162130961083324,0.40031534246518136,0.016132980390056086,0.020186264975799447,-0.01869403285434812,0.01869403285434812,-4.898582019282878,1.4524618762,1.5431444838,1.01106218e-175,6.5033170607
CD202,2017-02-23,23/02/2017,6,6,irrigado,1658,64,64,0.38183727177016985,0.40050614130410517,0.016100610933863477,0.02015131710926864,-0.018668869533935317,0.018668869533935317,-4.889221381503119,1.5209404356,1.4754496971,3.5418960953e-163,6.4964481258
CD202,2017-02-23,23/02/2017,7,7,irrigado,1653,64,64,0.3814543018456854,0.4001576344591116,0.016157558179068617,0.02020808542970787,-0.018703332613426216,0.018703332613426216,-4.903164683929169,1.4119435686,1.5718552578,3.1669178256e-181,6.448674252
CD202,2017-02-23,23/02/2017,8,8,irrigado,1656,64,64,0.3816957317843203,0.40038349916518395,0.01612258397043494,0.020173661986299586,-0.01868776738086364,0.01868776738086364,-4.895985421032501,1.4323572271,1.5077088176,3.5632339671e-169,6.2035387061
CD202,2017-02-23,23/02/2017,9,9,irrigado,1657,64,64,0.38177584698670736,0.4004580308962016,0.016110658555243157,0.02016406961562678,-0.01868218390949422,0.01868218390949422,-4.8934955044824235,1.4537103712,1.4838718242,1.0353097084e-164,6.1856770629
CD202,2017-02-23,23/02/2017,10,10,irrigado,1652,64,64,0.3813541640671614,0.4000682838407979,0.016166436161625237,0.020224353321986844,-0.018714119773636517,0.018714119773636517,-4.907280826318897,1.3658062069,1.5593458412,4.6649864823e-179,6.1384787064
CD202,2017-02-23,23/02/2017,11,1,nao_irrigado,1924,64,64,0.07363730102501514,0.08073089785242316,0.011929097546424681,0.014723653854984644,-0.007093596827408011,0.007093596827408011,-9.633157012365597,1.2793988868,-1.9937255058,2.1672729275e-258,8.0327963516
CD202,2017-02-23,23/02/2017,12,2,nao_irrigado,1923,64,64,0.07362445800951772,0.08064472803957992,0.011914663963048565,0.014695579911905569,-0.007020270030062198,0.007020270030062198,-9.535241711598964,1.3148501309,-1.9496079354,1.2659483932e-249,7.9691965372
CD202,2017-02-23,23/02/2017,13,3,nao_irrigado,2279,64,64,0.2432447100063815,0.25479246081005735,0.019585328471536538,0.024000033546420798,-0.011547750803675844,0.011547750803675844,-4.747380036907232,1.6992624471,-1.5671708898,3.244282072e-180,7.9432984786
CD202,2017-02-23,23/02/2017,14,4,nao_irrigado,2280,64,64,0.24276866659363136,0.25428048476958093,0.01959262718145387,0.02401524127653387,-0.011511818175949567,0.011511818175949567,-4.741887961686222,1.6419253399,-1.6171442115,9.0643940911e-190,7.9176113549
CD202,2017-02-23,23/02/2017,15,5,nao_irrigado,1427,64,64,0.23083204964004522,0.24383629400905854,0.01921767359400355,0.026190708471041508,-0.013004244369013318,0.013004244369013318,-5.633638998263833,1.3630282245,-1.8934627205,1.4045805978e-237,7.8887210661
CD202,2017-02-23,23/02/2017,16,6,nao_irrigado,1428,64,64,0.23032311852699716,0.243467800720909,0.019251705696996458,0.02621198462608272,-0.01314468219391185,0.01314468219391185,-5.70706157418197,1.3613801823,-1.8934491622,1.3993657901e-237,7.8799858925
CD202,2017-02-23,23/02/2017,17,7,nao_irrigado,1426,64,64,0.23141208972083674,0.24428716202255196,0.019178958030228357,0.02617064977456684,-0.012875072301715224,0.012875072301715224,-5.563699077799707,1.3640022684,-1.8907849156,4.1486289918e-237,7.8797142082
CD202,2017-02-23,23/02/2017,18,8,nao_irrigado,1429,64,64,0.22988852731203258,0.24317257010756924,0.01928670239478593,0.026233535444469394,-0.01328404279553666,0.01328404279553666,-5.778471396924453,1.3594343382,-1.8940449776,1.0362366145e-237,7.8732838884
CD202,2017-02-23,23/02/2017,19,9,nao_irrigado,1430,64,64,0.22951360432039045,0.24293579653469907,0.01932408794794458,0.026252459770865603,-0.013422192214308626,0.013422192214308626,-5.848103102233479,1.3574309308,-1.8955089432,6.8020496358e-238,7.8690939613
CD202,2017-02-23,23/02/2017,20,10,nao_irrigado,1425,64,64,0.2320604810334362,0.24481609957467332,0.019143946360951312,0.026154539408139565,-0.012755618541237107,0.012755618541237107,-5.496678488483882,1.3647469655,-1.8869388077,2.2009120353e-236,7.8624384994
CD202,2017-02-24,24/02/2017,1,1,irrigado,1660,64,64,0.38086952572643457,0.3833534611823292,0.02361969197986359,0.01729436071483168,-0.002483935455894648,0.002483935455894648,-0.6521749019318425,1.5902408821,1.4297926393,5.6244713303e-155,6.6189286746
CD202,2017-02-24,24/02/2017,2,2,irrigado,1659,64,64,0.3808453267010422,0.3833215373234055,0.02363928259268189,0.01730044395626955,-0.0024762106223633062,0.0024762106223633062,-0.6501880025186955,1.5599149139,1.4576342588,5.4712963742e-160,6.6076822732
CD202,2017-02-24,24/02/2017,3,3,irrigado,1654,64,64,0.3805601604011879,0.3830089921153894,0.023722920494420503,0.017328390072780447,-0.002448831714201516,0.002448831714201516,-0.6434808393027658,1.4421700899,1.5624596437,2.1531956457e-179,6.5559239513
CD202,2017-02-24,24/02/2017,4,4,irrigado,1661,64,64,0.380880116290371,0.38336717399725273,0.023599771750309705,0.01728799954398465,-0.0024870577068817346,0.0024870577068817346,-0.6529765142651028,1.6068719174,1.3964421004,6.0813715342e-149,6.5274819097
CD202,2017-02-24,24/02/2017,5,5,irrigado,1655,64,64,0.3806327907228963,0.38308267260657763,0.023704893654130317,0.017324618640227468,-0.0024498818836813374,0.0024498818836813374,-0.6436339546649492,1.4524618762,1.5431444838,1.01106218e-175,6.5033170607
CD202,2017-02-24,24/02/2017,6,6,irrigado,1658,64,64,0.3808269570202983,0.38327883210920877,0.023668430986078307,0.017305372936581825,-0.0024518750889104823,0.0024518750889104823,-0.6438291837570196,1.5209404356,1.4754496971,3.5418960953e-163,6.4964481258
CD202,2017-02-24,24/02/2017,7,7,irrigado,1653,64,64,0.38047149132478697,0.3829100638941118,0.023736459228910045,0.01733131395244312,-0.0024385725693248372,0.0024385725693248372,-0.640934373514773,1.4119435686,1.5718552578,3.1669178256e-181,6.448674252
CD202,2017-02-24,24/02/2017,8,8,irrigado,1656,64,64,0.38070205977677124,0.3831573654215764,0.02368943884227624,0.017320584236419093,-0.0024553056448051724,0.0024553056448051724,-0.6449415183739398,1.4323572271,1.5077088176,3.5632339671e-169,6.2035387061
CD202,2017-02-24,24/02/2017,9,9,irrigado,1657,64,64,0.38078027107487117,0.3832261974596045,0.023685088344001314,0.017311937845391468,-0.0024459263847333435,0.0024459263847333435,-0.6423458804283512,1.4537103712,1.4838718242,1.0353097084e-164,6.1856770629
CD202,2017-02-24,24/02/2017,10,10,irrigado,1652,64,64,0.3803804190813494,0.38278933955519234,0.023752751061101442,0.01732857224840945,-0.002408920473842946,0.002408920473842946,-0.633292449611547,1.3658062069,1.5593458412,4.6649864823e-179,6.1384787064
CD202,2017-02-24,24/02/2017,11,1,nao_irrigado,1924,64,64,0.07594707781684515,0.07135939092069182,0.015424884282843521,0.010191235854136045,0.004587686896153326,0.004587686896153326,6.040636490606056,1.2793988868,-1.9937255058,2.1672729275e-258,8.0327963516
