date_iso,date_label,source_rank,class_rank,direction_label,wavelength,morning_count,afternoon_count,morning_mean_reflectance,afternoon_mean_reflectance,morning_std_reflectance,afternoon_std_reflectance,diff_morning_minus_afternoon,abs_diff,pct_diff_vs_morning,vip,cohen_d,q_value,combined_score
2017-02-24,24/02/2017,1,1,irrigado,1660,192,192,0.3867251035441912,0.39139570655261324,0.029346517871434892,0.020051333409543612,-0.004670603008422036,0.004670603008422036,-1.207732046773717,1.5902408821,1.4297926393,5.6244713303e-155,6.6189286746
2017-02-24,24/02/2017,2,2,irrigado,1659,192,192,0.3867046876830213,0.3913700129989761,0.029359995346232994,0.020059605914515798,-0.004665325315954816,0.004665325315954816,-1.2064310220565377,1.5599149139,1.4576342588,5.4712963742e-160,6.6076822732
2017-02-24,24/02/2017,3,3,irrigado,1654,192,192,0.3864542839871303,0.39108319147184384,0.029416967650308937,0.020099055536507517,-0.0046289074847135625,0.0046289074847135625,-1.1977891503636986,1.4421700899,1.5624596437,2.1531956457e-179,6.5559239513
2017-02-24,24/02/2017,4,4,irrigado,1661,192,192,0.3867382553501864,0.39140924887918715,0.02933589094792121,0.020045664901672606,-0.004670993529000744,0.004670993529000744,-1.2077919534417978,1.6068719174,1.3964421004,6.0813715342e-149,6.5274819097
2017-02-24,24/02/2017,5,5,irrigado,1655,192,192,0.386524730286919,0.39116250953081155,0.029406335757122922,0.020093887815740254,-0.004637779243892526,0.004637779243892526,-1.1998661095888694,1.4524618762,1.5431444838,1.01106218e-175,6.5033170607
2017-02-24,24/02/2017,6,6,irrigado,1658,192,192,0.3866827459698969,0.39134130019769287,0.02937503615118233,0.020067717152460827,-0.004658554227795986,0.004658554227795986,-1.204748408442991,1.5209404356,1.4754496971,3.5418960953e-163,6.4964481258
2017-02-24,24/02/2017,7,7,irrigado,1653,192,192,0.38637169596052473,0.3909933805327503,0.029426732427668485,0.020106324729761524,-0.0046216845722255595,0.0046216845722255595,-1.1961757604257206,1.4119435686,1.5718552578,3.1669178256e-181,6.448674252
2017-02-24,24/02/2017,8,8,irrigado,1656,192,192,0.3865866083140894,0.3912328061839747,0.02939517705321162,0.020086067687718367,-0.0046461978698852935,0.0046461978698852935,-1.2018517377380036,1.4323572271,1.5077088176,3.5632339671e-169,6.2035387061
2017-02-24,24/02/2017,9,9,irrigado,1657,192,192,0.3866427365272526,0.3912954784909309,0.029386092370158247,0.02007555210678992,-0.004652741963678264,0.004652741963678264,-1.2033698099357193,1.4537103712,1.4838718242,1.0353097084e-164,6.1856770629
2017-02-24,24/02/2017,10,10,irrigado,1652,192,192,0.3862790715580588,0.39089029466396347,0.02943685237910853,0.02011425355013077,-0.0046112231059046715,0.0046112231059046715,-1.1937543204982028,1.3658062069,1.5593458412,4.6649864823e-179,6.1384787064
