data_coleta,turno,analysis,rank,wavelength_nm,p_value,q_FDR_BH
D02T,TARDE,cond,5,1787.0,3.9982820984600134e-08,6.003277147834178e-08
D02T,TARDE,gen,1,538.0,8.199489224919066e-24,7.399571712781317e-22
D02T,TARDE,gen,2,720.0,7.298037905021975e-15,1.1974620594560056e-13
D02T,TARDE,gen,3,620.0,4.646832249089898e-13,6.711727424565761e-12
D02T,TARDE,gen,4,2189.0,2.028233535825147e-07,1.8571013312399e-06
D02T,TARDE,gen,5,1384.0,2.903987646495783e-07,1.9928867319999332e-06
D03M,MANHA,gen_cond,1,400.0,6.531778183055284e-29,1.728522632715259e-26
D03M,MANHA,gen_cond,2,547.0,1.1082157095295998e-25,1.6087903827791048e-24
D03M,MANHA,gen_cond,3,720.0,4.601773293859065e-25,4.790983261779158e-24
D03M,MANHA,gen_cond,4,1527.0,8.002740674575226e-23,5.507926551528117e-22
D03M,MANHA,gen_cond,5,1382.0,1.8142751272484844e-18,8.071753331858225e-18
D03M,MANHA,cond,1,400.0,1.2603563747672772e-30,3.1565425930535725e-28
D03M,MANHA,cond,2,1541.0,1.34723540737144e-22,1.918874875360294e-21
D03M,MANHA,cond,3,619.0,6.872971129702367e-16,4.547246382909533e-15
D03M,MANHA,cond,4,1600.0,2.943440397560747e-11,1.1036556225588832e-10
D03M,MANHA,cond,5,1353.0,1.627575232748186e-09,4.974898364182607e-09
D03M,MANHA,gen,1,707.0,2.244345017231987e-27,5.484888861730042e-25
D03M,MANHA,gen,2,1381.0,2.4741090044473664e-20,6.342996960151935e-19
D03M,MANHA,gen,3,580.0,6.358315302130416e-17,1.1748562778981517e-15
D03M,MANHA,gen,4,740.0,3.046179655681149e-14,4.3386906068069693e-13
D03M,MANHA,gen,5,1886.0,6.016506742881351e-10,4.269846134826869e-09
D03T,TARDE,gen_cond,1,707.0,3.6220984226787666e-24,1.3776203915262348e-21
D03T,TARDE,gen_cond,2,1374.0,4.573608265173594e-21,2.680134443391726e-19
D03T,TARDE,gen_cond,3,740.0,2.8401174999780057e-17,4.936509315639737e-16
D03T,TARDE,gen_cond,4,1489.0,1.3817457296649743e-16,2.231464953970758e-15
D03T,TARDE,gen_cond,5,1359.0,1.780975280776969e-15,1.6989675818016574e-14
D03T,TARDE,cond,1,1520.0,2.6558305149067695e-12,2.5666710668494316e-10
D03T,TARDE,cond,2,1347.0,3.547298069460184e-10,5.831269243658221e-09
D03T,TARDE,cond,3,406.0,2.5263169161516756e-08,1.6768530728243e-07
D03T,TARDE,cond,4,1959.0,9.414324528836784e-08,3.861755921728849e-07
D03T,TARDE,cond,5,1600.0,1.6391620741014643e-05,2.5821209016759625e-05
D03T,TARDE,gen,1,705.0,3.301956681756166e-23,9.703560464297976e-21
D03T,TARDE,gen,2,1375.0,1.2834696808637653e-19,3.2498719943846698e-18
D03T,TARDE,gen,3,740.0,6.34370960914666e-18,1.2274479630528113e-16
D03T,TARDE,gen,4,519.0,3.221780975260197e-15,4.8947205779693806e-14
D03T,TARDE,gen,5,1400.0,2.878925488416074e-13,3.3172338071580722e-12
D04M,MANHA,gen_cond,1,417.0,2.203853567660124e-24,3.7353848844405313e-23
D04M,MANHA,gen_cond,2,706.0,1.702215480481531e-24,3.7353848844405313e-23
D04M,MANHA,gen_cond,3,1386.0,2.256135371823796e-19,1.3690336235534336e-18
D04M,MANHA,gen_cond,4,740.0,2.3314599399669598e-17,1.31730697985461e-16
D04M,MANHA,gen_cond,5,1900.0,1.2943814557779106e-14,6.01990105623695e-14
D04M,MANHA,cond,1,411.0,4.404158465697788e-25,1.4026510946499833e-23
D04M,MANHA,cond,2,579.0,4.2678072418668535e-12,3.6471969387787154e-11
D04M,MANHA,cond,3,1907.0,2.8930311518431704e-09,2.3178151923556024e-08
D04M,MANHA,cond,4,1634.0,2.8515405591675393e-06,1.5270260278988572e-05
D04M,MANHA,cond,5,1340.0,1.1787126582776964e-05,3.7192917878885466e-05
D04M,MANHA,gen,1,704.0,1.687545660040208e-26,5.768593581237445e-24
D04M,MANHA,gen,2,580.0,1.9229957801174325e-15,4.066045716516345e-14
D04M,MANHA,gen,3,740.0,1.8884324635954736e-10,2.6897048491904973e-09
D04M,MANHA,gen,4,1380.0,4.301925320602315e-09,5.380029775948383e-08
D04M,MANHA,gen,5,1835.0,1.62321756596107e-06,1.3988316083135103e-05
D05M,MANHA,gen_cond,1,1540.0,8.378061710864172e-25,8.288712543623197e-23
D05M,MANHA,gen_cond,2,400.0,8.615389890989238e-23,2.0546703100487126e-21
