wavelength_nm,p_value,q_FDR_BH
1102.0,0.0812055924283822,0.10808090205750286
1103.0,0.08166133711798942,0.10854659911146877
1104.0,0.08538245091072066,0.11240013274575615
1105.0,0.0877769526282462,0.11510903442489319
1106.0,0.08973130454158076,0.1170730951747978
1107.0,0.08923946215817591,0.116505497699821
1108.0,0.08923946215817591,0.116505497699821
1109.0,0.09121993742653955,0.1189396641206819
1110.0,0.08874979357548525,0.11608789963221955
1111.0,0.08585707924119015,0.11280773191779693
1112.0,0.08585707924119015,0.11280773191779693
1113.0,0.08304103418422416,0.11009512676912976
1114.0,0.08030029672312451,0.10750385677488797
1115.0,0.08075191439791962,0.10768672069579528
1116.0,0.07676077199879756,0.10364472901220131
1117.0,0.07895774280918763,0.10612210386739437
1118.0,0.07807289311821963,0.10513952973438508
1119.0,0.07546668392524927,0.1023014994915309
1120.0,0.07293192788615974,0.09939095288672002
1121.0,0.07046726885817114,0.0968688796435047
1122.0,0.06767862409694218,0.09347397846655744
1123.0,0.06498140885674103,0.09041850038343002
1124.0,0.06651160367352305,0.09242228938644699
1125.0,0.06767862409694218,0.09347397846655744
1126.0,0.07006321231487105,0.09637803384158318
1127.0,0.07087323496235594,0.09716644713088357
1128.0,0.07251632010845697,0.0988902742968386
1129.0,0.07676077199879756,0.10364472901220131
1130.0,0.07940321723024835,0.10651144443377328
1131.0,0.08397128110767431,0.11096977935041237
1132.0,0.08585707924119015,0.11280773191779693
1133.0,0.09477067109094377,0.12286640101613505
1134.0,0.10275221660195655,0.1319629281469085
1135.0,0.11184580293685217,0.14195281053433403
1136.0,0.11184580293685217,0.14195281053433403
1137.0,0.11302581604817756,0.14336174935980964
1138.0,0.1190736811865148,0.1501045606106588
1139.0,0.12345602642741565,0.15477280574732855
1140.0,0.12927429793438863,0.16098456895168858
1141.0,0.13736057719172087,0.1690021258669583
1142.0,0.13667216599389168,0.16855959858897887
1143.0,0.14511062110863648,0.17800351907524728
1144.0,0.15469654350345718,0.1884101013809921
1145.0,0.16317710892763498,0.19733269481755858
1146.0,0.16714585922909034,0.20189408555881289
1147.0,0.17530026156082257,0.21038082882460332
1148.0,0.18374786945464913,0.2193637254083151
1149.0,0.19338437287926102,0.2295320305412988
1150.0,0.20246238600899674,0.23961359128935505
1151.0,0.20431465955281689,0.241387884068449
1152.0,0.20711613684127653,0.24399494351605866
1153.0,0.19338437287926102,0.2295320305412988
1154.0,0.18460893573836226,0.22026348295484643
1155.0,0.18118252215830627,0.21680592353949016
1156.0,0.1720035815159115,0.20678742420230625
1157.0,0.16317710892763498,0.19733269481755858
1158.0,0.16005359930798116,0.19401296228171946
1159.0,0.15021413381144313,0.1833864216948035
