band,wavelength_nm,rank_ttest,ttest_q_value,abs_cohen_d,rank_kruskal,kruskal_q_value,h_stat,eta2_h,joint_rank_score,joint_rank
band_436,436,91,4.234404542584422e-21,2.1532140299976796,76,9.534001817822567e-20,100.15766283524908,0.6895482814148485,167,91
band_438,438,93,4.3014172474872524e-21,2.1523322160044662,75,9.534001817822567e-20,100.18022030651343,0.6897117413515467,168,92
band_439,439,94,4.32381545811791e-21,2.1516288732743196,79,9.740824562427969e-20,100.03366858237541,0.6886497723360537,173,93
band_441,441,96,4.570081266249107e-21,2.1477748369645706,77,9.709651765005436e-20,100.08453065134097,0.6890183380531955,173,94
band_440,440,95,4.483858629625621e-21,2.1494423049096527,80,9.797660473988118e-20,99.97648467432953,0.6882353961907937,175,95
band_443,443,97,5.004810845144682e-21,2.142808341619364,81,9.797660473988118e-20,99.97016283524908,0.6881895857626745,178,96
band_717,717,43,1.6780541492682808e-21,1.9376246351107613,137,4.59125686023839e-18,90.94683908045977,0.6228031817424621,180,97
band_444,444,99,5.3706378603566524e-21,2.1390067776937434,83,1.1290509784234632e-19,99.62495210727968,0.6856880587484036,182,98
band_445,445,100,5.854184537362234e-21,2.135071953843556,84,1.1290509784234632e-19,99.60296934865903,0.6855287633960799,184,99
band_446,446,101,6.429250583585272e-21,2.1307540484239875,85,1.163268827908609e-19,99.51704980842908,0.6849061580320948,186,100
band_447,447,102,7.200989413076359e-21,2.1255951883386017,86,1.1974633180752054e-19,99.43323754789276,0.6842988228108171,188,101
band_448,448,103,7.94708337470557e-21,2.1211809839233142,87,1.2251745507289546e-19,99.36226053639848,0.6837844966405687,190,102
band_451,451,105,9.625929649001358e-21,2.111905046633292,89,1.37046717057698e-19,99.08443486590033,0.6817712671442053,194,103
band_452,452,106,1.009819523412064e-20,2.1095256612517708,90,1.418188735859793e-19,98.99085249042139,0.6810931339885608,196,104
band_453,453,107,1.0713838843742344e-20,2.1065911685776038,91,1.469662327014316e-19,98.89458812260534,0.6803955661058358,198,105
band_454,454,108,1.1422000184667485e-20,2.1032709939586267,92,1.6683054297487911e-19,98.61072796934866,0.678338608473541,200,106
band_455,455,109,1.2144636274014185e-20,2.099999646237709,93,1.6812488581129314e-19,98.57250957854399,0.6780616636126375,202,107
band_456,456,110,1.3143389201247417e-20,2.096220534564564,94,1.9035527358063846e-19,98.29444444444448,0.6760466988727861,204,108
band_355,355,98,5.006910030157639e-21,2.120771329291089,107,3.110405534693597e-19,97.0147988505746,0.6667739047143088,205,109
band_457,457,112,1.4051673013551237e-20,2.0926433355290746,95,1.906228417785688e-19,98.2697318007663,0.6758676217446833,207,110
band_458,458,113,1.455005271125437e-20,2.090514763938571,96,2.0123968066251064e-19,98.13639846743297,0.6749014381698041,209,111
band_459,459,114,1.5066244062822726e-20,2.088443189647863,98,2.116843239336399e-19,97.98955938697316,0.6738373868621244,212,112
band_460,460,115,1.5792034346596458e-20,2.0861558416713413,97,2.0973418746466265e-19,98.0297892720306,0.6741289077683377,212,113
band_461,461,116,1.659613649672824e-20,2.0839861791877072,100,2.197056832695927e-19,97.87121647509571,0.672979829529679,216,114
band_462,462,117,1.730386082186778e-20,2.0818175579905955,99,2.1358547105210978e-19,97.9501915708812,0.6735521128324725,216,115
band_354,354,104,8.578742614316675e-21,2.0914362475888795,117,8.208137747085165e-19,94.81441570881225,0.6508290993392192,221,116
band_465,465,118,1.9427663731353192e-20,2.076155619866502,104,2.7618297406945626e-19,97.31858237547885,0.6689752346049193,222,117
band_467,467,121,2.0657262245146887e-20,2.0732069426978788,101,2.639323605732262e-19,97.47250957854408,0.6700906491198846,222,118
band_470,470,122,2.3390468767892134e-20,2.0684387786366725,102,2.667037450238366e-19,97.43065134099618,0.6697873285579433,224,119
band_466,466,120,1.994584112292928e-20,2.0747888812750337,105,2.7662545870377623e-19,97.29554597701144,0.6688083041812424,225,120
band_471,471,123,2.463354571330567e-20,2.066213432097216,103,2.725071115665043e-19,97.3661398467433,0.669319853961908,226,121
band_473,473,124,2.8076414228639553e-20,2.0601952613336563,106,2.9254063188148245e-19,97.16063218390798,0.6678306679993332,230,122
band_353,353,111,1.349347782981918e-20,2.0677544058993496,120,1.1576622210791714e-18,94.0663314176245,0.6454081986784383,231,123
band_476,476,126,3.4952827136028e-20,2.0496547609040174,108,3.7700503077967697e-19,96.59889846743295,0.6637601338219778,234,124
band_477,477,127,3.7753196123542876e-20,2.0459716965602714,109,4.2713331524746294e-19,96.32236590038315,0.6617562746404576,236,125
band_478,478,128,4.064837117908839e-20,2.042390069205186,110,4.38829238697925e-19,96.24779693486596,0.6612159198178693,238,126
band_352,352,119,1.9427663731353192e-20,2.0462184874060823,121,1.1936401176428068e-18,93.98601532567045,0.6448261980121047,240,127
band_479,479,129,4.3240153547611736e-20,2.0393388916774455,111,4.594585230103017e-19,96.13065134099622,0.6603670387028712,240,128
band_480,480,130,4.708299701114365e-20,2.035517109241036,112,4.594585230103017e-19,96.11585249042139,0.6602598006552275,242,129
band_481,481,132,5.13085172545172e-20,2.031441993868527,113,4.695302281481821e-19,96.0527777777778,0.6598027375201291,245,130
band_482,482,133,5.639270330954189e-20,2.0271726595941173,114,5.086021075750721e-19,95.86968390804589,0.6584759703481586,247,131
band_483,483,134,6.232433687030481e-20,2.022475970793964,115,5.179395604014949e-19,95.81412835249034,0.6580733938586256,249,132
band_485,485,135,7.822833195921545e-20,2.012706476097852,116,7.372765853560606e-19,95.06762452107273,0.6526639458048749,251,133
band_486,486,136,8.887918351759665e-20,2.0070529562491286,118,8.208137747085165e-19,94.81082375478934,0.6508030706868793,254,134
band_351,351,125,3.480752161960088e-20,2.0149174021119847,130,3.4941738722932754e-18,91.61029693486591,0.6276108473541008,255,135
band_487,487,137,1.0322821548467661e-19,2.0005548478413844,119,1.0602867921359273e-18,94.26499042145599,0.6468477566772173,256,136
band_489,489,138,1.4465835402906981e-19,1.9859741398166884,122,1.4405755045721256e-18,93.58079501915711,0.6418898189793993,260,137
band_490,490,139,1.7874893504769397e-19,1.9767663520856,123,2.0564741730475898e-18,92.82887931034475,0.636441154422788,262,138
band_491,491,140,2.248041865473713e-19,1.9667237814748517,126,2.7950653713500277e-18,92.14525862068967,0.6314873813093455,266,139
band_492,492,141,2.8677600999747298e-19,1.9559282304808836,129,3.187472316823266e-18,91.82523946360152,0.629168401910156,270,140
band_350,350,131,4.8182603781606154e-20,1.9977917450689007,142,7.023705680165964e-18,89.99396551724135,0.615898300849575,273,141
band_493,493,142,3.7206477434458467e-19,1.9443876119338495,136,4.4709440226676045e-18,91.01685823754781,0.6233105669387522,278,142
band_494,494,143,4.959991388101549e-19,1.9318609226201373,140,5.853499186456958e-18,90.4000478927203,0.6188409267588427,283,143
band_495,495,144,6.85425290420376e-19,1.9177014551240241,144,8.201634670400131e-18,89.6444923371647,0.6133658865011935,288,144
band_496,496,145,9.75828030108812e-19,1.9022287621080392,145,1.1135529934481126e-17,88.99779693486585,0.6086796879338104,290,145
band_497,497,146,1.4245850700059277e-18,1.8856752760436382,146,1.8287794913679068e-17,87.95737547892725,0.6011404020212119,292,146
band_498,498,147,2.137993501930246e-18,1.8678074206699702,147,2.5081198542959658e-17,87.28960727969343,0.596301502026764,294,147
band_2444,2444,148,1.0627666184306668e-13,1.4245503199940157,148,8.504716421244642e-11,55.904070881226005,0.3688700788494638,296,148
