group,2017-02-23|BR16|irrigado,2017-02-23|BR16|nao_irrigado,2017-02-23|CD202|irrigado,2017-02-23|CD202|nao_irrigado,2017-02-23|EMB48|irrigado,2017-02-23|EMB48|nao_irrigado,2017-02-24|BR16|irrigado,2017-02-24|BR16|nao_irrigado,2017-02-24|CD202|irrigado,2017-02-24|CD202|nao_irrigado,2017-02-24|EMB48|irrigado,2017-02-24|EMB48|nao_irrigado,2017-02-25|BR16|irrigado,2017-02-25|BR16|nao_irrigado,2017-02-25|CD202|irrigado,2017-02-25|CD202|nao_irrigado,2017-02-25|EMB48|irrigado,2017-02-25|EMB48|nao_irrigado,2017-02-26|BR16|irrigado,2017-02-26|BR16|nao_irrigado,2017-02-26|CD202|irrigado,2017-02-26|CD202|nao_irrigado,2017-02-26|EMB48|irrigado,2017-02-26|EMB48|nao_irrigado,2017-02-27|BR16|irrigado,2017-02-27|BR16|nao_irrigado,2017-02-27|CD202|irrigado,2017-02-27|CD202|nao_irrigado,2017-02-27|EMB48|irrigado,2017-02-27|EMB48|nao_irrigado,2017-03-02|BR16|irrigado,2017-03-02|BR16|nao_irrigado,2017-03-02|CD202|irrigado,2017-03-02|CD202|nao_irrigado,2017-03-02|EMB48|irrigado,2017-03-02|EMB48|nao_irrigado
2017-02-26|CD202|nao_irrigado,34.19338936363048,25.822943376917756,52.69790554254404,9.539047365913952,34.58873158458409,11.979068455924626,50.7764424833298,24.003278401216168,73.43794177922372,19.463313658089163,67.87517343680891,23.947387992430766,52.82167665631296,35.77786431252916,105.25769169559979,53.948984727813176,97.68420149743316,52.999505265470674,79.1437633582587,24.500825150488694,97.92138216372204,0.0,96.86729771076583,38.08234934597705,102.82970466265266,36.499938656306256,96.35453980002374,22.3979441277245,98.01855602839608,38.386161851045046,48.614833885563534,40.70961955035911,66.75770573323858,14.096228774265358,65.46567728004506,39.59435829030604
2017-02-26|EMB48|irrigado,91.29050387230095,107.33607534265745,62.70414692867196,93.56794814499034,66.99933810508702,100.571639801252,63.918211078448856,113.15374604922195,42.28318101585695,84.77609074860611,33.832099658555244,110.18870574110535,52.63223182440152,97.03759576463841,27.274583152902583,63.91350940546943,7.113630678285953,63.81371565231405,34.41013195645943,116.82249414856172,19.81421692476198,96.86729771076583,0.0,119.34741501934111,27.226587904997885,127.25869363591296,26.964725096111582,114.85490878996504,16.84436340795702,132.4995839944084,62.83809691335299,98.49391734889643,56.52039591055812,94.75226727459047,45.690132186448416,83.00369747244147
2017-02-26|EMB48|nao_irrigado,69.56089860729867,53.945357795742304,88.13544722939017,43.76597358525604,66.99011358238168,32.65681997596008,84.12448570123723,45.52112178210279,105.56951588013976,55.92241083378183,95.60160799237575,19.212594673579847,82.18845209890779,72.21437445571674,133.13040268209468,88.64056869954581,120.22028187024213,87.28659628350876,109.09458471821523,38.66186865506865,123.8861198805618,38.08234934597705,119.34741501934111,0.0,130.94599628855363,37.048580236764494,124.0801423655435,38.03238488798413,122.59461204163944,33.178478128927374,82.84747463788347,75.41714664994925,101.24357502620285,50.611441163652906,97.47676029058691,76.82518086926902
2017-02-27|BR16|irrigado,89.5133691530808,108.60105978371912,58.95962342137513,98.4720868361845,70.93201966434789,107.44731934323255,61.763666151869934,116.22404462146027,35.21152208510279,88.2215932464733,39.49056608275546,119.42186093657519,53.12344623832703,93.97676176981439,14.334598324407457,61.91611229758255,26.07075024409902,62.45314779115968,24.875896277741017,121.21361592033726,17.184874257100653,102.82970466265266,27.226587904997885,130.94599628855363,0.0,132.708994152054,13.542104475590751,119.31479980641484,19.6706215813123,138.2883603624409,59.97844804903974,95.05776470949937,45.99654935760611,97.85781252367192,41.38233489832872,80.74328252938949
2017-02-27|BR16|nao_irrigado,52.086268348486826,30.575319733410048,83.02711364012181,37.08250226246664,64.38047775544032,38.49261492391696,75.53512234630135,20.8249369241315,105.53035904690047,51.1207342683538,98.04944179611735,37.274252358720474,81.43003757020726,54.74070780506051,137.3043565558572,83.77331547288124,128.47832326178366,85.79908675618479,109.06698499672518,14.193279976820387,129.81945740924033,36.499938656306256,127.25869363591296,37.048580236764494,132.708994152054,0.0,127.73951949409731,15.830241461799629,129.2873421171752,29.33685318410672,75.84756233859548,54.553138190435625,96.21454121494955,40.10861287355959,94.67379518994642,66.1586734068516
2017-02-27|CD202|irrigado,85.9115694717623,104.01276634708778,54.64682440341582,92.70147210876752,66.3926926943305,99.85447609248246,60.06933103045637,111.21771279999975,29.901975261057775,82.51505407702051,37.33943541516932,111.73890006611101,47.35849282745847,89.3954085260603,13.950209633979922,58.87490116068982,23.5997345224739,57.01393725426195,21.13915538483173,115.95921141833786,9.780987414708529,96.35453980002374,26.964725096111582,124.0801423655435,13.542104475590751,127.73951949409731,0.0,113.95327031468194,13.56015081602299,130.80318845976856,56.61035974972893,92.10442133099018,41.51082862351224,92.39853312699736,39.57963656260218,76.65447406338862
2017-02-27|CD202|nao_irrigado,38.64869156234872,18.174188192839818,68.20373241840257,22.558821879452275,50.6139374471517,26.643888372209524,62.400974767350284,8.624033798175908,90.91168358466675,36.1196405761621,84.98579655906724,30.979899660759163,68.07972831262181,40.64320774087517,123.38240407032497,69.32840120694071,115.89008099675887,70.73573863890896,95.36191772731833,3.6213488737280466,116.26248960096343,22.3979441277245,114.85490878996504,38.03238488798413,119.31479980641484,15.830241461799629,113.95327031468194,0.0,116.13424563818454,29.533312422817282,61.9314567932658,42.09856520553956,81.62869637488211,24.855204765002757,80.89941014001339,51.44258927870632
2017-02-27|EMB48|irrigado,91.00133546388925,107.6793483452129,61.00726215318775,94.7601807403213,68.79909690393526,100.93759263129951,64.84123629540659,114.10021124720186,37.74790160370753,85.54648401213035,38.06067109513236,111.61248984699766,50.26070703494903,95.37690705460027,18.6083697305238,64.44893915655099,12.014956939065929,62.5212171100264,28.399107624103078,118.18074823299229,8.019135436807064,98.01855602839608,16.84436340795702,122.59461204163944,19.6706215813123,129.2873421171752,13.56015081602299,116.13424563818454,0.0,132.34730853301397,61.920380782547795,98.08306256283808,50.65700863891065,95.5350630418707,45.182780715813614,82.47771814368093
2017-02-27|EMB48|nao_irrigado,63.43031099799633,44.09346456401587,88.3098132035733,43.831263002377185,72.05635229211458,32.57627505322655,86.64104819451363,35.49631566246431,109.19004117344839,55.77791660405593,105.23591518837226,27.268336907666946,86.62123348537311,61.565334044267104,140.70578939794575,90.46447593302551,132.6306397269633,88.276438139636,114.27603694550349,29.583832806675634,132.72553755897874,38.386161851045046,132.4995839944084,33.178478128927374,138.2883603624409,29.33685318410672,130.80318845976856,29.533312422817282,132.34730853301397,0.0,84.07027847980928,66.77943396933517,100.57571829073467,47.028879869243816,102.14957314717283,72.67938122761518
2017-03-02|BR16|irrigado,29.874900473031243,49.40493557624946,15.478134285616127,42.71659519348425,18.720060804585856,56.15908005188679,9.05046496140738,57.68944899669557,32.63885479294944,32.916997489211866,31.454119168761153,70.06851160793398,20.317925554805228,35.75538785923789,65.11614696180433,21.201119556557046,63.85701748968492,26.47725201949777,36.32954574807493,63.59532523488369,60.635579716717146,48.614833885563534,62.83809691335299,82.84747463788347,59.97844804903974,75.84756233859548,56.61035974972893,61.9314567932658,61.920380782547795,84.07027847980928,0.0,36.4589377087105,23.061506973265917,40.16766987667821,20.72141159549447,25.462435324033525
