rank,wavelength,kw_p,pearson_p,spearman_p,kw_h,pearson_r,spearman_r
85,1069,8.348951637883397e-05,6.832952176716561e-05,3.120826190672823e-05,15.477584134615398,0.47668875900764995,0.49565707767032696
86,1262,0.00017018314136279774,4.080382178754326e-05,7.70950251606036e-05,14.134615384615387,0.48929304879649904,0.4736654667156709
87,473,0.00011639694344306909,4.426524642668936e-05,4.773963846830051e-05,14.850180288461559,-0.48733495595866794,-0.4855071033835627
88,472,0.00011639694344306909,0.00013617675900152567,4.773963846830051e-05,14.850180288461559,-0.45902149988436736,-0.4855071033835627
89,481,0.00012985214401089077,5.525077540140415e-05,5.484435386514159e-05,14.643930288461547,-0.48194272953277045,-0.4821237786213079
90,1808,0.0006484457665632496,5.5108987803956275e-05,0.00039517354174524276,11.631490384615404,0.48200575165558934,0.4296822448063586
91,477,0.000303956631358323,6.210653859548777e-05,0.00015815795663780738,13.04585336538463,-0.47906076797976876,-0.4550571805232695
92,456,0.00017018314136279774,7.102221528871714e-05,7.70950251606036e-05,14.134615384615387,-0.4757236859345586,-0.4736654667156709
93,1475,0.00017955068991268693,0.00019769247782644474,8.244097716135123e-05,14.033834134615404,-0.449054813791145,-0.4719738043345434
94,1265,0.00035477594945544183,8.256760120442469e-05,0.00019104505939245865,12.756490384615404,0.47193497520464905,0.4499821933798873
