wavelength,kw_h,kw_p,pearson_r,pearson_p,spearman_r,spearman_p
1405,6.85546875,0.00883703695038344,-0.349259778032758,0.004674067886641037,-0.3298741643198422,0.007769184407350762
1406,8.489603365384625,0.0035718166674685954,-0.3913181309380093,0.0013867928127954381,-0.36709073670464487,0.002847214922744491
1407,11.631490384615404,0.0006484457665632496,-0.43748892034623094,0.00030041887329611397,-0.4296822448063586,0.00039517354174524276
1408,15.58341346153847,7.894407298562599e-05,-0.4888802441575744,4.151201252375376e-05,-0.4973487400514543,2.90355179897352e-05
1409,18.80931490384617,1.4445986892212242e-05,-0.5397226250714087,4.177690711590104e-06,-0.5464069491041489,3.002239610920355e-06
1410,21.458834134615387,3.615066672874847e-06,-0.589381393534743,2.994437865098988e-07,-0.5836235214889517,4.157678219857194e-07
1411,23.495372596153857,1.2521456671140411e-06,-0.632371031308402,2.0818315991300243e-08,-0.6106901195869899,8.393433333749817e-08
1412,28.990564903846177,7.273168327807288e-08,-0.6658291724613553,1.9321852865143366e-09,-0.6783566148320858,7.326967215774463e-10
1413,33.02596153846156,9.093644292926713e-09,-0.6918936226705413,2.432943019418156e-10,-0.7240314991225254,1.3734747759161981e-11
1414,35.54134615384618,2.4969387841216476e-09,-0.7132103467995076,3.776098224623361e-11,-0.7510980972205639,8.763909120296932e-13
1415,38.98287259615387,4.2754006933689134e-10,-0.7293759513744982,8.188190457399556e-12,-0.7866230072242391,1.320488189572784e-14
1416,40.165384615384625,2.333465543566303e-10,-0.7403061254029573,2.734374757502655e-12,-0.7984646438921309,2.721489181257815e-15
1417,39.82572115384616,2.776643299560676e-10,-0.7477969283974885,1.248798472151472e-12,-0.795081319129876,4.31868997263961e-15
1418,40.84903846153847,1.6445415191184566e-10,-0.7557540766495353,5.268363718568193e-13,-0.8052312934166405,1.052151077479819e-15
1419,42.05931490384617,8.854639676881642e-11,-0.7640243496951068,2.0734581943785433e-13,-0.8170729300845322,1.8179222236078546e-16
1420,44.53287259615385,2.501220681924586e-11,-0.7706588749886992,9.543926087949709e-14,-0.8407562034203158,3.592314659683123e-18
1421,46.34296875000001,9.926307224638503e-12,-0.7760622185782058,4.9759237752900516e-14,-0.8576728272315898,1.439571287647588e-19
1422,46.52596153846156,9.041260826253366e-12,-0.7795297273492894,3.2448521813586385e-14,-0.8593644896127172,1.0202098079810901e-19
1423,46.70931490384618,8.233670499558508e-12,-0.78272162433057,2.1741743713773694e-14,-0.8610561519938444,7.19760552505241e-20
1424,47.07710336538463,6.82483302973763e-12,-0.7875851225544586,1.1658292263942918e-14,-0.8644394767560993,3.5328010782705475e-20
1425,47.07710336538463,6.82483302973763e-12,-0.7907787565376196,7.674311159127003e-15,-0.8644394767560993,3.5328010782705475e-20
1426,47.07710336538463,6.82483302973763e-12,-0.7914165895767945,7.05332551449801e-15,-0.8644394767560993,3.5328010782705475e-20
1427,47.07710336538463,6.82483302973763e-12,-0.7912482508466545,7.212367469473148e-15,-0.8644394767560993,3.5328010782705475e-20
1428,47.07710336538463,6.82483302973763e-12,-0.7888444638759249,9.894630312284128e-15,-0.8644394767560993,3.5328010782705475e-20
1429,47.07710336538463,6.82483302973763e-12,-0.7846954639595807,1.6915655859779837e-14,-0.8644394767560993,3.5328010782705475e-20
1430,47.261538461538464,6.211923275036763e-12,-0.7811051966687188,2.6651572540279796e-14,-0.8661311391372267,2.4572590056333528e-20
1431,47.261538461538464,6.211923275036763e-12,-0.7768493940918779,4.518690432719961e-14,-0.8661311391372267,2.4572590056333528e-20
